ANIO,MES,ENTIDAD,T_Max,T_Min,T_Med,Precipitacion
1985,ENE,AGU,20.71277915632755,3.2214084024985024,11.967093779413025,4.91472860024482
1985,ENE,BCN,17.562808374074695,4.5417722429733205,11.052290308524007,12.1505615805174
1985,ENE,BCS,22.659096752203773,8.745975149039397,15.702535950621588,30.3047228985808
1985,ENE,CAM,29.954718205413428,15.909566184649607,22.93214219503152,20.943153042625
1985,ENE,CHP,15.060987041632206,1.8167574361122747,8.438872238872241,40.7145463206238
1985,ENE,CHH,30.4942396313364,15.077764976958525,22.786002304147463,8.05854960132253
1985,ENE,CMX,28.083907077515644,13.865928422404108,20.974917749959875,107.345519738498
1985,ENE,COA,14.124609781477625,-1.2864810960804725,6.419064342698578,54.5562316488434
1985,ENE,COL,21.079293394777263,4.899800307219661,12.989546850998462,1.09269422172967
1985,ENE,DUR,17.82066386161758,0.9586956521739128,9.389679756895744,61.3264101082311
1985,ENE,GUA,22.077682198327366,5.143942652329752,13.61081242532856,1.44955205466096
1985,ENE,GRO,30.388528450651684,15.493348354626427,22.940938402639052,15.8213037105493
1985,ENE,HID,21.071996061477467,3.624008685615916,12.348002373546693,22.4983123563689
1985,ENE,JAL,24.698363669306367,6.900143439316093,15.79925355431123,7.1406776708783
1985,ENE,MEX,20.53703223507366,3.804440045253844,12.170736140163752,3.49353780969432
1985,ENE,MIC,26.03925734488237,8.540830376905326,17.29004386089385,1.42882579274592
1985,ENE,MOR,28.020548606326532,10.130213590387754,19.07538109835714,2.84499756096038
1985,ENE,NAY,27.30376344,12.661290321694446,19.982526880847217,60.82108198025
1985,ENE,NLE,17.76376314343221,3.8875598964576272,10.825661519944921,36.6022311218031
1985,ENE,OAX,27.06803447737112,11.920882395025911,19.494458436198517,10.8635736116178
1985,ENE,PUE,23.025169882288125,6.49934199497479,14.762255938631464,12.108568383702
1985,ENE,QUE,22.31758832523809,4.766513056809524,13.542050691023807,2.78173227789115
1985,ENE,ROO,28.757849462000003,15.141290322333331,21.949569892166668,64.7396112841004
1985,ENE,SLP,21.54886970656716,6.301219708216418,13.925044707391786,12.4293343128268
1985,ENE,SIN,25.052723083285702,10.585580934309863,17.819152008797786,115.571741062791
1985,ENE,SON,20.27421560296053,5.695983216605264,12.985099409782901,44.7953292425546
1985,ENE,TAB,27.401267279642855,17.639306044642858,22.52028666214286,189.29737963173
1985,ENE,TAM,20.63095184014085,7.392007421028168,14.011479630584509,25.2371764890989
1985,ENE,TLA,20.30478309206896,1.6458286985862067,10.975305895327585,2.85180211684787
1985,ENE,VER,23.231456481954023,12.143981849522984,17.687719165738503,22.7883436713524
1985,ENE,YUC,30.084722911538464,14.974464847215376,22.52959387937692,56.163443757325
1985,ENE,ZAC,19.67842224975961,3.2137096773653835,11.446065963562493,20.5131447681731
1985,ENE,NAC,23.275940400645922,7.995533600224129,15.635737000435025,36.0
1985,FEB,AGU,23.740902964959563,4.910797221646279,14.325850093302922,1.58874006529022
1985,FEB,BCN,19.548683848044103,4.492058774476374,12.020371311260236,23.6250551630358
1985,FEB,BCS,24.271990740740748,8.411525189786058,16.3417579652634,0.0587781471047579
1985,FEB,CAM,31.7934263983371,16.91613520408163,24.354780801209365,26.685828815136
1985,FEB,CHP,19.340677248677245,4.797650375939852,12.069163812308553,6.15220838387088
1985,FEB,CHH,31.909438775510196,13.887117346938776,22.898278061224485,1.78395952268482
1985,FEB,CMX,29.154270736072192,14.959442110177402,22.0568564231248,59.2283090605907
1985,FEB,COA,18.29057533375716,-0.4993188629552266,8.895628235400965,9.38995212909119
1985,FEB,COL,22.52,5.791530612244897,14.155765306122449,1.47091053869621
1985,FEB,DUR,21.02659970238096,2.463839285714286,11.745219494047621,4.66542600051058
1985,FEB,GUA,24.06571428571429,6.404656084656083,15.235185185185188,2.77178094585147
1985,FEB,GRO,31.370182830967146,15.316177492321279,23.34318016164421,1.20633075650454
1985,FEB,HID,22.80010739249403,4.826124095471523,13.813115743982776,14.6576549294414
1985,FEB,JAL,27.38048941791666,7.8783089917633085,17.629399204839984,1.61045343628786
1985,FEB,MEX,21.841692464462444,4.04249127561176,12.9420918700371,2.54876773748158
1985,FEB,MIC,27.73263583005848,8.908265859742691,18.320450844900588,1.36579399051055
1985,FEB,MOR,29.279380849999995,10.850985030918366,20.06518294045918,1.07039162000776
1985,FEB,NAY,29.203814935000004,12.358126721386366,20.780970828193183,3.24042903660529
1985,FEB,NLE,20.792096033076923,6.485758899333334,13.638927466205125,18.8752447396033
1985,FEB,OAX,27.85550859800001,12.331389451095482,20.093449024547752,18.7102601374983
1985,FEB,PUE,23.594637937603306,7.250613548760332,15.42262574318182,27.0650835532072
1985,FEB,QUE,24.3503273805,5.850415313675003,15.100371347087505,2.99902919283965
1985,FEB,ROO,30.09317548533333,16.799761905333334,23.44646869533333,56.7704866968618
1985,FEB,SLP,24.17328423913463,7.7697687729230775,15.971526506028852,22.6411271513189
1985,FEB,SIN,27.389649905625,10.190596862283947,18.790123383954477,2.40814605005408
1985,FEB,SON,23.133380548974362,5.265275234019232,14.199327891496797,14.860634368271
1985,FEB,TAB,29.268543955384622,18.855769231153843,24.06215659326923,98.7287199555963
1985,FEB,TAM,23.372420405343515,10.312264227603057,16.842342316473278,12.417977762007
1985,FEB,TLA,21.28423645241379,2.0814039408275864,11.682820196620689,6.09792709277102
1985,FEB,VER,24.16877776738637,13.669923190301144,18.919350478843764,39.7611991065682
1985,FEB,YUC,31.4486471860606,16.86845238045454,24.15854978325757,31.5864653682677
