ANIO,MES,ENTIDAD,T_Max,T_Min,T_Med
1985,ENE,AGU,20.712779156327542,3.2214084024985024,11.967093779413023
1985,ENE,BCN,17.562808374074695,4.54177224297332,11.052290308524007
1985,ENE,BCS,22.659096752203777,8.745975149039397,15.702535950621588
1985,ENE,CAM,29.954718205413428,15.909566184649607,22.932142195031517
1985,ENE,CHP,15.060987041632208,1.8167574361122747,8.438872238872241
1985,ENE,CHH,30.494239631336402,15.077764976958523,22.786002304147463
1985,ENE,CMX,28.083907077515644,13.865928422404108,20.974917749959875
1985,ENE,COA,14.124609781477625,-1.2864810960804725,6.419064342698577
1985,ENE,COL,21.07929339477726,4.899800307219661,12.98954685099846
1985,ENE,DUR,17.82066386161758,0.9586956521739127,9.389679756895745
1985,ENE,GUA,22.077682198327366,5.143942652329752,13.61081242532856
1985,ENE,GRO,30.388528450651684,15.493348354626427,22.940938402639055
1985,ENE,HID,21.071996061477467,3.6240086856159155,12.348002373546692
1985,ENE,JAL,24.698363669306367,6.900143439316092,15.79925355431123
1985,ENE,MEX,20.53703223507366,3.8044400452538443,12.170736140163752
1985,ENE,MIC,26.03925734488237,8.540830376905328,17.29004386089385
1985,ENE,MOR,28.020548606326532,10.130213590387754,19.07538109835714
1985,ENE,NAY,27.303763439999997,12.661290321694443,19.98252688084722
1985,ENE,NLE,17.76376314343221,3.8875598964576272,10.82566151994492
1985,ENE,OAX,27.06803447737112,11.92088239502591,19.494458436198514
1985,ENE,PUE,23.025169882288132,6.49934199497479,14.762255938631462
1985,ENE,QUE,22.31758832523809,4.766513056809524,13.542050691023807
1985,ENE,ROO,28.757849462000003,15.141290322333333,21.949569892166668
1985,ENE,SLP,21.54886970656716,6.301219708216417,13.925044707391788
1985,ENE,SIN,25.052723083285706,10.585580934309863,17.819152008797786
1985,ENE,SON,20.274215602960535,5.6959832166052635,12.9850994097829
1985,ENE,TAB,27.401267279642855,17.63930604464286,22.52028666214286
1985,ENE,TAM,20.630951840140852,7.392007421028167,14.01147963058451
1985,ENE,TLA,20.30478309206896,1.645828698586207,10.975305895327583
1985,ENE,VER,23.231456481954023,12.143981849522984,17.687719165738503
1985,ENE,YUC,30.084722911538464,14.974464847215378,22.52959387937692
1985,ENE,ZAC,19.67842224975961,3.213709677365384,11.446065963562496
1985,ENE,NAC,23.275940400645922,7.995533600224129,15.635737000435023
1985,FEB,AGU,23.740902964959563,4.910797221646279,14.325850093302922
1985,FEB,BCN,19.5486838480441,4.492058774476374,12.020371311260236
1985,FEB,BCS,24.271990740740744,8.411525189786058,16.3417579652634
1985,FEB,CAM,31.7934263983371,16.91613520408163,24.354780801209365
1985,FEB,CHP,19.340677248677252,4.797650375939852,12.069163812308553
1985,FEB,CHH,31.909438775510193,13.887117346938778,22.898278061224485
1985,FEB,CMX,29.154270736072192,14.959442110177402,22.0568564231248
1985,FEB,COA,18.290575333757157,-0.49931886295522654,8.895628235400965
1985,FEB,COL,22.52,5.791530612244896,14.155765306122447
1985,FEB,DUR,21.026599702380956,2.463839285714286,11.745219494047621
1985,FEB,GUA,24.065714285714293,6.404656084656084,15.235185185185188
1985,FEB,GRO,31.370182830967142,15.31617749232128,23.343180161644213
1985,FEB,HID,22.800107392494027,4.826124095471523,13.813115743982776
1985,FEB,JAL,27.38048941791666,7.878308991763308,17.629399204839984
1985,FEB,MEX,21.84169246446244,4.04249127561176,12.9420918700371
1985,FEB,MIC,27.73263583005848,8.908265859742691,18.320450844900584
1985,FEB,MOR,29.279380849999995,10.850985030918368,20.06518294045918
1985,FEB,NAY,29.203814935000004,12.358126721386363,20.780970828193183
1985,FEB,NLE,20.792096033076916,6.485758899333334,13.638927466205125
1985,FEB,OAX,27.855508598000014,12.331389451095484,20.09344902454775
1985,FEB,PUE,23.59463793760331,7.250613548760332,15.42262574318182
1985,FEB,QUE,24.3503273805,5.850415313675002,15.100371347087503
1985,FEB,ROO,30.09317548533333,16.799761905333334,23.44646869533333
1985,FEB,SLP,24.173284239134627,7.769768772923078,15.971526506028853
1985,FEB,SIN,27.389649905625,10.190596862283948,18.790123383954473
1985,FEB,SON,23.133380548974365,5.2652752340192315,14.199327891496798
1985,FEB,TAB,29.26854395538462,18.855769231153843,24.06215659326923
1985,FEB,TAM,23.372420405343508,10.312264227603055,16.84234231647328
1985,FEB,TLA,21.28423645241379,2.0814039408275864,11.682820196620689
1985,FEB,VER,24.16877776738637,13.669923190301146,18.919350478843757
1985,FEB,YUC,31.4486471860606,16.86845238045454,24.15854978325757
1985,FEB,ZAC,22.55413719920792,4.953606789326733,13.753871994267325
1985,FEB,NAC,25.273418964035525,8.918778517406635,17.09609874072108
1985,MAR,AGU,26.517555831265504,7.586228287841193,17.05189205955335
1985,MAR,BCN,20.53176785199726,6.1222591117601715,13.327013481878716
1985,MAR,BCS,27.016454242260693,10.721659046343483,18.869056644302088
1985,MAR,CAM,34.53997265480164,18.99192157953281,26.765947117167222
1985,MAR,CHP,25.644738649940265,10.388635005973715,18.01668682795699
1985,MAR,CHH,33.0837669094693,15.079708636836626,24.081737773152962
1985,MAR,CMX,31.22523393419321,16.818403941243588,24.0218189377184
1985,MAR,COA,22.4008868670159,4.230034004227552,13.315460435621725
1985,MAR,COL,25.326209677419353,8.117137096774194,16.72167338709677
1985,MAR,DUR,25.68136762451482,6.378649662415602,16.030008643465212
1985,MAR,GUA,26.9970943847073,9.30651962135833,18.151807003032815
1985,MAR,GRO,33.00489142373951,17.09455012356937,25.04972077365444
1985,MAR,HID,25.062765630948853,7.057652470734349,16.0602090508416
