ANIO,MES,ENTIDAD,T_Max,T_Min,T_Med
1985,ENE,NAC,23.275940400645922,7.995533600224129,15.635737000435023
1985,FEB,NAC,25.273418964035525,8.918778517406635,17.09609874072108
1985,MAR,NAC,28.198847818873116,11.553129864410748,19.87598884164193
1985,ABR,NAC,29.116950130880497,12.977921672051114,21.047435901465807
1985,MAY,NAC,31.13717424342535,14.991136815394992,23.06415552941017
1985,JUN,NAC,30.094976150170144,16.485479491835896,23.29022782100301
1985,JUL,NAC,29.190563023221173,16.36445509673165,22.77750905997641
1985,AGO,NAC,29.714772867534226,16.492403517265423,23.103588192399823
1985,SEP,NAC,29.1823242700588,15.623906187538436,22.40311522879862
1985,OCT,NAC,28.184849109896337,14.105747766670858,21.1452984382836
1985,NOV,NAC,26.73710737932196,11.055803974939934,18.89645567713095
1985,DIC,NAC,24.652140552854565,9.244793761638956,16.94846715724675
1985,ANUAL,NAC,27.896588742576473,12.984090855509066,20.440339799042764
1986,ENE,NAC,24.541886602180266,7.57841266705651,16.060149634618387
1986,FEB,NAC,26.63114808616893,9.166273552032909,17.89871081910092
1986,MAR,NAC,27.79610671267587,9.703301793901986,18.74970425328893
1986,ABR,NAC,30.825948957148004,13.584809154040219,22.20537905559411
1986,MAY,NAC,30.967222069060217,15.328373394860371,23.147797731960292
1986,JUN,NAC,29.8491387305433,16.63552777164451,23.242333251093903
1986,JUL,NAC,29.37867672956256,16.29344261397823,22.836059671770382
1986,AGO,NAC,30.14563686492934,16.462216676541146,23.30392677073525
1986,SEP,NAC,29.168543566855675,16.010197267105813,22.58937041698075
1986,OCT,NAC,27.49482254459449,14.092472414548736,20.79364747957161
1986,NOV,NAC,26.742136396229082,12.024499895505196,19.383318145867136
1986,DIC,NAC,24.34306333178059,9.446455369208687,16.894759350494642
1986,ANUAL,NAC,28.157027549310694,13.027165214202023,20.59209638175636
1987,ENE,NAC,24.162431207474636,7.519998569448633,15.841214888461634
1987,FEB,NAC,25.350813534320885,8.954562848733513,17.1526881915272
1987,MAR,NAC,26.96479012164437,10.31847511523488,18.641632618439623
1987,ABR,NAC,28.845475968654824,12.051404416040983,20.448440192347903
1987,MAY,NAC,30.67242293669088,14.497951690553755,22.58518731362232
1987,JUN,NAC,30.686004739136976,16.664539490170867,23.67527211465392
1987,JUL,NAC,29.6151131871112,17.078322048996124,23.346717618053667
1987,AGO,NAC,30.013014051583973,16.79305333460833,23.403033693096145
1987,SEP,NAC,29.97949647059525,16.481754573919,23.230625522257125
1987,OCT,NAC,28.38165493256951,13.091919295638018,20.73678711410376
1987,NOV,NAC,26.626802691494547,10.699736685881307,18.663269688687922
1987,DIC,NAC,25.507884661220455,9.62729620594426,17.56759043358236
1987,ANUAL,NAC,28.067158708541456,12.814917856264138,20.441038282402797
1988,ENE,NAC,24.243815416225193,7.870150699523781,16.05698305787449
1988,FEB,NAC,26.398185869929364,9.495767267941535,17.94697656893545
1988,MAR,NAC,27.614965171790065,10.81696183773215,19.215963504761106
1988,ABR,NAC,30.107583658721577,13.176223171876057,21.641903415298813
1988,MAY,NAC,31.774909445726458,14.794102485160055,23.284505965443252
1988,JUN,NAC,30.686810560871375,16.434123903162224,23.560467232016805
1988,JUL,NAC,29.596114077116994,16.94961005447721,23.272862065797103
1988,AGO,NAC,29.21377839090714,16.885659531306228,23.049718961106684
1988,SEP,NAC,28.766941739865057,15.790655781879916,22.27879876087249
1988,OCT,NAC,28.025224351391273,13.7702501658264,20.89773725860884
1988,NOV,NAC,27.64643147075166,10.847616374289162,19.247023922520405
1988,DIC,NAC,24.993220108448625,9.06531346890223,17.029266788675436
1988,ANUAL,NAC,28.255665021812067,12.991369561839745,20.62351729182591
1989,ENE,NAC,25.48258201300199,9.107985156486395,17.295283584744187
1989,FEB,NAC,26.050365615954327,9.257366305336063,17.653865960645195
1989,MAR,NAC,27.980158344709572,9.926106611392683,18.953132478051128
1989,ABR,NAC,30.289244845711522,12.725331423569015,21.50728813464027
1989,MAY,NAC,31.87099323533488,14.943840451641845,23.407416843488367
1989,JUN,NAC,31.48868074480901,16.54973391237698,24.01920732859299
1989,JUL,NAC,30.272599149462184,16.5392083113149,23.40590373038855
1989,AGO,NAC,29.29081321819584,16.60616113454009,22.948487176367955
1989,SEP,NAC,28.459515341980225,15.716641366596786,22.088078354288513
1989,OCT,NAC,28.131558655266357,13.069472597369712,20.60051562631804
1989,NOV,NAC,26.997679888384912,11.664920502925744,19.331300195655334
1989,DIC,NAC,23.437467810605636,8.487008806374192,15.962238308489917
1989,ANUAL,NAC,28.312638238618046,12.8828147149937,20.59772647680587
1990,ENE,NAC,24.986249074150905,9.222579840223581,17.10441445718724
1990,FEB,NAC,25.563473828311675,9.610964342282973,17.587219085297317
1990,MAR,NAC,27.829379115032292,11.135875194873352,19.482627154952826
1990,ABR,NAC,30.030378108026202,13.424115504839774,21.72724680643299
1990,MAY,NAC,31.489318608426824,15.682041071520144,23.585679839973487
1990,JUN,NAC,31.150493408047158,16.991376999712593,24.070935203879873
1990,JUL,NAC,29.083592281784618,16.767142093725763,22.92536718775519
1990,AGO,NAC,29.251968559822274,16.525965724159565,22.888967141990925
1990,SEP,NAC,28.573397855159076,16.12114402492296,22.347270940041017
1990,OCT,NAC,27.843160308483665,14.332005901885726,21.08758310518469
1990,NOV,NAC,26.69132418044905,11.517754246071608,19.10453921326033
1990,DIC,NAC,25.04558996337568,9.060314238559418,17.052952100967552
1990,ANUAL,NAC,28.128193774255788,13.36593993189812,20.74706685307695
