,INVENTARIO NACIONAL DE EMISIONES DE GASES Y COMPUESTOS DE EFECTO INVERNADERO (INEGYCEI),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CATEGORÍA / FUENTE / SUBFUENTE 
DE EMISIÓN",Emisiones de gases de efecto invernadero  (Gg de CO2e ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Carbono negro
(Gg)"
,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CO2,CH4,N2O,HFCs,,,,,,,,,,,,,,,,PFCs,,,,,,NF3,SF6,"EMISIONES NETAS
Gg en CO2e"," 
EMISIONES
(sin 3B y 3D)
Gg en CO2e",,
,,,,HFC-23,HFC-410A,HFC-43-10mee,HFC-125,HFC-134,HFC-134a,HFC-404A,HFC-407C,HFC-507a,HFC-152a,HFC-227ea,HFC-236fa,HFC-365mfc/227ea,HFC-365mfc,HFC-245fa,HFC-32,CF4,C2F6,C3F8,C4F6,c-C4F8,C5F8,,,,,,
  Potencial de calentamiento,1,28,265,"12,400","1,924","1,650","3,170","1,120","1,300","3,943","1,624","3,985",138,"2,640","8,060",982,804,858,677,"6,630","11,100","8,900",1,"9,540",2,"16,100","23,500",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMISIONES NETAS (Gg de CO2e),"332,067.786","173,705.912","42,778.197","1,880.024","1,486.686",12.837,33.695,0.282,"7,174.357","7,866.096",140.313,482.525,37.479,71.820,47.838,1.074,486.911,"1,293.379",0.002,22.749,2.508,0.225,0.000,0.081,0.000002,2.272,278.664,"569,873.710","765,600.795",,70.733
[1] Energía,"472,814.178","22,028.239","2,657.123",,,,,,,,,,,,,,,,,,,,,,,,,"497,499.540",,,58.830
[1A] Actividades de quema del combustible,"461,519.189","2,908.182","2,635.385",,,,,,,,,,,,,,,,,,,,,,,,,"467,062.757",,,53.159
[1A1] Industrias de la energía,"198,794.213",154.661,299.997,,,,,,,,,,,,,,,,,,,,,,,,,"199,248.871",,,7.990
[1A1a] Actividad principal producción de electricidad y calor,"167,973.687",138.101,280.457,,,,,,,,,,,,,,,,,,,,,,,,,"168,392.245",,,7.122
[1A1b] Refinación del petróleo,"9,217.346",6.180,8.841,,,,,,,,,,,,,,,,,,,,,,,,,"9,232.367",,,0.742
[1A1c] Manufactura de combustibles sólidos y otras industrias de la energía,"21,603.180",10.380,10.699,,,,,,,,,,,,,,,,,,,,,,,,,"21,624.259",,,0.126
[1A2] Industrias manufactura y de la construcción,"56,418.771",103.224,140.001,,,,,,,,,,,,,,,,,,,,,,,,,"56,661.996",,,0.880
[1A2a] Hierro y acero,"5,268.598",2.614,2.574,,,,,,,,,,,,,,,,,,,,,,,,,"5,273.787",,,0.017
[1A2b] Metales no ferrosos,"1,605.875",0.992,1.338,,,,,,,,,,,,,,,,,,,,,,,,,"1,608.206",,,0.007
[1A2c] Sustancias químicas,"9,320.129",4.948,5.505,,,,,,,,,,,,,,,,,,,,,,,,,"9,330.582",,,0.034
"[1A2d] Pulpa, papel e imprenta","2,381.837",1.345,1.601,,,,,,,,,,,,,,,,,,,,,,,,,"2,384.783",,,0.018
"[1A2e] Procesamiento de alimentos, bebidas y tabaco","1,841.595",38.621,48.772,,,,,,,,,,,,,,,,,,,,,,,,,"1,928.988",,,0.495
[1A2f] Minerales no metálicos,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[1A2g] Equipo de transporte,504.676,0.297,0.369,,,,,,,,,,,,,,,,,,,,,,,,,505.342,,,0.002
[1A2h] Maquinaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[1A2i] Minería (con excepción de combustibles) y cantería,"12,923.071",13.562,23.230,,,,,,,,,,,,,,,,,,,,,,,,,"12,959.864",,,0.077
[1A2j] Madera y productos de la madera,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[1A2k] Construcción,823.287,0.949,1.797,,,,,,,,,,,,,,,,,,,,,,,,,826.033,,,0.004
[1A2l] Textiles y cueros,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[1A2m] Industria no especificada,"21,749.702",39.895,54.815,,,,,,,,,,,,,,,,,,,,,,,,,"21,844.412",,,0.227
[1A3] Transporte,"173,193.769",468.839,"1,899.647",,,,,,,,,,,,,,,,,,,,,,,,,"175,562.255",,,12.730
[1A3a] Aviación civil,"7,545.643",1.455,55.075,,,,,,,,,,,,,,,,,,,,,,,,,"7,602.173",,,0.107
[1A3b] Autotransporte,"161,620.155",458.799,"1,621.066",,,,,,,,,,,,,,,,,,,,,,,,,"163,700.020",,,12.466
[1A3c] Ferrocarriles,"2,008.496",3.204,208.953,,,,,,,,,,,,,,,,,,,,,,,,,"2,220.652",,,0.047
[1A3d] Navegación marítima y fluvial,"2,019.475",5.382,14.553,,,,,,,,,,,,,,,,,,,,,,,,,"2,039.410",,,0.111
[1A3e] Otro transporte,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,0.000
[1A4] Otros sectores,"33,112.437","2,181.458",295.740,,,,,,,,,,,,,,,,,,,,,,,,,"35,589.635",,,31.559
[1A4a] Comercial/institucional,"4,824.916",10.572,2.001,,,,,,,,,,,,,,,,,,,,,,,,,"4,837.489",,,2.378
[1A4b] Residencial,"17,781.451","2,131.031",271.359,,,,,,,,,,,,,,,,,,,,,,,,,"20,183.841",,,28.931
[1A4c] Agropecuario/silvicultura/pesca/piscifactorías,"10,506.070",39.856,22.380,,,,,,,,,,,,,,,,,,,,,,,,,"10,568.306",,,0.250
[1B] Emisiones fugitivas provenientes de la fabricación de combustibles,"11,294.989","19,120.056",21.738,,,,,,,,,,,,,,,,,,,,,,,,,"30,436.783",,,5.671
[1B1] Combustibles sólidos,60.931,"2,143.106",,,,,,,,,,,,,,,,,,,,,,,,,,"2,204.037",,,0.000
[1B1a] Minería carbonífera y manejo del carbón,60.931,"2,143.106",,,,,,,,,,,,,,,,,,,,,,,,,,"2,204.037",,,0.000
[1B1ai] Minas subterráneas,58.027,"2,055.656",,,,,,,,,,,,,,,,,,,,,,,,,,"2,113.684",,,
[1B1aii] Minas superficie,2.903,87.450,,,,,,,,,,,,,,,,,,,,,,,,,,90.353,,,
[1B1b] Combustión espontánea y vertederos para quema de carbón,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,0.000
[1B2] Petróleo y gas natural,"11,234.058","16,976.950",21.738,,,,,,,,,,,,,,,,,,,,,,,,,"28,232.746",,,5.671
[1B2a] Petróleo,"8,677.417","11,225.183",21.699,,,,,,,,,,,,,,,,,,,,,,,,,"19,924.299",,,
1B2ai Venteo petróleo,"3,047.628","4,034.435",,,,,,,,,,,,,,,,,,,,,,,,,,"7,082.063",,,
1B2aii Quemado petróleo,"5,598.601","7,078.498",21.699,,,,,,,,,,,,,,,,,,,,,,,,,"12,698.798",,,5.671
1B2aiii Otras fugitivas petróleo,31.188,112.250,,,,,,,,,,,,,,,,,,,,,,,,,,143.438,,,
[1B2b] Gas natural,"2,556.641","5,751.766",0.039,,,,,,,,,,,,,,,,,,,,,,,,,"8,308.447",,,
1B2bi Venteo gas natural,"1,623.914","2,710.609",,,,,,,,,,,,,,,,,,,,,,,,,,"4,334.522",,,
1B2bii Quemado gas natural,929.684,272.379,0.039,,,,,,,,,,,,,,,,,,,,,,,,,"1,202.102",,,
1B2biii Otras fugitivas gas natural,3.044,"2,768.779",,,,,,,,,,,,,,,,,,,,,,,,,,"2,771.822",,,
[2] Procesos industriales y uso de productos,"52,479.094",278.853,689.087,"1,880.024","1,486.686",12.837,33.695,0.282,"7,174.357","7,866.096",140.313,482.525,37.479,71.820,47.838,1.074,486.911,"1,293.379",0.002,22.749,2.508,0.225,0.000,0.081,0.000,2.272,278.664,"74,768.850",,,0.000
[2A] Industria de los minerales,"30,823.830",0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,"30,823.830",,,
[2A1] Producción de cemento,"19,375.978",,,,,,,,,,,,,,,,,,,,,,,,,,,"19,375.978",,,
[2A2] Producción de cal,"3,924.034",,,,,,,,,,,,,,,,,,,,,,,,,,,"3,924.034",,,
[2A3] Producción de vidrio,952.604,,,,,,,,,,,,,,,,,,,,,,,,,,,952.604,,,
[2A4] Otros usos de carbonatos,"6,571.214",,,,,,,,,,,,,,,,,,,,,,,,,,,"6,571.214",,,
[2A5] Otros,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2B] Industria química,"2,834.249",275.419,688.809,"1,879.501",,,,,,,,,,,,,,,,,,,,,,,,"5,677.979",,,
[2B1] Producción de amoniaco,180.983,,,,,,,,,,,,,,,,,,,,,,,,,,,180.983,,,
[2B2] Producción de ácido nítrico,,,508.005,,,,,,,,,,,,,,,,,,,,,,,,,508.005,,,
[2B3] Producción de ácido adípico,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
"[2B4] Producción de caprolactama, glioxil y ácido glioxílico",,,180.804,,,,,,,,,,,,,,,,,,,,,,,,,180.804,,,
[2B5] Producción de carburo,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2B6] Producción de dióxido de titanio,386.969,,,,,,,,,,,,,,,,,,,,,,,,,,,386.969,,,
[2B7] Producción de ceniza de sosa,174.976,,,,,,,,,,,,,,,,,,,,,,,,,,,174.976,,,
[2B8] Producción petroquímica y negro de humo,"2,091.322",275.419,,,,,,,,,,,,,,,,,,,,,,,,,,"2,366.741",,,
[2B9] Producción fluoroquímica, ,,,"1,879.501",,,,,,,,,,,,,,,,,,,,,,,,"1,879.501",,,
[2B10] Otros,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2C] Industria de los metales,"18,712.706",3.434,0.000,,,,,,,,,,,,,,,,,,,,,,,,,"18,716.140",,,
[2C1] Producción de hierro y acero,"18,241",3.434,,,,,,,,,,,,,,,,,,,,,,,,,,"18,244.474",,,
[2C2] Producción de ferroaleaciones,393.928,,,,,,,,,,,,,,,,,,,,,,,,,,,393.928,,,
[2C3] Producción de aluminio,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2C4] Producción de magnesio,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2C5] Producción de plomo,77.738,,,,,,,,,,,,,,,,,,,,,,,,,,,77.738,,,
[2C6] Producción de zinc,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2C7] Otros,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2D] Uso de productos no energéticos de combustibles y de solvente,72.780,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,72.780,,,
[2D1] Uso de lubricantes,57.529,,,,,,,,,,,,,,,,,,,,,,,,,,,57.529,,,
[2D2] Uso de la cera de parafina,15.251,,,,,,,,,,,,,,,,,,,,,,,,,,,15.251,,,
[2D3] Uso de solventes,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2D4] Otros,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2E] Industria electrónica,0.000,0.000,0.277,0.523,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,22.749,2.508,0.225,0.000,0.081,0.000002,2.272,2.099,30.736,,,
[2E1] Circuitos integrados o semiconductores,,,0.226,0.523,,,,,,,,,,,,,,,0.002,2.012,1.123,0.225,0.000,0.080422,0.000002,2.036,0.991,7.217,,,
[2E2] Pantalla plana tipo TFT,,,0.052,,,,,,,,,,,,,,,,,0.049,,,,0.000109,,0.237,1.108,1.446,,,
[2E3] Células fotovoltaicas,,,,,,,,,,,,,,,,,,,,20.688,1.385,,,,,,,22.074,,,
[2E4] Fluido de transferencia térmica,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2E5] Otros,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2F] Uso de productos sustitutos de las sustancias que agotan la capa de ozono,0.000,0.000,0.000,0.000,"1,486.686",12.837,33.695,0.282,"7,174.357","7,866.096",140.313,482.525,37.479,71.820,47.838,1.074,486.911,"1,293.379",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,"19,135.291",,,
[2F1] Refrigeración y aire acondicionado,,,,,"1,486.686",,,,"6,621.706","7,866.096",140.313,,,,,,,"1,293.379",,,,,,,,,,"17,408.179",,,
[2F2] Agentes espumantes,,,,,,,,0.282,1.820,,,,,,45.066,,486.911,,,,,,,,,,,534.080,,,
[2F3] Protección contra incendios,,,,,,,33.695,,,,,,37.479,71.820,,1.074,,,,,,,,,,,,144.066,,,
[2F4] Aerosoles,,,,,,,,,550.831,,,482.5252152,,,2.772,,,,,,,,,,,,,"1,036.129",,,
[2F5] Solventes,,,,,,12.837,,,,,,,,,,,,,,,,,,,,,,12.837,,,
[2F6] Otras aplicaciones,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2G] Manufactura y utilización de otros productos,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,276.565,276.565,,,
[2G1] Equipos eléctricos,,,,,,,,,,,,,,,,,,,,,,,,,,,276.565,276.565,,,
[2G2] SF6 y PFC de otros usos de productos,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2G3] N2O de usos de productos,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2G4] Otros,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2H] Otros,35.530,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,35.530,,,
[2H1] Industria de la pulpa y el papel,35.530,,,,,,,,,,,,,,,,,,,,,,,,,,,35.530,,,
[2H2] Industria de la alimentación y las bebidas,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2H3] Otros,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
"[3] Agricultura, silvicultura y otros usos de la tierra","-194,286.155","101,931.353","36,990.300",,,,,,,,,,,,,,,,,,,,,,,,,"-55,364.501",,,10.312
 [3A] Ganado,,"100,586.091","8,059.302",,,,,,,,,,,,,,,,,,,,,,,,,"108,645.393",,,
     [3A1] Fermentación entérica,,"81,320.857",,,,,,,,,,,,,,,,,,,,,,,,,,"81,320.857",,,
          [3A1a] Bovino,,"77,538.527",,,,,,,,,,,,,,,,,,,,,,,,,,"77,538.527",,,
          [3A1b] Búfalos,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
             [3A1c] Ovinos,,"1,661.490",,,,,,,,,,,,,,,,,,,,,,,,,,"1,661.490",,,
          [3A1d] Caprino,,"1,173.920",,,,,,,,,,,,,,,,,,,,,,,,,,"1,173.920",,,
          [3A1e] Camello,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
          [3A1f] Caballos,,437.594,,,,,,,,,,,,,,,,,,,,,,,,,,437.594,,,
          [3A1g] Mulas y asnos,,109.310,,,,,,,,,,,,,,,,,,,,,,,,,,109.310,,,
          [3A1h] Porcinos,,400.015,,,,,,,,,,,,,,,,,,,,,,,,,,400.015,,,
          [3A1i] Otros  (especificar),,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
     [3A2] Gestión del estiércol,,"19,265.234","8,059.302",,,,,,,,,,,,,,,,,,,,,,,,,"27,324.537",,,
          [3A2a] Bovinos,,"11,557.613","7,155.026",,,,,,,,,,,,,,,,,,,,,,,,,"18,712.639",,,
          [3A2b] Búfalos,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
             [3A2c] Ovinos,,19.520,39.100,,,,,,,,,,,,,,,,,,,,,,,,,58.620,,,
          [3A2d] Caprino,,13.680,21.280,,,,,,,,,,,,,,,,,,,,,,,,,34.960,,,
          [3A2e] Camello,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
          [3A2f] Caballos,,42.061,,,,,,,,,,,,,,,,,,,,,,,,,,42.061,,,
          [3A2g] Mulas y asnos,,10.729,,,,,,,,,,,,,,,,,,,,,,,,,,10.729,,,
          [3A2h] Porcinos,,"5,733.607",456.569,,,,,,,,,,,,,,,,,,,,,,,,,"6,190.175",,,
          [3A2i] Aves de corral,,"1,888.024",387.327,,,,,,,,,,,,,,,,,,,,,,,,,"2,275.352",,,
          [3A2g] Otros  (especificar),,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
  [3B] Tierra,"-184,225.85",0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,"-184,225.848",,,
     [3B1] Tierra forestales,"-187,152.14",0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,"-187,152.14",,,
          [3B1a] Tierras forestales que permanecen como tal,"-184,082.07",,,,,,,,,,,,,,,,,,,,,,,,,,,"-184,082.069",,,
          [3B1b] Tierras convertidas a tierras forestales,"-3,070.07",,,,,,,,,,,,,,,,,,,,,,,,,,,"-3,070.074",,,
     [3B2] Tierra de cultivo,"-9,880.17",0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,"-9,880.17",,,
          [3B2a] Tierras de cultivo que permanecen como tal,"-19,206.87",,,,,,,,,,,,,,,,,,,,,,,,,,,"-19,206.874",,,
          [3B2b] Tierras convertidas a tierras de cultivo,"9,326.70",,,,,,,,,,,,,,,,,,,,,,,,,,,"9,326.699",,,
     [3B3] Praderas,"12,092.55",0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,"12,092.55",,,
          [3B3a] Praderas que permanecen como tal,-567.82,,,,,,,,,,,,,,,,,,,,,,,,,,,-567.817,,,
          [3B3b] Tierras convertidas en praderas,"12,660.36",,,,,,,,,,,,,,,,,,,,,,,,,,,"12,660.363",,,
     [3B4] Humedales,206.14,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,206.14,,,
          [3B4a] Humedales que permanecen como tal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
          [3B4b] Tierras convertidas en humedales,206.14,,,,,,,,,,,,,,,,,,,,,,,,,,,206.143,,,
     [3B5] Asentamientos ,439.03,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,439.03,,,
          [3B5a] Asentamientos que permanecen como tal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
          [3B5b] Tierras convertidas en asentamientos,439.03,,,,,,,,,,,,,,,,,,,,,,,,,,,439.031,,,
     [3B6] Otras tierras ,68.75,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,68.75,,,
          [3B6a] Otras tierras que permanecen como tal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
          [3B6b] Tierras convertidas en otras tierras,68.75,,,,,,,,,,,,,,,,,,,,,,,,,,,68.749,,,
  [3C] Fuentes agregadas y fuentes de emisión no CO2 de la tierra,"1,440.93","1,345.26","28,930.998",,,,,,,,,,,,,,,,,,,,,,,,,"31,717.190",,,10.312
     [3C1] Emisiones de GEI por quemado de biomasa,0.000,"1,207.512",495.877,,,,,,,,,,,,,,,,,,,,,,,,,"1,703.390",,,10.312
          [3C1a] Emisiones de quemado de biomasa en tierras forestales,,299.880,109.870,,,,,,,,,,,,,,,,,,,,,,,,,409.750,,,2.987
          [3C1b] Emisiones de quemado de biomasa en tierras de cultivo,,709.882,215.127,,,,,,,,,,,,,,,,,,,,,,,,,925.010,,,3.916
