          [3C1c] Emisiones de quemado de biomasa en tierras praderas,,197.750,170.880,,,,,,,,,,,,,,,,,,,,,,,,,368.630,,,3.409
          [3C1d] Emisiones de quemado de biomasa en otras tierras,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
     [3C2] Encalado,47.100,,,,,,,,,,,,,,,,,,,,,,,,,,,47.100,,,
     [3C3] Aplicación de urea,"1,393.830",,,,,,,,,,,,,,,,,,,,,,,,,,,"1,393.830",,,
     [3C4] Emisiones directas de los N2O de los suelos gestionados,,,"21,252.019",,,,,,,,,,,,,,,,,,,,,,,,,"21,252.019",,,
     [3C5] Emisiones indirectas de los N2O de los suelos gestionados,,,"6,444.851",,,,,,,,,,,,,,,,,,,,,,,,,"6,444.851",,,
     [3C6] Emisiones indirectas de los N2O de la gestión del estiércol,,,738.251,,,,,,,,,,,,,,,,,,,,,,,,,738.251,,,
     [3C7] Cultivo del arroz,,137.750,,,,,,,,,,,,,,,,,,,,,,,,,,137.750,,,
  [3D] Otros,"-11,501.236",,,,,,,,,,,,,,,,,,,,,,,,,,,"-11,501.236",,,
     [3D1] Productos de madera recolectada,-11501.23649,,,,,,,,,,,,,,,,,,,,,,,,,,,"-11,501.236",,,
     [3D2] Otros (especificar),,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[4] Residuos,"1,060.668","49,467.467","2,441.687",,,,,,,,,,,,,,,,,,,,,,,,,"52,969.822",,,1.591
[4A] Eliminación de residuos sólidos,,"27,680.921",0.000,,,,,,,,,,,,,,,,,,,,,,,,,"27,680.921",,,
[4A1] Sitios gestionados de eliminación de residuos (rellenos sanitarios),,"14,449.249",,,,,,,,,,,,,,,,,,,,,,,,,,"14,449.249",,,
[4A2] Sitios no controlados de eliminación de residuos ,,"5,417.850",,,,,,,,,,,,,,,,,,,,,,,,,,"5,417.850",,,
[4A3] Tiraderos a cielo abierto para eliminación de residuos,,"7,813.822",,,,,,,,,,,,,,,,,,,,,,,,,,"7,813.822",,,
[4B] Tratamiento biológico de los residuos sólidos,,97.832,69.444,,,,,,,,,,,,,,,,,,,,,,,,,167.276,,,
[4C] Incineración y quema a cielo abierto  de residuos,"1,060.668",772.753,184.042,,,,,,,,,,,,,,,,,,,,,,,,,"2,017.463",,,1.591
[4C1] Incineración de residuos peligrosos industriales y biológico infeccioso,43.868,0.076,1.365,,,,,,,,,,,,,,,,,,,,,,,,,45.308,,,
[4C2] Quema a cielo abierto de residuos sólidos,"1,016.800",772.677,182.678,,,,,,,,,,,,,,,,,,,,,,,,,"1,972.155",,,1.591
[4D] Tratamiento y eliminación de aguas residuales,,"20,915.960","2,188.201",,,,,,,,,,,,,,,,,,,,,,,,,"23,104.162",,,
[4D1] Tratamiento y eliminación de aguas residuales municipales,,"4,058.609","2,188.201",,,,,,,,,,,,,,,,,,,,,,,,,"6,246.811",,,
[4D2] Tratamiento y eliminación de aguas residuales industriales,,"16,857.351",,,,,,,,,,,,,,,,,,,,,,,,,,"16,857.351",,,
[4E] Otros,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
EMISIONES NETAS (Gg de CO2e),"332,067.786","173,705.912","42,778.197","1,880.024","1,486.686",12.837,33.695,0.282,"7,174.357","7,866.096",140.313,482.525,37.479,71.820,47.838,1.074,486.911,"1,293.379",0.002,22.749,2.508,0.225,0.000,0.081,0.000,2.272,278.664,"569,873.710",,,70.733
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bunkers,"5,697.020",1.098,41.378,,,,,,,,,,,,,,,,,,,,,,,,,"5,739.496",,,0.089
Aviación internacional,"6,304.405",1.216,46.015,,,,,,,,,,,,,,,,,,,,,,,,,"6,351.636",,,0.089
Marítimo internacional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emisiones de CO2 por quema de biomasa,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nota:,Las emisiones de bunkers y las emisiones de CO2 por la quema de biomasa no se encuentran contabilizadas al total de inventario,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
