          [3C1d] Emisiones de quemado de biomasa en otras tierras,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
     [3C2] Encalado,36.500,,,,,,,,,,,,,,,,,,,,,,,,,,,36.500,,,
     [3C3] Aplicación de urea,"1,309.750",,,,,,,,,,,,,,,,,,,,,,,,,,,"1,309.750",,,
     [3C4] Emisiones directas de los N2O de los suelos gestionados,,,"10,741.888",,,,,,,,,,,,,,,,,,,,,,,,,"10,741.888",,,
     [3C5] Emisiones indirectas de los N2O de los suelos gestionados,,,"5,207.485",,,,,,,,,,,,,,,,,,,,,,,,,"5,207.485",,,
     [3C6] Emisiones indirectas de los N2O de la gestión del estiércol,,,"2,523.566",,,,,,,,,,,,,,,,,,,,,,,,,"2,523.566",,,
     [3C7] Cultivo del arroz,,192.810,,,,,,,,,,,,,,,,,,,,,,,,,,192.810,,,
  [3D] Otros,"-4,736.310",,,,,,,,,,,,,,,,,,,,,,,,,,,"-4,736.310",,,
     [3D1] Productos de madera recolectada,-4736.310219,,,,,,,,,,,,,,,,,,,,,,,,,,,"-4,736.310",,,
     [3D2] Otros (especificar),,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[4] Residuos,635.032,"32,593.264","3,427.823",,,,,,,,,,,,,,,,,,,,,,,,,"36,656.119",,,1.654
[4A] Eliminación de residuos sólidos,,"13,962.678",0.000,,,,,,,,,,,,,,,,,,,,,,,,,"13,962.678",,,
[4A1] Sitios gestionados de eliminación de residuos (rellenos sanitarios),,"7,137.601",,,,,,,,,,,,,,,,,,,,,,,,,,"7,137.601",,,
[4A2] Sitios no controlados de eliminación de residuos ,,"2,800.066",,,,,,,,,,,,,,,,,,,,,,,,,,"2,800.066",,,
[4A3] Tiraderos a cielo abierto para eliminación de residuos,,"4,025.010",,,,,,,,,,,,,,,,,,,,,,,,,,"4,025.010",,,
[4B] Tratamiento biológico de los residuos sólidos,,104.771,74.369,,,,,,,,,,,,,,,,,,,,,,,,,179.139,,,
[4C] Incineración y quema a cielo abierto  de residuos,635.032,853.760,187.231,,,,,,,,,,,,,,,,,,,,,,,,,"1,676.023",,,1.654
[4C1] Incineración de residuos peligrosos industriales y biológico infeccioso,27.123,0.074,0.780,,,,,,,,,,,,,,,,,,,,,,,,,27.978,,,
[4C2] Quema a cielo abierto de residuos sólidos,607.909,853.686,186.451,,,,,,,,,,,,,,,,,,,,,,,,,"1,648.045",,,1.654
[4D] Tratamiento y eliminación de aguas residuales,,"17,672.056","3,166.223",,,,,,,,,,,,,,,,,,,,,,,,,"20,838.279",,,
[4D1] Tratamiento y eliminación de aguas residuales municipales,,"4,769.615","3,166.223",,,,,,,,,,,,,,,,,,,,,,,,,"7,935.837",,,
[4D2] Tratamiento y eliminación de aguas residuales industriales,,"12,902.441",,,,,,,,,,,,,,,,,,,,,,,,,,"12,902.441",,,
[4E] Otros,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
EMISIONES NETAS (Gg de CO2e),"262,024.906","151,651.167","31,918.170","1,277.423",1.883,0.000,0.000,0.000,"2,194.033",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,1.013,0.565,0.113,0.000,0.040,0.000,1.025,117.440,"449,187.779",,,74.240
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bunkers,"3,307.426",0.638,24.141,,,,,,,,,,,,,,,,,,,,,,,,,"3,332.205",,,
Aviación internacional,"3,307.426",0.638,24.141,,,,,,,,,,,,,,,,,,,,,,,,,"3,332.205",,,
Marítimo internacional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emisiones de CO2 por quema de biomasa,"27,778.902",,,,,,,,,,,,,,,,,,,,,,,,,,,"27,778.902",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nota:,Las emisiones de bunkers y las emisiones de CO2 por la quema de biomasa no se encuentran contabilizadas al total de inventario,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
