,INVENTARIO NACIONAL DE EMISIONES DE GASES Y COMPUESTOS DE EFECTO INVERNADERO (INEGYCEI),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CATEGORÍA / FUENTE / SUBFUENTE 
DE EMISIÓN",Emisiones de gases de efecto invernadero  (Gg de CO2e ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Carbono negro
(Gg)"
,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CO2,CH4,N2O,HFCs,,,,,,,,,,,,,,,,PFCs,,,,,,NF3,SF6,"EMISIONES NETAS
Gg en CO2e"," 
EMISIONES
(sin 3B y 3D)
Gg en CO2e",,
,,,,HFC-23,HFC-410A,HFC-43-10mee,HFC-125,HFC-134,HFC-134a,HFC-404A,HFC-407C,HFC-507a,HFC-152a,HFC-227ea,HFC-236fa,HFC-365mfc/227ea,HFC-365mfc,HFC-245fa,HFC-32,CF4,C2F6,C3F8,C4F6,c-C4F8,C5F8,,,,,,
  Potencial de calentamiento,1,28,265,"12,400","1,924","1,650","3,170","1,120","1,300","3,943","1,624","3,985",138,"2,640","8,060",982,804,858,677,"6,630","11,100","8,900",1,"9,540",2,"16,100","23,500",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMISIONES NETAS (Gg de CO2e),"262,024.906","151,651.167","31,918.170","1,277.423",1.883,0.000,0.000,0.000,"2,194.033",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,1.013,0.565,0.113,0.000,0.040,0.000001,1.025,117.440,"449,187.779","653,275.453",,74.240
[1] Energía,"412,674.476","27,457.301","3,733.324",,,,,,,,,,,,,,,,,,,,,,,,,"443,865.101",,,67.271
[1A] Actividades de quema del combustible,"396,809.281","2,995.385","3,712.311",,,,,,,,,,,,,,,,,,,,,,,,,"403,516.977",,,62.611
[1A1] Industrias de la energía,"160,129.319",129.898,300.525,,,,,,,,,,,,,,,,,,,,,,,,,"160,559.743",,,10.107
[1A1a] Actividad principal producción de electricidad y calor,"124,905.797",107.843,270.381,,,,,,,,,,,,,,,,,,,,,,,,,"125,284.021",,,8.722
[1A1b] Refinación del petróleo,"10,310.547",7.662,11.908,,,,,,,,,,,,,,,,,,,,,,,,,"10,330.117",,,1.106
[1A1c] Manufactura de combustibles sólidos y otras industrias de la energía,"24,912.975",14.393,18.236,,,,,,,,,,,,,,,,,,,,,,,,,"24,945.604",,,0.279
[1A2] Industrias manufactura y de la construcción,"60,250.608",111.982,156.201,,,,,,,,,,,,,,,,,,,,,,,,,"60,518.791",,,1.241
[1A2a] Hierro y acero,"2,974.539",1.867,2.503,,,,,,,,,,,,,,,,,,,,,,,,,"2,978.908",,,0.043
[1A2b] Metales no ferrosos,"1,268.580",0.942,1.455,,,,,,,,,,,,,,,,,,,,,,,,,"1,270.977",,,0.015
[1A2c] Sustancias químicas,"10,453.579",6.206,7.986,,,,,,,,,,,,,,,,,,,,,,,,,"10,467.771",,,0.098
"[1A2d] Pulpa, papel e imprenta","2,430.591",1.729,2.595,,,,,,,,,,,,,,,,,,,,,,,,,"2,434.915",,,0.051
"[1A2e] Procesamiento de alimentos, bebidas y tabaco","2,732.870",43.276,55.966,,,,,,,,,,,,,,,,,,,,,,,,,"2,832.112",,,0.635
[1A2f] Minerales no metálicos,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[1A2g] Equipo de transporte,191.164,0.116,0.150,,,,,,,,,,,,,,,,,,,,,,,,,191.429,,,0.001
[1A2h] Maquinaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[1A2i] Minería (con excepción de combustibles) y cantería,"12,283.880",12.811,22.281,,,,,,,,,,,,,,,,,,,,,,,,,"12,318.972",,,0.108
[1A2j] Madera y productos de la madera,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[1A2k] Construcción,668.599,0.771,1.459,,,,,,,,,,,,,,,,,,,,,,,,,670.830,,,0.003
[1A2l] Textiles y cueros,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[1A2m] Industria no especificada,"27,246.806",44.265,61.806,,,,,,,,,,,,,,,,,,,,,,,,,"27,352.876",,,0.288
[1A3] Transporte,"144,715.553",450.007,"2,949.522",,,,,,,,,,,,,,,,,,,,,,,,,"148,115.082",,,17.506
[1A3a] Aviación civil,"5,230.273",1.008,38.176,,,,,,,,,,,,,,,,,,,,,,,,,"5,269.458",,,0.074
[1A3b] Autotransporte,"135,305.733",439.810,"2,703.593",,,,,,,,,,,,,,,,,,,,,,,,,"138,449.136",,,17.276
[1A3c] Ferrocarriles,"1,834.169",2.926,190.817,,,,,,,,,,,,,,,,,,,,,,,,,"2,027.911",,,0.043
[1A3d] Navegación marítima y fluvial,"2,345.377",6.263,16.936,,,,,,,,,,,,,,,,,,,,,,,,,"2,368.577",,,0.113
[1A3e] Otro transporte,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[1A4] Otros sectores,"31,713.801","2,303.497",306.063,,,,,,,,,,,,,,,,,,,,,,,,,"34,323.362",,,33.757
[1A4a] Comercial/institucional,"4,837.069",10.902,2.366,,,,,,,,,,,,,,,,,,,,,,,,,"4,850.336",,,2.368
[1A4b] Residencial,"19,780.260","2,265.951",288.870,,,,,,,,,,,,,,,,,,,,,,,,,"22,335.081",,,31.128
[1A4c] Agropecuario/silvicultura/pesca/piscifactorías,"7,096.472",26.645,14.827,,,,,,,,,,,,,,,,,,,,,,,,,"7,137.944",,,0.262
[1B] Emisiones fugitivas provenientes de la fabricación de combustibles,"15,865.195","24,461.916",21.013,,,,,,,,,,,,,,,,,,,,,,,,,"40,348.124",,,4.659
[1B1] Combustibles sólidos,74.241,"2,611.276",,,,,,,,,,,,,,,,,,,,,,,,,,"2,685.517",,,0.000
[1B1a] Minería carbonífera y manejo del carbón,74.241,"2,611.276",0.000,,,,,,,,,,,,,,,,,,,,,,,,,"2,685.517",,,0.000
[1B1ai] Minas subterráneas,70.704,"2,504.722",,,,,,,,,,,,,,,,,,,,,,,,,,"2,575.426",,,
[1B1aii] Minas superficie,3.537,106.554,,,,,,,,,,,,,,,,,,,,,,,,,,110.091,,,
[1B1b] Combustión espontánea y vertederos para quema de carbón,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,0.000
[1B2] Petróleo y gas natural,"15,790.954","21,850.640",21.013,,,,,,,,,,,,,,,,,,,,,,,,,"37,662.607",,,4.659
[1B2a] Petróleo,"13,566.428","15,484.886",20.898,,,,,,,,,,,,,,,,,,,,,,,,,"29,072.212",,,
1B2ai Venteo petróleo,"6,447.410","9,089.088",,,,,,,,,,,,,,,,,,,,,,,,,,"15,536.499",,,
1B2aii Quemado petróleo,"7,048.604","6,327.741",20.898,,,,,,,,,,,,,,,,,,,,,,,,,"13,397.244",,,4.659
1B2aiii Otras fugitivas petróleo,70.413,68.057,,,,,,,,,,,,,,,,,,,,,,,,,,138.470,,,
[1B2b] Gas natural,"2,224.526","6,365.753",0.115,,,,,,,,,,,,,,,,,,,,,,,,,"8,590.394",,,
1B2bi Venteo gas natural,"2,086.275","2,444.434",,,,,,,,,,,,,,,,,,,,,,,,,,"4,530.710",,,
1B2bii Quemado gas natural,132.640,2.475,0.115,,,,,,,,,,,,,,,,,,,,,,,,,135.230,,,
1B2biii Otras fugitivas gas natural,5.611,"3,918.844",,,,,,,,,,,,,,,,,,,,,,,,,,"3,924.455",,,
[2] Procesos industriales y uso de productos,"51,456.822",216.419,363.285,"1,277.423",1.883,0.000,0.000,0.000,"2,194.033",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,1.013,0.565,0.113,0.000,0.040,0.000,1.025,117.440,"55,630.062",,,0.000
[2A] Industria de los minerales,"31,876.470",0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,"31,876.470",,,
[2A1] Producción de cemento,"17,592.605",,,,,,,,,,,,,,,,,,,,,,,,,,,"17,592.605",,,
[2A2] Producción de cal,"2,667.354",,,,,,,,,,,,,,,,,,,,,,,,,,,"2,667.354",,,
[2A3] Producción de vidrio,267.029,,,,,,,,,,,,,,,,,,,,,,,,,,,267.029,,,
[2A4] Otros usos de carbonatos,"11,349.483",,,,,,,,,,,,,,,,,,,,,,,,,,,"11,349.483",,,
[2A5] Otros,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2B] Industria química,"2,754.979",213.399,363.171,"1,277.160",,,,,,,,,,,,,,,,,,,,,,,,"4,608.710",,,
[2B1] Producción de amoniaco,709.268,,,,,,,,,,,,,,,,,,,,,,,,,,,709.268,,,
[2B2] Producción de ácido nítrico,,,170.229,,,,,,,,,,,,,,,,,,,,,,,,,170.229,,,
[2B3] Producción de ácido adípico,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
"[2B4] Producción de caprolactama, glioxil y ácido glioxílico",,,192.942,,,,,,,,,,,,,,,,,,,,,,,,,192.942,,,
[2B5] Producción de carburo,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2B6] Producción de dióxido de titanio,176.481,,,,,,,,,,,,,,,,,,,,,,,,,,,176.481,,,
[2B7] Producción de ceniza de sosa,40.020,,,,,,,,,,,,,,,,,,,,,,,,,,,40.020,,,
[2B8] Producción petroquímica y negro de humo,"1,829.211",213.399,,,,,,,,,,,,,,,,,,,,,,,,,,"2,042.610",,,
[2B9] Producción fluoroquímica, ,,,"1,277.160",,,,,,,,,,,,,,,,,,,,,,,,"1,277.160",,,
[2B10] Otros,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2C] Industria de los metales,"16,554.661",3.019,0.000,,,,,,,,,,,,,,,,,,,,,,,,,"16,557.681",,,
[2C1] Producción de hierro y acero,"16,264",3.019,,,,,,,,,,,,,,,,,,,,,,,,,,"16,266.562",,,
[2C2] Producción de ferroaleaciones,220.053,,,,,,,,,,,,,,,,,,,,,,,,,,,220.053,,,
[2C3] Producción de aluminio,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2C4] Producción de magnesio,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2C5] Producción de plomo,71.066,,,,,,,,,,,,,,,,,,,,,,,,,,,71.066,,,
[2C6] Producción de zinc,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2C7] Otros,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2D] Uso de productos no energéticos de combustibles y de solvente,200.645,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,200.645,,,
[2D1] Uso de lubricantes,169.658,,,,,,,,,,,,,,,,,,,,,,,,,,,169.658,,,
[2D2] Uso de la cera de parafina,30.987,,,,,,,,,,,,,,,,,,,,,,,,,,,30.987,,,
[2D3] Uso de solventes,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2D4] Otros,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2E] Industria electrónica,0.000,0.000,0.114,0.263,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,1.013,0.565,0.113,0.000,0.040,0.000001,1.025,0.499,3.633,,,
[2E1] Circuitos integrados o semiconductores,,,0.114,0.263,,,,,,,,,,,,,,,0.001,1.013,0.565,0.113,0.000,0.040,0.000001,1.025,0.499,3.633,,,
[2E2] Pantalla plana tipo TFT,,,0.000,,,,,,,,,,,,,,,,,0.000,,,,0.000,,0.000,0.000,0.000,,,
[2E3] Células fotovoltaicas,,,,,,,,,,,,,,,,,,,,0.000,0.000,,,,,,,0.000,,,
[2E4] Fluido de transferencia térmica,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2E5] Otros,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2F] Uso de productos sustitutos de las sustancias que agotan la capa de ozono,0.000,0.000,0.000,0.000,1.883,0.000,0.000,0.000,"2,194.033",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,"2,195.915",,,
[2F1] Refrigeración y aire acondicionado,,,,,1.883,,,,"2,194.033",,,,,,,,,,,,,,,,,,,"2,195.915",,,
[2F2] Agentes espumantes,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2F3] Protección contra incendios,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2F4] Aerosoles,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2F5] Solventes,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2F6] Otras aplicaciones,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2G] Manufactura y utilización de otros productos,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,116.941,116.941,,,
[2G1] Equipos eléctricos,,,,,,,,,,,,,,,,,,,,,,,,,,,116.941,116.941,,,
[2G2] SF6 y PFC de otros usos de productos,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2G3] N2O de usos de productos,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2G4] Otros,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2H] Otros,70.066,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,70.066,,,
[2H1] Industria de la pulpa y el papel,70.066,,,,,,,,,,,,,,,,,,,,,,,,,,,70.066,,,
[2H2] Industria de la alimentación y las bebidas,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2H3] Otros,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
"[3] Agricultura, silvicultura y otros usos de la tierra","-202,741.424","91,384.183","24,393.739",,,,,,,,,,,,,,,,,,,,,,,,,"-86,963.502",,,5.315
 [3A] Ganado,,"90,052.524","5,524.022",,,,,,,,,,,,,,,,,,,,,,,,,"95,576.546",,,
     [3A1] Fermentación entérica,,"72,941.340",,,,,,,,,,,,,,,,,,,,,,,,,,"72,941.340",,,
          [3A1a] Bovino,,"69,071.963",,,,,,,,,,,,,,,,,,,,,,,,,,"69,071.963",,,
          [3A1b] Búfalos,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
             [3A1c] Ovinos,,"1,334.100",,,,,,,,,,,,,,,,,,,,,,,,,,"1,334.100",,,
          [3A1d] Caprino,,"1,224.980",,,,,,,,,,,,,,,,,,,,,,,,,,"1,224.980",,,
          [3A1e] Camello,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
          [3A1f] Caballos,,719.181,,,,,,,,,,,,,,,,,,,,,,,,,,719.181,,,
          [3A1g] Mulas y asnos,,252.245,,,,,,,,,,,,,,,,,,,,,,,,,,252.245,,,
          [3A1h] Porcinos,,338.871,,,,,,,,,,,,,,,,,,,,,,,,,,338.871,,,
          [3A1i] Otros  (especificar),,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
     [3A2] Gestión del estiércol,,"17,111.184","5,524.022",,,,,,,,,,,,,,,,,,,,,,,,,"22,635.206",,,
          [3A2a] Bovinos,,"10,273.848","4,750.441",,,,,,,,,,,,,,,,,,,,,,,,,"15,024.290",,,
          [3A2b] Búfalos,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
             [3A2c] Ovinos,,15.140,31.400,,,,,,,,,,,,,,,,,,,,,,,,,46.540,,,
          [3A2d] Caprino,,13.820,21.470,,,,,,,,,,,,,,,,,,,,,,,,,35.290,,,
          [3A2e] Camello,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
          [3A2f] Caballos,,70.629,,,,,,,,,,,,,,,,,,,,,,,,,,70.629,,,
          [3A2g] Mulas y asnos,,24.952,,,,,,,,,,,,,,,,,,,,,,,,,,24.952,,,
          [3A2h] Porcinos,,"5,149.539",421.119,,,,,,,,,,,,,,,,,,,,,,,,,"5,570.658",,,
          [3A2i] Aves de corral,,"1,563.255",299.592,,,,,,,,,,,,,,,,,,,,,,,,,"1,862.847",,,
          [3A2g] Otros  (especificar),,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
  [3B] Tierra,"-199,351.36",0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,"-199,351.363",,,
     [3B1] Tierra forestales,"-194,234.19",0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,"-194,234.19",,,
          [3B1a] Tierras forestales que permanecen como tal,"-193,103.11",,,,,,,,,,,,,,,,,,,,,,,,,,,"-193,103.108",,,
          [3B1b] Tierras convertidas a tierras forestales,"-1,131.08",,,,,,,,,,,,,,,,,,,,,,,,,,,"-1,131.080",,,
     [3B2] Tierra de cultivo,"-12,457.96",0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,"-12,457.96",,,
          [3B2a] Tierras de cultivo que permanecen como tal,"-15,689.38",,,,,,,,,,,,,,,,,,,,,,,,,,,"-15,689.384",,,
          [3B2b] Tierras convertidas a tierras de cultivo,"3,231.43",,,,,,,,,,,,,,,,,,,,,,,,,,,"3,231.425",,,
     [3B3] Praderas,"6,765.70",0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,"6,765.70",,,
          [3B3a] Praderas que permanecen como tal,-572.89,,,,,,,,,,,,,,,,,,,,,,,,,,,-572.890,,,
          [3B3b] Tierras convertidas en praderas,"7,338.59",,,,,,,,,,,,,,,,,,,,,,,,,,,"7,338.590",,,
     [3B4] Humedales,198.65,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,198.65,,,
          [3B4a] Humedales que permanecen como tal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
          [3B4b] Tierras convertidas en humedales,198.65,,,,,,,,,,,,,,,,,,,,,,,,,,,198.647,,,
     [3B5] Asentamientos ,233.89,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,233.89,,,
          [3B5a] Asentamientos que permanecen como tal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
          [3B5b] Tierras convertidas en asentamientos,233.89,,,,,,,,,,,,,,,,,,,,,,,,,,,233.892,,,
     [3B6] Otras tierras ,142.54,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,142.54,,,
          [3B6a] Otras tierras que permanecen como tal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
          [3B6b] Tierras convertidas en otras tierras,142.54,,,,,,,,,,,,,,,,,,,,,,,,,,,142.544,,,
  [3C] Fuentes agregadas y fuentes de emisión no CO2 de la tierra,"1,346.25","1,331.66","18,869.717",,,,,,,,,,,,,,,,,,,,,,,,,"21,547.625",,,5.315
     [3C1] Emisiones de GEI por quemado de biomasa,0.000,"1,138.848",396.778,,,,,,,,,,,,,,,,,,,,,,,,,"1,535.627",,,5.315
          [3C1a] Emisiones de quemado de biomasa en tierras forestales,,495.940,175.680,,,,,,,,,,,,,,,,,,,,,,,,,671.620,,,1.711
          [3C1b] Emisiones de quemado de biomasa en tierras de cultivo,,595.978,180.538,,,,,,,,,,,,,,,,,,,,,,,,,776.517,,,3.368
          [3C1c] Emisiones de quemado de biomasa en tierras praderas,,46.930,40.560,,,,,,,,,,,,,,,,,,,,,,,,,87.490,,,0.236
