,INVENTARIO NACIONAL DE EMISIONES DE GASES Y COMPUESTOS DE EFECTO INVERNADERO (INEGYCEI),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CATEGORÍA / FUENTE / SUBFUENTE 
DE EMISIÓN",Emisiones de gases de efecto invernadero  (Gg de CO2e ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Carbono negro
(Gg)"
,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CO2,CH4,N2O,HFCs,,,,,,,,,,,,,,,,PFCs,,,,,,NF3,SF6,"EMISIONES NETAS
Gg en CO2e"," 
EMISIONES
(sin 3B y 3D)
Gg en CO2e",,
,,,,HFC-23,HFC-410A,HFC-43-10mee,HFC-125,HFC-134,HFC-134a,HFC-404A,HFC-407C,HFC-507a,HFC-152a,HFC-227ea,HFC-236fa,HFC-365mfc/227ea,HFC-365mfc,HFC-245fa,HFC-32,CF4,C2F6,C3F8,C4F6,c-C4F8,C5F8,,,,,,
  Potencial de calentamiento,1,28,265,"12,400","1,924","1,650","3,170","1,120","1,300","3,943","1,624","3,985",138,"2,640","8,060",982,804,858,677,"6,630","11,100","8,900",1,"9,540",2,"16,100","23,500",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMISIONES NETAS (Gg de CO2e),"224,329.118","145,781.654","32,541.264","1,602.532",0.723,0.000,0.000,0.000,"1,191.895",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,133.495,35.881,0.100,0.000,0.036,0.000,0.905,97.371,"405,714.974","606,865.072",,80.546
[1] Energía,"378,538.555","26,433.946","3,482.418",,,,,,,,,,,,,,,,,,,,,,,,,"408,454.918",,,72.560
[1A] Actividades de quema del combustible,"362,875.950","2,977.921","3,462.521",,,,,,,,,,,,,,,,,,,,,,,,,"369,316.393",,,68.152
[1A1] Industrias de la energía,"162,372.656",143.887,329.024,,,,,,,,,,,,,,,,,,,,,,,,,"162,845.567",,,14.329
[1A1a] Actividad principal producción de electricidad y calor,"128,076.978",121.096,296.172,,,,,,,,,,,,,,,,,,,,,,,,,"128,494.247",,,12.867
[1A1b] Refinación del petróleo,"10,393.351",7.918,12.527,,,,,,,,,,,,,,,,,,,,,,,,,"10,413.796",,,1.187
[1A1c] Manufactura de combustibles sólidos y otras industrias de la energía,"23,902.326",14.873,20.325,,,,,,,,,,,,,,,,,,,,,,,,,"23,937.524",,,0.275
[1A2] Industrias manufactura y de la construcción,"44,674.365",76.428,107.120,,,,,,,,,,,,,,,,,,,,,,,,,"44,857.912",,,1.184
[1A2a] Hierro y acero,"2,384.539",1.690,2.528,,,,,,,,,,,,,,,,,,,,,,,,,"2,388.757",,,0.051
[1A2b] Metales no ferrosos,"1,177.503",0.898,1.413,,,,,,,,,,,,,,,,,,,,,,,,,"1,179.814",,,0.016
[1A2c] Sustancias químicas,"9,030.288",5.397,6.919,,,,,,,,,,,,,,,,,,,,,,,,,"9,042.604",,,0.091
"[1A2d] Pulpa, papel e imprenta","2,305.830",1.741,2.734,,,,,,,,,,,,,,,,,,,,,,,,,"2,310.306",,,0.059
"[1A2e] Procesamiento de alimentos, bebidas y tabaco","3,180.276",37.792,49.453,,,,,,,,,,,,,,,,,,,,,,,,,"3,267.520",,,0.590
[1A2f] Minerales no metálicos,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[1A2g] Equipo de transporte,133.961,0.081,0.104,,,,,,,,,,,,,,,,,,,,,,,,,134.146,,,0.000
[1A2h] Maquinaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[1A2i] Minería (con excepción de combustibles) y cantería,"7,921.186",8.942,15.142,,,,,,,,,,,,,,,,,,,,,,,,,"7,945.270",,,0.083
[1A2j] Madera y productos de la madera,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[1A2k] Construcción,446.508,0.515,0.975,,,,,,,,,,,,,,,,,,,,,,,,,447.998,,,0.002
[1A2l] Textiles y cueros,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[1A2m] Industria no especificada,"18,094.274",19.371,27.852,,,,,,,,,,,,,,,,,,,,,,,,,"18,141.497",,,0.291
[1A3] Transporte,"124,884.007",438.334,"2,721.057",,,,,,,,,,,,,,,,,,,,,,,,,"128,043.398",,,17.935
[1A3a] Aviación civil,"6,095.432",1.175,44.490,,,,,,,,,,,,,,,,,,,,,,,,,"6,141.097",,,0.086
[1A3b] Autotransporte,"114,823.087",428.298,"2,493.783",,,,,,,,,,,,,,,,,,,,,,,,,"117,745.168",,,17.678
[1A3c] Ferrocarriles,"1,592.663",2.540,165.692,,,,,,,,,,,,,,,,,,,,,,,,,"1,760.896",,,0.038
[1A3d] Navegación marítima y fluvial,"2,372.826",6.321,17.092,,,,,,,,,,,,,,,,,,,,,,,,,"2,396.238",,,0.133
[1A3e] Otro transporte,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[1A4] Otros sectores,"30,944.922","2,319.273",305.320,,,,,,,,,,,,,,,,,,,,,,,,,"33,569.516",,,34.704
[1A4a] Comercial/institucional,"4,694.987",10.485,2.227,,,,,,,,,,,,,,,,,,,,,,,,,"4,707.698",,,2.396
[1A4b] Residencial,"20,599.906","2,287.951",291.684,,,,,,,,,,,,,,,,,,,,,,,,,"23,179.541",,,31.973
[1A4c] Agropecuario/silvicultura/pesca/piscifactorías,"5,650.029",20.837,11.410,,,,,,,,,,,,,,,,,,,,,,,,,"5,682.276",,,0.335
[1B] Emisiones fugitivas provenientes de la fabricación de combustibles,"15,662.604","23,456.024",19.896,,,,,,,,,,,,,,,,,,,,,,,,,"39,138.525",,,4.408
[1B1] Combustibles sólidos,77.127,"2,712.781",,,,,,,,,,,,,,,,,,,,,,,,,,"2,789.908",,,0.000
[1B1a] Minería carbonífera y manejo del carbón,77.127,"2,712.781",,,,,,,,,,,,,,,,,,,,,,,,,,"2,789.908",,,0.000
[1B1ai] Minas subterráneas,73.452,"2,602.085",,,,,,,,,,,,,,,,,,,,,,,,,,"2,675.537",,,
[1B1aii] Minas superficie,3.675,110.696,,,,,,,,,,,,,,,,,,,,,,,,,,114.371,,,
[1B1b] Combustión espontánea y vertederos para quema de carbón,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,0.000
[1B2] Petróleo y gas natural,"15,585.477","20,743.244",19.896,,,,,,,,,,,,,,,,,,,,,,,,,"36,348.617",,,4.408
[1B2a] Petróleo,"13,267.514","15,763.902",19.833,,,,,,,,,,,,,,,,,,,,,,,,,"29,051.249",,,
1B2ai Venteo petróleo,"6,510.355","9,728.132",,,,,,,,,,,,,,,,,,,,,,,,,,"16,238.487",,,
1B2aii Quemado petróleo,"6,681.058","5,973.002",19.833,,,,,,,,,,,,,,,,,,,,,,,,,"12,673.893",,,4.408
1B2aiii Otras fugitivas petróleo,76.101,62.769,,,,,,,,,,,,,,,,,,,,,,,,,,138.870,,,
[1B2b] Gas natural,"2,317.963","4,979.341",0.064,,,,,,,,,,,,,,,,,,,,,,,,,"7,297.368",,,
1B2bi Venteo gas natural,"2,188.711","1,799.635",,,,,,,,,,,,,,,,,,,,,,,,,,"3,988.346",,,
1B2bii Quemado gas natural,125.478,2.341,0.064,,,,,,,,,,,,,,,,,,,,,,,,,127.883,,,
1B2biii Otras fugitivas gas natural,3.775,"3,177.365",,,,,,,,,,,,,,,,,,,,,,,,,,"3,181.140",,,
[2] Procesos industriales y uso de productos,"45,047.115",196.003,330.986,"1,602.532",0.723,0.000,0.000,0.000,"1,191.895",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,133.495,35.881,0.100,0.000,0.036,0.000,0.905,97.371,"48,637.042",,,0.000
[2A] Industria de los minerales,"25,412.238",0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,"25,412.238",,,
[2A1] Producción de cemento,"14,438.746",,,,,,,,,,,,,,,,,,,,,,,,,,,"14,438.746",,,
[2A2] Producción de cal,"2,611.692",,,,,,,,,,,,,,,,,,,,,,,,,,,"2,611.692",,,
[2A3] Producción de vidrio,440.370,,,,,,,,,,,,,,,,,,,,,,,,,,,440.370,,,
[2A4] Otros usos de carbonatos,"7,921.430",,,,,,,,,,,,,,,,,,,,,,,,,,,"7,921.430",,,
[2A5] Otros,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2B] Industria química,"2,491.373",193.447,330.885,"1,602.299",,,,,,,,,,,,,,,,,,,,,,,,"4,618.005",,,
[2B1] Producción de amoniaco,640.578,,,,,,,,,,,,,,,,,,,,,,,,,,,640.578,,,
[2B2] Producción de ácido nítrico,,,143.546,,,,,,,,,,,,,,,,,,,,,,,,,143.546,,,
[2B3] Producción de ácido adípico,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
"[2B4] Producción de caprolactama, glioxil y ácido glioxílico",,,187.339,,,,,,,,,,,,,,,,,,,,,,,,,187.339,,,
[2B5] Producción de carburo,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2B6] Producción de dióxido de titanio,164.820,,,,,,,,,,,,,,,,,,,,,,,,,,,164.820,,,
[2B7] Producción de ceniza de sosa,40.020,,,,,,,,,,,,,,,,,,,,,,,,,,,40.020,,,
[2B8] Producción petroquímica y negro de humo,"1,645.955",193.447,,,,,,,,,,,,,,,,,,,,,,,,,,"1,839.402",,,
[2B9] Producción fluoroquímica, ,,,"1,602.299",,,,,,,,,,,,,,,,,,,,,,,,"1,602.299",,,
[2B10] Otros,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2C] Industria de los metales,"16,900.008",2.556,0.000,,,,,,,,,,,,,,,,,132.600,35.381,,,,,,,"17,070.546",,,
[2C1] Producción de hierro y acero,"16,599",2.556,,,,,,,,,,,,,,,,,,,,,,,,,,"16,601.709",,,
[2C2] Producción de ferroaleaciones,186.386,,,,,,,,,,,,,,,,,,,,,,,,,,,186.386,,,
[2C3] Producción de aluminio,40.000,,,,,,,,,,,,,,,,,,,132.600,35.381,,,,,,,207.981,,,
[2C4] Producción de magnesio,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2C5] Producción de plomo,74.469,,,,,,,,,,,,,,,,,,,,,,,,,,,74.469,,,
[2C6] Producción de zinc,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2C7] Otros,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2D] Uso de productos no energéticos de combustibles y de solvente,202.795,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,202.795,,,
[2D1] Uso de lubricantes,173.633,,,,,,,,,,,,,,,,,,,,,,,,,,,173.633,,,
[2D2] Uso de la cera de parafina,29.162,,,,,,,,,,,,,,,,,,,,,,,,,,,29.162,,,
[2D3] Uso de solventes,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2D4] Otros,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2E] Industria electrónica,0.000,0.000,0.100,0.232,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.895,0.499,0.100,0.000,0.036,0.000,0.905,0.440,3.209,,,
[2E1] Circuitos integrados o semiconductores,,,0.100,0.232,,,,,,,,,,,,,,,0.001,0.895,0.499,0.100,0.000,0.036,0.000,0.905,0.440,3.209,,,
[2E2] Pantalla plana tipo TFT,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2E3] Células fotovoltaicas,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2E4] Fluido de transferencia térmica,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2E5] Otros,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2F] Uso de productos sustitutos de las sustancias que agotan la capa de ozono,0.000,0.000,0.000,0.000,0.723,0.000,0.000,0.000,"1,191.895",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,"1,192.618",,,
[2F1] Refrigeración y aire acondicionado,,,,,0.723,,,,"1,191.895",,,,,,,,,,,,,,,,,,,"1,192.618",,,
[2F2] Agentes espumantes,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2F3] Protección contra incendios,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2F4] Aerosoles,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2F5] Solventes,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2F6] Otras aplicaciones,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2G] Manufactura y utilización de otros productos,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,96.930,96.930,,,
[2G1] Equipos eléctricos,,,,,,,,,,,,,,,,,,,,,,,,,,,96.930,96.930,,,
[2G2] SF6 y PFC de otros usos de productos,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2G3] N2O de usos de productos,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2G4] Otros,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2H] Otros,40.700,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,40.700,,,
[2H1] Industria de la pulpa y el papel,40.700,,,,,,,,,,,,,,,,,,,,,,,,,,,40.700,,,
[2H2] Industria de la alimentación y las bebidas,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2H3] Otros,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
"[3] Agricultura, silvicultura y otros usos de la tierra","-199,920.438","91,046.290","24,740.733",,,,,,,,,,,,,,,,,,,,,,,,,"-84,133.416",,,6.250
 [3A] Ganado,,"89,501.198","5,487.528",,,,,,,,,,,,,,,,,,,,,,,,,"94,988.726",,,
     [3A1] Fermentación entérica,,"73,145.862",,,,,,,,,,,,,,,,,,,,,,,,,,"73,145.862",,,
          [3A1a] Bovino,,"69,435.763",,,,,,,,,,,,,,,,,,,,,,,,,,"69,435.763",,,
          [3A1b] Búfalos,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
             [3A1c] Ovinos,,"1,015.080",,,,,,,,,,,,,,,,,,,,,,,,,,"1,015.080",,,
          [3A1d] Caprino,,"1,171.890",,,,,,,,,,,,,,,,,,,,,,,,,,"1,171.890",,,
          [3A1e] Camello,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
          [3A1f] Caballos,,868.119,,,,,,,,,,,,,,,,,,,,,,,,,,868.119,,,
          [3A1g] Mulas y asnos,,329.249,,,,,,,,,,,,,,,,,,,,,,,,,,329.249,,,
          [3A1h] Porcinos,,325.760,,,,,,,,,,,,,,,,,,,,,,,,,,325.760,,,
          [3A1i] Otros  (especificar),,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
     [3A2] Gestión del estiércol,,"16,355.335","5,487.528",,,,,,,,,,,,,,,,,,,,,,,,,"21,842.864",,,
          [3A2a] Bovinos,,"9,984.963","4,781.803",,,,,,,,,,,,,,,,,,,,,,,,,"14,766.766",,,
          [3A2b] Búfalos,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
             [3A2c] Ovinos,,12.370,28.900,,,,,,,,,,,,,,,,,,,,,,,,,41.270,,,
          [3A2d] Caprino,,13.460,21.670,,,,,,,,,,,,,,,,,,,,,,,,,35.130,,,
          [3A2e] Camello,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
          [3A2f] Caballos,,82.398,,,,,,,,,,,,,,,,,,,,,,,,,,82.398,,,
          [3A2g] Mulas y asnos,,30.940,,,,,,,,,,,,,,,,,,,,,,,,,,30.940,,,
          [3A2h] Porcinos,,"4,877.806",399.628,,,,,,,,,,,,,,,,,,,,,,,,,"5,277.434",,,
          [3A2i] Aves de corral,,"1,353.399",255.527,,,,,,,,,,,,,,,,,,,,,,,,,"1,608.926",,,
          [3A2g] Otros  (especificar),,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
  [3B] Tierra,"-196,613.63",0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,"-196,613.633",,,
     [3B1] Tierra forestales,"-195,690.11",0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,"-195,690.11",,,
          [3B1a] Tierras forestales que permanecen como tal,"-195,043.78",,,,,,,,,,,,,,,,,,,,,,,,,,,"-195,043.775",,,
          [3B1b] Tierras convertidas a tierras forestales,-646.33,,,,,,,,,,,,,,,,,,,,,,,,,,,-646.331,,,
     [3B2] Tierra de cultivo,"-12,707.94",0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,"-12,707.94",,,
          [3B2a] Tierras de cultivo que permanecen como tal,"-15,039.44",,,,,,,,,,,,,,,,,,,,,,,,,,,"-15,039.443",,,
          [3B2b] Tierras convertidas a tierras de cultivo,"2,331.50",,,,,,,,,,,,,,,,,,,,,,,,,,,"2,331.502",,,
     [3B3] Praderas,"11,287.13",0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,"11,287.13",,,
          [3B3a] Praderas que permanecen como tal,-586.93,,,,,,,,,,,,,,,,,,,,,,,,,,,-586.930,,,
          [3B3b] Tierras convertidas en praderas,"11,874.06",,,,,,,,,,,,,,,,,,,,,,,,,,,"11,874.064",,,
     [3B4] Humedales,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,
          [3B4a] Humedales que permanecen como tal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
          [3B4b] Tierras convertidas en humedales,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
     [3B5] Asentamientos ,428.90,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,428.90,,,
          [3B5a] Asentamientos que permanecen como tal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
          [3B5b] Tierras convertidas en asentamientos,428.90,,,,,,,,,,,,,,,,,,,,,,,,,,,428.898,,,
     [3B6] Otras tierras ,68.38,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,68.38,,,
          [3B6a] Otras tierras que permanecen como tal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
          [3B6b] Tierras convertidas en otras tierras,68.38,,,,,,,,,,,,,,,,,,,,,,,,,,,68.382,,,
  [3C] Fuentes agregadas y fuentes de emisión no CO2 de la tierra,"1,229.66","1,545.09","19,253.204",,,,,,,,,,,,,,,,,,,,,,,,,"22,027.956",,,6.250
     [3C1] Emisiones de GEI por quemado de biomasa,0.000,"1,380.762",493.033,,,,,,,,,,,,,,,,,,,,,,,,,"1,873.795",,,6.250
          [3C1a] Emisiones de quemado de biomasa en tierras forestales,,713.690,258.910,,,,,,,,,,,,,,,,,,,,,,,,,972.600,,,2.470
          [3C1b] Emisiones de quemado de biomasa en tierras de cultivo,,609.672,184.523,,,,,,,,,,,,,,,,,,,,,,,,,794.195,,,3.482
          [3C1c] Emisiones de quemado de biomasa en tierras praderas,,57.400,49.600,,,,,,,,,,,,,,,,,,,,,,,,,107.000,,,0.298
          [3C1d] Emisiones de quemado de biomasa en otras tierras,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
