     [3C2] Encalado,35.900,,,,,,,,,,,,,,,,,,,,,,,,,,,35.900,,,
     [3C3] Aplicación de urea,"1,193.760",,,,,,,,,,,,,,,,,,,,,,,,,,,"1,193.760",,,
     [3C4] Emisiones directas de los N2O de los suelos gestionados,,,"10,764.558",,,,,,,,,,,,,,,,,,,,,,,,,"10,764.558",,,
     [3C5] Emisiones indirectas de los N2O de los suelos gestionados,,,"5,240.681",,,,,,,,,,,,,,,,,,,,,,,,,"5,240.681",,,
     [3C6] Emisiones indirectas de los N2O de la gestión del estiércol,,,"2,754.932",,,,,,,,,,,,,,,,,,,,,,,,,"2,754.932",,,
     [3C7] Cultivo del arroz,,164.330,,,,,,,,,,,,,,,,,,,,,,,,,,164.330,,,
  [3D] Otros,"-4,536.464",,,,,,,,,,,,,,,,,,,,,,,,,,,"-4,536.464",,,
     [3D1] Productos de madera recolectada,"-4,536.464",,,,,,,,,,,,,,,,,,,,,,,,,,,"-4,536.464",,,
     [3D2] Otros (especificar),,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[4] Residuos,663.887,"28,105.416","3,987.128",,,,,,,,,,,,,,,,,,,,,,,,,"32,756.430",,,1.736
[4A] Eliminación de residuos sólidos,,"10,753.565",0.000,,,,,,,,,,,,,,,,,,,,,,,,,"10,753.565",,,
[4A1] Sitios gestionados de eliminación de residuos (rellenos sanitarios),,"5,314.083",,,,,,,,,,,,,,,,,,,,,,,,,,"5,314.083",,,
[4A2] Sitios no controlados de eliminación de residuos ,,"2,084.908",,,,,,,,,,,,,,,,,,,,,,,,,,"2,084.908",,,
[4A3] Tiraderos a cielo abierto para eliminación de residuos,,"3,354.575",,,,,,,,,,,,,,,,,,,,,,,,,,"3,354.575",,,
[4B] Tratamiento biológico de los residuos sólidos,,101.223,71.851,,,,,,,,,,,,,,,,,,,,,,,,,173.074,,,
[4C] Incineración y quema a cielo abierto  de residuos,663.887,890.482,195.251,,,,,,,,,,,,,,,,,,,,,,,,,"1,749.620",,,1.736
[4C1] Incineración de residuos peligrosos industriales y biológico infeccioso,27.123,0.074,0.780,,,,,,,,,,,,,,,,,,,,,,,,,27.978,,,
[4C2] Quema a cielo abierto de residuos sólidos,636.763,890.408,194.471,,,,,,,,,,,,,,,,,,,,,,,,,"1,721.642",,,1.736
[4D] Tratamiento y eliminación de aguas residuales,,"16,360.145","3,720.026",,,,,,,,,,,,,,,,,,,,,,,,,"20,080.171",,,
[4D1] Tratamiento y eliminación de aguas residuales municipales,,"4,920.702","3,720.026",,,,,,,,,,,,,,,,,,,,,,,,,"8,640.728",,,
[4D2] Tratamiento y eliminación de aguas residuales industriales,,"11,439.443",,,,,,,,,,,,,,,,,,,,,,,,,,"11,439.443",,,
[4E] Otros,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
EMISIONES NETAS (Gg de CO2e),"224,329.118","145,781.654","32,541.264","1,602.532",0.723,0.000,0.000,0.000,"1,191.895",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,133.495,35.881,0.100,0.000,0.036,0.000,0.905,97.371,"405,714.974",,,80.546
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bunkers,"1,647.752",0.318,12.027,,,,,,,,,,,,,,,,,,,,,,,,,"1,660.097",,,
Aviación internacional,"1,647.752",0.318,12.027,,,,,,,,,,,,,,,,,,,,,,,,,"1,660.097",,,
Marítimo internacional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emisiones de CO2 por quema de biomasa,"27,894.463",,,,,,,,,,,,,,,,,,,,,,,,,,,"27,894.463",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nota:,Las emisiones de bunkers y las emisiones de CO2 por la quema de biomasa no se encuentran contabilizadas al total de inventario,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
