,INVENTARIO NACIONAL DE EMISIONES DE GASES Y COMPUESTOS DE EFECTO INVERNADERO (INEGYCEI),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CATEGORÍA / FUENTE / SUBFUENTE 
DE EMISIÓN",Emisiones de gases de efecto invernadero  (Gg de CO2e ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Carbono negro
(Gg)"
,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CO2,CH4,N2O,HFCs,,,,,,,,,,,,,,,,PFCs,,,,,,NF3,SF6,"EMISIONES NETAS
Gg en CO2e"," 
EMISIONES
(sin 3B y 3D)
Gg en CO2e",,
,,,,HFC-23,HFC-410A,HFC-43-10mee,HFC-125,HFC-134,HFC-134a,HFC-404A,HFC-407C,HFC-507a,HFC-152a,HFC-227ea,HFC-236fa,HFC-365mfc/227ea,HFC-365mfc,HFC-245fa,HFC-32,CF4,C2F6,C3F8,C4F6,c-C4F8,C5F8,,,,,,
  Potencial de calentamiento,1,28,265,"12,400","1,924","1,650","3,170","1,120","1,300","3,943","1,624","3,985",138,"2,640","8,060",982,804,858,677,"6,630","11,100","8,900",1,"9,540",2,"16,100","23,500",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMISIONES NETAS (Gg de CO2e),"325,051.510","160,183.734","38,281.439",593.246,307.610,12.976,3.302,0.000,"5,089.422","5,944.676",64.595,102.460,4.895,6.140,0.000,0.000,293.084,508.310,0.001,16.906,1.746,0.140,0.000,0.050,0.000001,1.264,164.340,"536,631.846","722,401.901",,71.996
[1] Energía,"459,851.403","23,944.247","3,272.710",,,,,,,,,,,,,,,,,,,,,,,,,"487,068.360",,,64.101
[1A] Actividades de quema del combustible,"447,535.957","2,957.764","3,260.478",,,,,,,,,,,,,,,,,,,,,,,,,"453,754.199",,,61.487
[1A1] Industrias de la energía,"195,289.083",166.085,344.100,,,,,,,,,,,,,,,,,,,,,,,,,"195,799.268",,,11.604
[1A1a] Actividad principal producción de electricidad y calor,"153,415.319",140.764,310.571,,,,,,,,,,,,,,,,,,,,,,,,,"153,866.654",,,10.161
[1A1b] Refinación del petróleo,"12,835.099",8.837,12.934,,,,,,,,,,,,,,,,,,,,,,,,,"12,856.871",,,1.115
[1A1c] Manufactura de combustibles sólidos y otras industrias de la energía,"29,038.665",16.483,20.596,,,,,,,,,,,,,,,,,,,,,,,,,"29,075.744",,,0.328
[1A2] Industrias manufactura y de la construcción,"54,241.544",90.637,124.564,,,,,,,,,,,,,,,,,,,,,,,,,"54,456.745",,,0.798
[1A2a] Hierro y acero,"2,892.104",1.650,1.991,,,,,,,,,,,,,,,,,,,,,,,,,"2,895.744",,,0.027
[1A2b] Metales no ferrosos,"2,005.871",1.644,2.700,,,,,,,,,,,,,,,,,,,,,,,,,"2,010.214",,,0.016
[1A2c] Sustancias químicas,"10,506.719",5.684,6.411,,,,,,,,,,,,,,,,,,,,,,,,,"10,518.814",,,0.057
"[1A2d] Pulpa, papel e imprenta","2,122.295",1.275,1.637,,,,,,,,,,,,,,,,,,,,,,,,,"2,125.207",,,0.027
"[1A2e] Procesamiento de alimentos, bebidas y tabaco","2,450.185",29.601,38.482,,,,,,,,,,,,,,,,,,,,,,,,,"2,518.267",,,0.395
[1A2f] Minerales no metálicos,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[1A2g] Equipo de transporte,329.121,0.196,0.247,,,,,,,,,,,,,,,,,,,,,,,,,329.564,,,0.001
[1A2h] Maquinaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[1A2i] Minería (con excepción de combustibles) y cantería,"11,007.426",11.498,19.747,,,,,,,,,,,,,,,,,,,,,,,,,"11,038.671",,,0.067
[1A2j] Madera y productos de la madera,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[1A2k] Construcción,11.271,0.013,0.025,,,,,,,,,,,,,,,,,,,,,,,,,11.308,,,0.000
[1A2l] Textiles y cueros,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[1A2m] Industria no especificada,"22,916.553",39.077,53.325,,,,,,,,,,,,,,,,,,,,,,,,,"23,008.955",,,0.208
[1A3] Transporte,"164,397.870",456.782,"2,490.479",,,,,,,,,,,,,,,,,,,,,,,,,"167,345.130",,,15.760
[1A3a] Aviación civil,"5,046.317",0.973,36.833,,,,,,,,,,,,,,,,,,,,,,,,,"5,084.123",,,0.071
[1A3b] Autotransporte,"155,059.214",446.359,"2,237.618",,,,,,,,,,,,,,,,,,,,,,,,,"157,743.192",,,15.579
[1A3c] Ferrocarriles,"1,910.078",3.047,198.714,,,,,,,,,,,,,,,,,,,,,,,,,"2,111.839",,,0.045
[1A3d] Navegación marítima y fluvial,"2,382.260",6.403,17.314,,,,,,,,,,,,,,,,,,,,,,,,,"2,405.977",,,0.064
[1A3e] Otro transporte,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[1A4] Otros sectores,"33,607.460","2,244.261",301.335,,,,,,,,,,,,,,,,,,,,,,,,,"36,153.056",,,33.326
[1A4a] Comercial/institucional,"5,141.101",11.744,2.672,,,,,,,,,,,,,,,,,,,,,,,,,"5,155.518",,,2.449
[1A4b] Residencial,"19,795.603","2,199.879",280.460,,,,,,,,,,,,,,,,,,,,,,,,,"22,275.942",,,30.585
[1A4c] Agropecuario/silvicultura/pesca/piscifactorías,"8,670.755",32.638,18.203,,,,,,,,,,,,,,,,,,,,,,,,,"8,721.596",,,0.292
[1B] Emisiones fugitivas provenientes de la fabricación de combustibles,"12,315.446","20,986.482",12.232,,,,,,,,,,,,,,,,,,,,,,,,,"33,314.160",,,2.614
[1B1] Combustibles sólidos,126.616,"4,453.472",,,,,,,,,,,,,,,,,,,,,,,,,,"4,580.088",,,0.000
[1B1a] Minería carbonífera y manejo del carbón,126.616,"4,453.472",0.000,,,,,,,,,,,,,,,,,,,,,,,,,"4,580.088",,,0.000
[1B1ai] Minas subterráneas,120.584,"4,271.746",,,,,,,,,,,,,,,,,,,,,,,,,,"4,392.330",,,
[1B1aii] Minas superficie,6.033,181.726,,,,,,,,,,,,,,,,,,,,,,,,,,187.758,,,
[1B1b] Combustión espontánea y vertederos para quema de carbón,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,0.000
[1B2] Petróleo y gas natural,"12,188.830","16,533.011",12.232,,,,,,,,,,,,,,,,,,,,,,,,,"28,734.072",,,2.614
[1B2a] Petróleo,"9,890.956","9,582.927",12.134,,,,,,,,,,,,,,,,,,,,,,,,,"19,486.017",,,
1B2ai Venteo petróleo,"5,819.573","5,971.918",,,,,,,,,,,,,,,,,,,,,,,,,,"11,791.491",,,
1B2aii Quemado petróleo,"4,027.696","3,477.033",12.134,,,,,,,,,,,,,,,,,,,,,,,,,"7,516.863",,,2.614
1B2aiii Otras fugitivas petróleo,43.687,133.976,,,,,,,,,,,,,,,,,,,,,,,,,,177.663,,,
[1B2b] Gas natural,"2,297.874","6,950.084",0.098,,,,,,,,,,,,,,,,,,,,,,,,,"9,248.055",,,
1B2bi Venteo gas natural,"2,218.030","2,997.234",,,,,,,,,,,,,,,,,,,,,,,,,,"5,215.263",,,
1B2bii Quemado gas natural,74.416,1.389,0.098,,,,,,,,,,,,,,,,,,,,,,,,,75.903,,,
1B2biii Otras fugitivas gas natural,5.428,"3,951.461",,,,,,,,,,,,,,,,,,,,,,,,,,"3,956.888",,,
[2] Procesos industriales y uso de productos,"48,436.263",221.002,687.366,593.246,307.610,12.976,3.302,0.000,"5,089.422","5,944.676",64.595,102.460,4.895,6.140,0.000,0.000,293.084,508.310,0.001,16.906,1.746,0.140,0.000,0.050,0.000,1.264,164.340,"62,459.793",,,0.000
[2A] Industria de los minerales,"26,528.057",0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,"26,528.057",,,
[2A1] Producción de cemento,"18,331.257",,,,,,,,,,,,,,,,,,,,,,,,,,,"18,331.257",,,
[2A2] Producción de cal,"3,382.106",,,,,,,,,,,,,,,,,,,,,,,,,,,"3,382.106",,,
[2A3] Producción de vidrio,667.582,,,,,,,,,,,,,,,,,,,,,,,,,,,667.582,,,
[2A4] Otros usos de carbonatos,"4,147.111",,,,,,,,,,,,,,,,,,,,,,,,,,,"4,147.111",,,
[2A5] Otros,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2B] Industria química,"3,163.087",216.980,687.226,592.922,,,,,,,,,,,,,,,,,,,,,,,,"4,660.215",,,
[2B1] Producción de amoniaco,"1,125.581",,,,,,,,,,,,,,,,,,,,,,,,,,,"1,125.581",,,
[2B2] Producción de ácido nítrico,,,508.005,,,,,,,,,,,,,,,,,,,,,,,,,508.005,,,
[2B3] Producción de ácido adípico,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
"[2B4] Producción de caprolactama, glioxil y ácido glioxílico",,,179.221,,,,,,,,,,,,,,,,,,,,,,,,,179.221,,,
[2B5] Producción de carburo,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2B6] Producción de dióxido de titanio,183.770,,,,,,,,,,,,,,,,,,,,,,,,,,,183.770,,,
[2B7] Producción de ceniza de sosa,40.020,,,,,,,,,,,,,,,,,,,,,,,,,,,40.020,,,
[2B8] Producción petroquímica y negro de humo,"1,813.716",216.980,,,,,,,,,,,,,,,,,,,,,,,,,,"2,030.695",,,
[2B9] Producción fluoroquímica, ,,,592.922,,,,,,,,,,,,,,,,,,,,,,,,592.922,,,
[2B10] Otros,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2C] Industria de los metales,"18,547.254",4.023,0.000,,,,,,,,,,,,,,,,,,,,,,,,,"18,551.276",,,
[2C1] Producción de hierro y acero,"18,117",4.023,,,,,,,,,,,,,,,,,,,,,,,,,,"18,121.043",,,
[2C2] Producción de ferroaleaciones,306.108,,,,,,,,,,,,,,,,,,,,,,,,,,,306.108,,,
[2C3] Producción de aluminio,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2C4] Producción de magnesio,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2C5] Producción de plomo,124.125,,,,,,,,,,,,,,,,,,,,,,,,,,,124.125,,,
[2C6] Producción de zinc,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2C7] Otros,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2D] Uso de productos no energéticos de combustibles y de solvente,148.995,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,148.995,,,
[2D1] Uso de lubricantes,125.291,,,,,,,,,,,,,,,,,,,,,,,,,,,125.291,,,
[2D2] Uso de la cera de parafina,23.703,,,,,,,,,,,,,,,,,,,,,,,,,,,23.703,,,
[2D3] Uso de solventes,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2D4] Otros,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2E] Industria electrónica,0.000,0.000,0.140,0.325,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,16.906,1.746,0.140,0.000,0.050,0.000001,1.264,0.615,21.186,,,
[2E1] Circuitos integrados o semiconductores,,,0.140,0.325,,,,,,,,,,,,,,,0.001,1.249,0.697,0.140,0.000,0.050,0.000001,1.264,0.615,4.481,,,
[2E2] Pantalla plana tipo TFT,,,0.000,,,,,,,,,,,,,,,,,0.000,,,,0.000,,0.000,0.000,0.000,,,
[2E3] Células fotovoltaicas,,,,,,,,,,,,,,,,,,,,15.656,1.048,,,,,,,16.705,,,
[2E4] Fluido de transferencia térmica,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2E5] Otros,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2F] Uso de productos sustitutos de las sustancias que agotan la capa de ozono,0.000,0.000,0.000,0.000,307.610,12.976,3.302,0.000,"5,089.422","5,944.676",64.595,102.460,4.895,6.140,0.000,0.000,293.084,508.310,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,"12,337.469",,,
[2F1] Refrigeración y aire acondicionado,,,,,307.610,,,,"4,771.871","5,944.676",64.595,,,,,,,508.310,,,,,,,,,,"11,597.062",,,
[2F2] Agentes espumantes,,,,,,,,,2.654,,,,,,,,293.084,,,,,,,,,,,295.737,,,
[2F3] Protección contra incendios,,,,,,,3.302,,,,,,4.895,6.140,,,,,,,,,,,,,,14.336,,,
[2F4] Aerosoles,,,,,,,,,314.898,,,102.4603232,,,,,,,,,,,,,,,,417.358,,,
[2F5] Solventes,,,,,,12.976,,,,,,,,,,,,,,,,,,,,,,12.976,,,
[2F6] Otras aplicaciones,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2G] Manufactura y utilización de otros productos,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,163.725,163.725,,,
[2G1] Equipos eléctricos,,,,,,,,,,,,,,,,,,,,,,,,,,,163.725,163.725,,,
[2G2] SF6 y PFC de otros usos de productos,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2G3] N2O de usos de productos,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2G4] Otros,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2H] Otros,48.871,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,48.871,,,
[2H1] Industria de la pulpa y el papel,48.871,,,,,,,,,,,,,,,,,,,,,,,,,,,48.871,,,
[2H2] Industria de la alimentación y las bebidas,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2H3] Otros,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
"[3] Agricultura, silvicultura y otros usos de la tierra","-184,154.186","93,546.748","31,143.922",,,,,,,,,,,,,,,,,,,,,,,,,"-59,463.515",,,6.414
 [3A] Ganado,,"92,210.441","7,323.407",,,,,,,,,,,,,,,,,,,,,,,,,"99,533.848",,,
     [3A1] Fermentación entérica,,"74,622.575",,,,,,,,,,,,,,,,,,,,,,,,,,"74,622.575",,,
          [3A1a] Bovino,,"71,033.687",,,,,,,,,,,,,,,,,,,,,,,,,,"71,033.687",,,
          [3A1b] Búfalos,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
             [3A1c] Ovinos,,"1,409.740",,,,,,,,,,,,,,,,,,,,,,,,,,"1,409.740",,,
          [3A1d] Caprino,,"1,285.010",,,,,,,,,,,,,,,,,,,,,,,,,,"1,285.010",,,
          [3A1e] Camello,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
          [3A1f] Caballos,,421.304,,,,,,,,,,,,,,,,,,,,,,,,,,421.304,,,
          [3A1g] Mulas y asnos,,101.834,,,,,,,,,,,,,,,,,,,,,,,,,,101.834,,,
          [3A1h] Porcinos,,370.999,,,,,,,,,,,,,,,,,,,,,,,,,,370.999,,,
          [3A1i] Otros  (especificar),,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
     [3A2] Gestión del estiércol,,"17,587.867","7,323.407",,,,,,,,,,,,,,,,,,,,,,,,,"24,911.274",,,
          [3A2a] Bovinos,,"10,798.777","6,448.275",,,,,,,,,,,,,,,,,,,,,,,,,"17,247.052",,,
          [3A2b] Búfalos,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
             [3A2c] Ovinos,,16.610,37.130,,,,,,,,,,,,,,,,,,,,,,,,,53.740,,,
          [3A2d] Caprino,,14.080,21.110,,,,,,,,,,,,,,,,,,,,,,,,,35.190,,,
          [3A2e] Camello,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
          [3A2f] Caballos,,38.990,,,,,,,,,,,,,,,,,,,,,,,,,,38.990,,,
          [3A2g] Mulas y asnos,,9.783,,,,,,,,,,,,,,,,,,,,,,,,,,9.783,,,
          [3A2h] Porcinos,,"4,995.567",486.451,,,,,,,,,,,,,,,,,,,,,,,,,"5,482.018",,,
          [3A2i] Aves de corral,,"1,714.060",330.441,,,,,,,,,,,,,,,,,,,,,,,,,"2,044.500",,,
          [3A2g] Otros  (especificar),,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
  [3B] Tierra,"-184,966.33",0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,"-184,966.329",,,
     [3B1] Tierra forestales,"-190,957.22",0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,"-190,957.22",,,
          [3B1a] Tierras forestales que permanecen como tal,"-188,856.64",,,,,,,,,,,,,,,,,,,,,,,,,,,"-188,856.640",,,
          [3B1b] Tierras convertidas a tierras forestales,"-2,100.58",,,,,,,,,,,,,,,,,,,,,,,,,,,"-2,100.577",,,
     [3B2] Tierra de cultivo,"-8,567.06",0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,"-8,567.06",,,
          [3B2a] Tierras de cultivo que permanecen como tal,"-16,669.92",,,,,,,,,,,,,,,,,,,,,,,,,,,"-16,669.922",,,
          [3B2b] Tierras convertidas a tierras de cultivo,"8,102.86",,,,,,,,,,,,,,,,,,,,,,,,,,,"8,102.863",,,
     [3B3] Praderas,"13,069.49",0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,"13,069.49",,,
          [3B3a] Praderas que permanecen como tal,-551.25,,,,,,,,,,,,,,,,,,,,,,,,,,,-551.254,,,
          [3B3b] Tierras convertidas en praderas,"13,620.74",,,,,,,,,,,,,,,,,,,,,,,,,,,"13,620.742",,,
     [3B4] Humedales,226.23,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,226.23,,,
          [3B4a] Humedales que permanecen como tal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
          [3B4b] Tierras convertidas en humedales,226.23,,,,,,,,,,,,,,,,,,,,,,,,,,,226.230,,,
     [3B5] Asentamientos ,"1,186.73",0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,"1,186.73",,,
          [3B5a] Asentamientos que permanecen como tal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
          [3B5b] Tierras convertidas en asentamientos,"1,186.73",,,,,,,,,,,,,,,,,,,,,,,,,,,"1,186.729",,,
     [3B6] Otras tierras ,75.50,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,75.50,,,
          [3B6a] Otras tierras que permanecen como tal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
          [3B6b] Tierras convertidas en otras tierras,75.50,,,,,,,,,,,,,,,,,,,,,,,,,,,75.500,,,
  [3C] Fuentes agregadas y fuentes de emisión no CO2 de la tierra,"1,615.87","1,336.31","23,820.515",,,,,,,,,,,,,,,,,,,,,,,,,"26,772.692",,,6.414
     [3C1] Emisiones de GEI por quemado de biomasa,0.000,"1,246.037",474.325,,,,,,,,,,,,,,,,,,,,,,,,,"1,720.362",,,6.414
          [3C1a] Emisiones de quemado de biomasa en tierras forestales,,486.970,176.400,,,,,,,,,,,,,,,,,,,,,,,,,663.370,,,2.052
          [3C1b] Emisiones de quemado de biomasa en tierras de cultivo,,638.367,193.625,,,,,,,,,,,,,,,,,,,,,,,,,831.992,,,3.596
