     [3C2] Encalado,35.900,,,,,,,,,,,,,,,,,,,,,,,,,,,35.900,,,
     [3C3] Aplicación de urea,"1,168.790",,,,,,,,,,,,,,,,,,,,,,,,,,,"1,168.790",,,
     [3C4] Emisiones directas de los N2O de los suelos gestionados,,,"10,885.575",,,,,,,,,,,,,,,,,,,,,,,,,"10,885.575",,,
     [3C5] Emisiones indirectas de los N2O de los suelos gestionados,,,"5,288.427",,,,,,,,,,,,,,,,,,,,,,,,,"5,288.427",,,
     [3C6] Emisiones indirectas de los N2O de la gestión del estiércol,,,"2,047.212",,,,,,,,,,,,,,,,,,,,,,,,,"2,047.212",,,
     [3C7] Cultivo del arroz,,136.980,,,,,,,,,,,,,,,,,,,,,,,,,,136.980,,,
  [3D] Otros,"-1,779.370",,,,,,,,,,,,,,,,,,,,,,,,,,,"-1,779.370",,,
     [3D1] Productos de madera recolectada,"-1,779.370",,,,,,,,,,,,,,,,,,,,,,,,,,,"-1,779.370",,,
     [3D2] Otros (especificar),,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[4] Residuos,535.670,"26,938.073","4,069.430",,,,,,,,,,,,,,,,,,,,,,,,,"31,543.173",,,1.712
[4A] Eliminación de residuos sólidos,,"9,679.172",0.000,,,,,,,,,,,,,,,,,,,,,,,,,"9,679.172",,,
[4A1] Sitios gestionados de eliminación de residuos (rellenos sanitarios),,"4,664.847",,,,,,,,,,,,,,,,,,,,,,,,,,"4,664.847",,,
[4A2] Sitios no controlados de eliminación de residuos ,,"1,862.224",,,,,,,,,,,,,,,,,,,,,,,,,,"1,862.224",,,
[4A3] Tiraderos a cielo abierto para eliminación de residuos,,"3,152.101",,,,,,,,,,,,,,,,,,,,,,,,,,"3,152.101",,,
[4B] Tratamiento biológico de los residuos sólidos,,101.001,71.693,,,,,,,,,,,,,,,,,,,,,,,,,172.693,,,
[4C] Incineración y quema a cielo abierto  de residuos,535.670,924.229,202.622,,,,,,,,,,,,,,,,,,,,,,,,,"1,662.522",,,1.712
[4C1] Incineración de residuos peligrosos industriales y biológico infeccioso,27.123,0.074,0.780,,,,,,,,,,,,,,,,,,,,,,,,,27.978,,,
[4C2] Quema a cielo abierto de residuos sólidos,508.547,924.155,201.842,,,,,,,,,,,,,,,,,,,,,,,,,"1,634.544",,,1.712
[4D] Tratamiento y eliminación de aguas residuales,,"16,233.670","3,795.116",,,,,,,,,,,,,,,,,,,,,,,,,"20,028.786",,,
[4D1] Tratamiento y eliminación de aguas residuales municipales,,"4,835.245","3,795.116",,,,,,,,,,,,,,,,,,,,,,,,,"8,630.361",,,
[4D2] Tratamiento y eliminación de aguas residuales industriales,,"11,398.425",,,,,,,,,,,,,,,,,,,,,,,,,,"11,398.425",,,
[4E] Otros,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
EMISIONES NETAS (Gg de CO2e),"229,882.008","143,348.720","31,902.017","1,506.740",0.430,0.000,0.000,0.000,974.373,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,207.581,55.599,0.081,0.000,0.029,0.000,0.733,86.433,"407,964.744",,,82.257
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bunkers,"2,624.858",0.506,19.159,,,,,,,,,,,,,,,,,,,,,,,,,"2,644.523",,,
Aviación internacional,"2,624.858",0.506,19.159,,,,,,,,,,,,,,,,,,,,,,,,,"2,644.523",,,
Marítimo internacional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emisiones de CO2 por quema de biomasa,"27,647.719",,,,,,,,,,,,,,,,,,,,,,,,,,,"27,647.719",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nota:,Las emisiones de bunkers y las emisiones de CO2 por la quema de biomasa no se encuentran contabilizadas al total de inventario,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
