,INVENTARIO NACIONAL DE EMISIONES DE GASES Y COMPUESTOS DE EFECTO INVERNADERO (INEGYCEI),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CATEGORÍA / FUENTE / SUBFUENTE 
DE EMISIÓN",Emisiones de gases de efecto invernadero  (Gg de CO2e ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Carbono negro
(Gg)"
,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CO2,CH4,N2O,HFCs,,,,,,,,,,,,,,,,PFCs,,,,,,NF3,SF6,"EMISIONES NETAS
Gg en CO2e"," 
EMISIONES
(sin 3B y 3D)
Gg en CO2e",,
,,,,HFC-23,HFC-410A,HFC-43-10mee,HFC-125,HFC-134,HFC-134a,HFC-404A,HFC-407C,HFC-507a,HFC-152a,HFC-227ea,HFC-236fa,HFC-365mfc/227ea,HFC-365mfc,HFC-245fa,HFC-32,CF4,C2F6,C3F8,C4F6,c-C4F8,C5F8,,,,,,
  Potencial de calentamiento,1,28,265,"12,400","1,924","1,650","3,170","1,120","1,300","3,943","1,624","3,985",138,"2,640","8,060",982,804,858,677,"6,630","11,100","8,900",1,"9,540",2,"16,100","23,500",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMISIONES NETAS (Gg de CO2e),"289,366.123","161,204.327","33,870.670","3,164.288",16.500,0.000,0.061,0.000,"2,830.976","1,134.317",8.342,11.412,0.000,0.000,0.000,0.000,117.743,0.000,0.001,1.052,0.587,0.118,0.000,0.042,0.000001,1.065,137.070,"491,864.695","687,425.944",,80.020
[1] Energía,"432,645.948","34,641.339","3,808.657",,,,,,,,,,,,,,,,,,,,,,,,,"471,095.943",,,74.002
[1A] Actividades de quema del combustible,"410,731.545","3,012.821","3,770.245",,,,,,,,,,,,,,,,,,,,,,,,,"417,514.611",,,65.235
[1A1] Industrias de la energía,"163,311.791",139.939,317.369,,,,,,,,,,,,,,,,,,,,,,,,,"163,769.099",,,11.403
[1A1a] Actividad principal producción de electricidad y calor,"128,475.339",116.920,284.332,,,,,,,,,,,,,,,,,,,,,,,,,"128,876.591",,,9.634
[1A1b] Refinación del petróleo,"12,186.122",9.611,15.570,,,,,,,,,,,,,,,,,,,,,,,,,"12,211.303",,,1.514
[1A1c] Manufactura de combustibles sólidos y otras industrias de la energía,"22,650.330",13.409,17.467,,,,,,,,,,,,,,,,,,,,,,,,,"22,681.206",,,0.254
[1A2] Industrias manufactura y de la construcción,"57,723.003",102.729,144.890,,,,,,,,,,,,,,,,,,,,,,,,,"57,970.622",,,1.179
[1A2a] Hierro y acero,"2,350.176",1.571,2.236,,,,,,,,,,,,,,,,,,,,,,,,,"2,353.983",,,0.042
[1A2b] Metales no ferrosos,"1,287.717",0.994,1.580,,,,,,,,,,,,,,,,,,,,,,,,,"1,290.291",,,0.016
[1A2c] Sustancias químicas,"10,407.449",6.301,8.329,,,,,,,,,,,,,,,,,,,,,,,,,"10,422.080",,,0.091
"[1A2d] Pulpa, papel e imprenta","2,384.028",1.763,2.726,,,,,,,,,,,,,,,,,,,,,,,,,"2,388.517",,,0.056
"[1A2e] Procesamiento de alimentos, bebidas y tabaco","2,703.854",37.676,48.956,,,,,,,,,,,,,,,,,,,,,,,,,"2,790.486",,,0.565
[1A2f] Minerales no metálicos,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[1A2g] Equipo de transporte,186.428,0.116,0.153,,,,,,,,,,,,,,,,,,,,,,,,,186.696,,,0.001
[1A2h] Maquinaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[1A2i] Minería (con excepción de combustibles) y cantería,"13,668.764",14.157,24.813,,,,,,,,,,,,,,,,,,,,,,,,,"13,707.734",,,0.113
[1A2j] Madera y productos de la madera,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[1A2k] Construcción,727.078,0.838,1.587,,,,,,,,,,,,,,,,,,,,,,,,,729.503,,,0.003
[1A2l] Textiles y cueros,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[1A2m] Industria no especificada,"24,007.510",39.313,54.509,,,,,,,,,,,,,,,,,,,,,,,,,"24,101.331",,,0.292
[1A3] Transporte,"155,704.315",472.096,"3,001.240",,,,,,,,,,,,,,,,,,,,,,,,,"159,177.651",,,17.965
[1A3a] Aviación civil,"6,266.936",1.208,45.742,,,,,,,,,,,,,,,,,,,,,,,,,"6,313.886",,,0.089
[1A3b] Autotransporte,"145,124.985",461.417,"2,740.434",,,,,,,,,,,,,,,,,,,,,,,,,"148,326.835",,,17.714
[1A3c] Ferrocarriles,"1,899.812",3.030,197.646,,,,,,,,,,,,,,,,,,,,,,,,,"2,100.488",,,0.045
[1A3d] Navegación marítima y fluvial,"2,412.583",6.441,17.418,,,,,,,,,,,,,,,,,,,,,,,,,"2,436.442",,,0.118
[1A3e] Otro transporte,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[1A4] Otros sectores,"33,992.435","2,298.056",306.746,,,,,,,,,,,,,,,,,,,,,,,,,"36,597.238",,,34.688
[1A4a] Comercial/institucional,"4,928.045",11.120,2.437,,,,,,,,,,,,,,,,,,,,,,,,,"4,941.602",,,2.434
[1A4b] Residencial,"21,349.905","2,257.833",288.045,,,,,,,,,,,,,,,,,,,,,,,,,"23,895.783",,,32.016
[1A4c] Agropecuario/silvicultura/pesca/piscifactorías,"7,714.486",29.104,16.263,,,,,,,,,,,,,,,,,,,,,,,,,"7,759.853",,,0.238
[1B] Emisiones fugitivas provenientes de la fabricación de combustibles,"21,914.403","31,628.518",38.412,,,,,,,,,,,,,,,,,,,,,,,,,"53,581.333",,,8.767
[1B1] Combustibles sólidos,118.020,"4,151.118",,,,,,,,,,,,,,,,,,,,,,,,,,"4,269.139",,,0.000
[1B1a] Minería carbonífera y manejo del carbón,118.020,"4,151.118",0.000,,,,,,,,,,,,,,,,,,,,,,,,,"4,269.139",,,0.000
[1B1ai] Minas subterráneas,112.397,"3,981.730",,,,,,,,,,,,,,,,,,,,,,,,,,"4,094.127",,,
[1B1aii] Minas superficie,5.623,169.388,,,,,,,,,,,,,,,,,,,,,,,,,,175.011,,,
[1B1b] Combustión espontánea y vertederos para quema de carbón,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,0.000
[1B2] Petróleo y gas natural,"21,796.383","27,477.399",38.412,,,,,,,,,,,,,,,,,,,,,,,,,"49,312.194",,,8.767
[1B2a] Petróleo,"19,480.278","20,495.834",38.264,,,,,,,,,,,,,,,,,,,,,,,,,"40,014.376",,,
1B2ai Venteo petróleo,"6,320.174","8,337.948",,,,,,,,,,,,,,,,,,,,,,,,,,"14,658.122",,,
1B2aii Quemado petróleo,"13,096.077","12,072.020",38.264,,,,,,,,,,,,,,,,,,,,,,,,,"25,206.362",,,8.767
1B2aiii Otras fugitivas petróleo,64.027,85.866,,,,,,,,,,,,,,,,,,,,,,,,,,149.892,,,
[1B2b] Gas natural,"2,316.105","6,981.565",0.148,,,,,,,,,,,,,,,,,,,,,,,,,"9,297.818",,,
1B2bi Venteo gas natural,"2,060.197","2,670.003",,,,,,,,,,,,,,,,,,,,,,,,,,"4,730.200",,,
1B2bii Quemado gas natural,249.566,4.657,0.148,,,,,,,,,,,,,,,,,,,,,,,,,254.371,,,
1B2biii Otras fugitivas gas natural,6.342,"4,306.905",,,,,,,,,,,,,,,,,,,,,,,,,,"4,313.247",,,
[2] Procesos industriales y uso de productos,"49,975.024",187.539,355.819,"3,164.288",16.500,0.000,0.061,0.000,"2,830.976","1,134.317",8.342,11.412,0.000,0.000,0.000,0.000,117.743,0.000,0.001,1.052,0.587,0.118,0.000,0.042,0.000,1.065,137.070,"57,941.957",,,0.000
[2A] Industria de los minerales,"28,632.227",0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,"28,632.227",,,
[2A1] Producción de cemento,"18,820.230",,,,,,,,,,,,,,,,,,,,,,,,,,,"18,820.230",,,
[2A2] Producción de cal,"2,706.031",,,,,,,,,,,,,,,,,,,,,,,,,,,"2,706.031",,,
[2A3] Producción de vidrio,271.135,,,,,,,,,,,,,,,,,,,,,,,,,,,271.135,,,
[2A4] Otros usos de carbonatos,"6,834.831",,,,,,,,,,,,,,,,,,,,,,,,,,,"6,834.831",,,
[2A5] Otros,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2B] Industria química,"2,828.933",184.573,355.701,"3,164.015",,,,,,,,,,,,,,,,,,,,,,,,"6,533.223",,,
[2B1] Producción de amoniaco,910.635,,,,,,,,,,,,,,,,,,,,,,,,,,,910.635,,,
[2B2] Producción de ácido nítrico,,,169.478,,,,,,,,,,,,,,,,,,,,,,,,,169.478,,,
[2B3] Producción de ácido adípico,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
"[2B4] Producción de caprolactama, glioxil y ácido glioxílico",,,186.223,,,,,,,,,,,,,,,,,,,,,,,,,186.223,,,
[2B5] Producción de carburo,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2B6] Producción de dióxido de titanio,178.733,,,,,,,,,,,,,,,,,,,,,,,,,,,178.733,,,
[2B7] Producción de ceniza de sosa,40.020,,,,,,,,,,,,,,,,,,,,,,,,,,,40.020,,,
[2B8] Producción petroquímica y negro de humo,"1,699.544",184.573,,,,,,,,,,,,,,,,,,,,,,,,,,"1,884.117",,,
[2B9] Producción fluoroquímica, ,,,"3,164.015",,,,,,,,,,,,,,,,,,,,,,,,"3,164.015",,,
[2B10] Otros,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2C] Industria de los metales,"18,289.158",2.966,0.000,,,,,,,,,,,,,,,,,,,,,,,,,"18,292.123",,,
[2C1] Producción de hierro y acero,"17,986",2.966,,,,,,,,,,,,,,,,,,,,,,,,,,"17,989.167",,,
[2C2] Producción de ferroaleaciones,249.952,,,,,,,,,,,,,,,,,,,,,,,,,,,249.952,,,
[2C3] Producción de aluminio,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2C4] Producción de magnesio,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2C5] Producción de plomo,53.004,,,,,,,,,,,,,,,,,,,,,,,,,,,53.004,,,
[2C6] Producción de zinc,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2C7] Otros,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2D] Uso de productos no energéticos de combustibles y de solvente,204.707,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,204.707,,,
[2D1] Uso de lubricantes,171.470,,,,,,,,,,,,,,,,,,,,,,,,,,,171.470,,,
[2D2] Uso de la cera de parafina,33.237,,,,,,,,,,,,,,,,,,,,,,,,,,,33.237,,,
[2D3] Uso de solventes,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2D4] Otros,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2E] Industria electrónica,0.000,0.000,0.118,0.273,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,1.052,0.587,0.118,0.000,0.042,0.000001,1.065,0.518,3.775,,,
[2E1] Circuitos integrados o semiconductores,,,0.118,0.273,,,,,,,,,,,,,,,0.001,1.052,0.587,0.118,0.000,0.042,0.000001,1.065,0.518,3.775,,,
[2E2] Pantalla plana tipo TFT,,,0.000,,,,,,,,,,,,,,,,,0.000,,,,0.000,,0.000,0.000,0.000,,,
[2E3] Células fotovoltaicas,,,,,,,,,,,,,,,,,,,,0.000,0.000,,,,,,,0.000,,,
[2E4] Fluido de transferencia térmica,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2E5] Otros,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2F] Uso de productos sustitutos de las sustancias que agotan la capa de ozono,0.000,0.000,0.000,0.000,16.500,0.000,0.061,0.000,"2,830.976","1,134.317",8.342,11.412,0.000,0.000,0.000,0.000,117.743,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,"4,119.351",,,
[2F1] Refrigeración y aire acondicionado,,,,,16.500,,,,"2,711.404","1,134.317",8.342,,,,,,,,,,,,,,,,,"3,870.562",,,
[2F2] Agentes espumantes,,,,,,,,,1.752,,,,,,,,117.743,,,,,,,,,,,119.495,,,
[2F3] Protección contra incendios,,,,,,,0.061,,,,,,,,,,,,,,,,,,,,,0.061,,,
[2F4] Aerosoles,,,,,,,,,117.821,,,11.4119029,,,,,,,,,,,,,,,,129.233,,,
[2F5] Solventes,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2F6] Otras aplicaciones,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2G] Manufactura y utilización de otros productos,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,136.552,136.552,,,
[2G1] Equipos eléctricos,,,,,,,,,,,,,,,,,,,,,,,,,,,136.552,136.552,,,
[2G2] SF6 y PFC de otros usos de productos,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2G3] N2O de usos de productos,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2G4] Otros,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2H] Otros,19.999,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,19.999,,,
[2H1] Industria de la pulpa y el papel,19.999,,,,,,,,,,,,,,,,,,,,,,,,,,,19.999,,,
[2H2] Industria de la alimentación y las bebidas,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2H3] Otros,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
"[3] Agricultura, silvicultura y otros usos de la tierra","-193,872.139","91,749.494","26,364.127",,,,,,,,,,,,,,,,,,,,,,,,,"-75,758.518",,,4.387
 [3A] Ganado,,"90,563.998","5,587.618",,,,,,,,,,,,,,,,,,,,,,,,,"96,151.616",,,
     [3A1] Fermentación entérica,,"73,494.444",,,,,,,,,,,,,,,,,,,,,,,,,,"73,494.444",,,
          [3A1a] Bovino,,"69,750.400",,,,,,,,,,,,,,,,,,,,,,,,,,"69,750.400",,,
          [3A1b] Búfalos,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
             [3A1c] Ovinos,,"1,287.060",,,,,,,,,,,,,,,,,,,,,,,,,,"1,287.060",,,
          [3A1d] Caprino,,"1,223.990",,,,,,,,,,,,,,,,,,,,,,,,,,"1,223.990",,,
          [3A1e] Camello,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
          [3A1f] Caballos,,669.576,,,,,,,,,,,,,,,,,,,,,,,,,,669.576,,,
          [3A1g] Mulas y asnos,,226.597,,,,,,,,,,,,,,,,,,,,,,,,,,226.597,,,
          [3A1h] Porcinos,,336.821,,,,,,,,,,,,,,,,,,,,,,,,,,336.821,,,
          [3A1i] Otros  (especificar),,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
     [3A2] Gestión del estiércol,,"17,069.554","5,587.618",,,,,,,,,,,,,,,,,,,,,,,,,"22,657.172",,,
          [3A2a] Bovinos,,"10,310.408","4,805.102",,,,,,,,,,,,,,,,,,,,,,,,,"15,115.510",,,
          [3A2b] Búfalos,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
             [3A2c] Ovinos,,14.990,32.500,,,,,,,,,,,,,,,,,,,,,,,,,47.490,,,
          [3A2d] Caprino,,13.780,21.470,,,,,,,,,,,,,,,,,,,,,,,,,35.250,,,
          [3A2e] Camello,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
          [3A2f] Caballos,,64.250,,,,,,,,,,,,,,,,,,,,,,,,,,64.250,,,
          [3A2g] Mulas y asnos,,21.929,,,,,,,,,,,,,,,,,,,,,,,,,,21.929,,,
          [3A2h] Porcinos,,"5,048.709",430.487,,,,,,,,,,,,,,,,,,,,,,,,,"5,479.196",,,
          [3A2i] Aves de corral,,"1,595.487",298.059,,,,,,,,,,,,,,,,,,,,,,,,,"1,893.546",,,
          [3A2g] Otros  (especificar),,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
  [3B] Tierra,"-191,714.63",0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,"-191,714.630",,,
     [3B1] Tierra forestales,"-193,922.03",0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,"-193,922.03",,,
          [3B1a] Tierras forestales que permanecen como tal,"-192,629.36",,,,,,,,,,,,,,,,,,,,,,,,,,,"-192,629.363",,,
          [3B1b] Tierras convertidas a tierras forestales,"-1,292.66",,,,,,,,,,,,,,,,,,,,,,,,,,,"-1,292.663",,,
     [3B2] Tierra de cultivo,"-10,023.89",0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,"-10,023.89",,,
          [3B2a] Tierras de cultivo que permanecen como tal,"-15,842.44",,,,,,,,,,,,,,,,,,,,,,,,,,,"-15,842.442",,,
          [3B2b] Tierras convertidas a tierras de cultivo,"5,818.55",,,,,,,,,,,,,,,,,,,,,,,,,,,"5,818.551",,,
     [3B3] Praderas,"11,260.23",0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,"11,260.23",,,
          [3B3a] Praderas que permanecen como tal,-569.37,,,,,,,,,,,,,,,,,,,,,,,,,,,-569.370,,,
          [3B3b] Tierras convertidas en praderas,"11,829.60",,,,,,,,,,,,,,,,,,,,,,,,,,,"11,829.601",,,
     [3B4] Humedales,155.81,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,155.81,,,
          [3B4a] Humedales que permanecen como tal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
          [3B4b] Tierras convertidas en humedales,155.81,,,,,,,,,,,,,,,,,,,,,,,,,,,155.815,,,
     [3B5] Asentamientos ,809.30,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,809.30,,,
          [3B5a] Asentamientos que permanecen como tal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
          [3B5b] Tierras convertidas en asentamientos,809.30,,,,,,,,,,,,,,,,,,,,,,,,,,,809.300,,,
     [3B6] Otras tierras ,5.94,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,5.94,,,
          [3B6a] Otras tierras que permanecen como tal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
          [3B6b] Tierras convertidas en otras tierras,5.94,,,,,,,,,,,,,,,,,,,,,,,,,,,5.941,,,
  [3C] Fuentes agregadas y fuentes de emisión no CO2 de la tierra,"1,689.11","1,185.50","20,776.509",,,,,,,,,,,,,,,,,,,,,,,,,"23,651.115",,,4.387
     [3C1] Emisiones de GEI por quemado de biomasa,0.000,992.996,329.627,,,,,,,,,,,,,,,,,,,,,,,,,"1,322.623",,,4.387
          [3C1a] Emisiones de quemado de biomasa en tierras forestales,,339.930,113.320,,,,,,,,,,,,,,,,,,,,,,,,,453.250,,,0.877
          [3C1b] Emisiones de quemado de biomasa en tierras de cultivo,,621.366,188.917,,,,,,,,,,,,,,,,,,,,,,,,,810.283,,,3.379
          [3C1c] Emisiones de quemado de biomasa en tierras praderas,,31.700,27.390,,,,,,,,,,,,,,,,,,,,,,,,,59.090,,,0.132
