,INVENTARIO NACIONAL DE EMISIONES DE GASES Y COMPUESTOS DE EFECTO INVERNADERO (INEGYCEI),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CATEGORÍA / FUENTE / SUBFUENTE 
DE EMISIÓN",Emisiones de gases de efecto invernadero  (Gg de CO2e ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Carbono negro
(Gg)"
,1994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CO2,CH4,N2O,HFCs,,,,,,,,,,,,,,,,PFCs,,,,,,NF3,SF6,"EMISIONES NETAS
Gg en CO2e"," 
EMISIONES
(sin 3B y 3D)
Gg en CO2e",,
,,,,HFC-23,HFC-410A,HFC-43-10mee,HFC-125,HFC-134,HFC-134a,HFC-404A,HFC-407C,HFC-507a,HFC-152a,HFC-227ea,HFC-236fa,HFC-365mfc/227ea,HFC-365mfc,HFC-245fa,HFC-32,CF4,C2F6,C3F8,C4F6,c-C4F8,C5F8,,,,,,
  Potencial de calentamiento,1,28,265,"12,400","1,924","1,650","3,170","1,120","1,300","3,943","1,624","3,985",138,"2,640","8,060",982,804,858,677,"6,630","11,100","8,900",1,"9,540",2,"16,100","23,500",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMISIONES NETAS (Gg de CO2e),"360,853.348","124,026.181","28,335.696",695.283,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,51.493,"513,962.001","510,086.816",,84.567
[1] Energía,"321,255.043","16,871.522","3,217.367",,,,,,,,,,,,,,,,,,,,,,,,,"341,343.932",,,80.004
[1A] Actividades de quema del combustible,"309,009.164","2,989.376","3,205.826",,,,,,,,,,,,,,,,,,,,,,,,,"315,204.367",,,77.592
[1A1] Industrias de la energía,"123,920.964",102.282,222.342,,,,,,,,,,,,,,,,,,,,,,,,,"124,245.588",,,16.224
[1A1a] Actividad principal producción de electricidad y calor,"87,788.814",75.804,181.143,,,,,,,,,,,,,,,,,,,,,,,,,"88,045.761",,,14.075
[1A1b] Refinación del petróleo,"10,374.375",9.682,17.295,,,,,,,,,,,,,,,,,,,,,,,,,"10,401.352",,,1.850
[1A1c] Manufactura de combustibles sólidos y otras industrias de la energía,"25,757.775",16.796,23.904,,,,,,,,,,,,,,,,,,,,,,,,,"25,798.475",,,0.299
[1A2] Industrias manufactura y de la construcción,"52,223.809",102.220,142.913,,,,,,,,,,,,,,,,,,,,,,,,,"52,468.941",,,2.022
[1A2a] Hierro y acero,"3,137.963",2.442,3.918,,,,,,,,,,,,,,,,,,,,,,,,,"3,144.324",,,0.088
[1A2b] Metales no ferrosos,"1,874.181",1.375,2.101,,,,,,,,,,,,,,,,,,,,,,,,,"1,877.657",,,0.030
[1A2c] Sustancias químicas,"17,614.872",11.124,15.039,,,,,,,,,,,,,,,,,,,,,,,,,"17,641.034",,,0.288
"[1A2d] Pulpa, papel e imprenta","2,367.083",2.039,3.464,,,,,,,,,,,,,,,,,,,,,,,,,"2,372.586",,,0.069
"[1A2e] Procesamiento de alimentos, bebidas y tabaco","3,485.279",3.473,6.391,,,,,,,,,,,,,,,,,,,,,,,,,"3,495.143",,,0.157
[1A2f] Minerales no metálicos,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[1A2g] Equipo de transporte,186.847,0.102,0.121,,,,,,,,,,,,,,,,,,,,,,,,,187.070,,,0.001
[1A2h] Maquinaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[1A2i] Minería (con excepción de combustibles) y cantería,"7,174.690",7.286,13.584,,,,,,,,,,,,,,,,,,,,,,,,,"7,195.560",,,0.216
[1A2j] Madera y productos de la madera,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[1A2k] Construcción,382.758,0.441,0.835,,,,,,,,,,,,,,,,,,,,,,,,,384.035,,,0.002
[1A2l] Textiles y cueros,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[1A2m] Industria no especificada,"16,000.137",73.938,97.460,,,,,,,,,,,,,,,,,,,,,,,,,"16,171.534",,,1.171
[1A3] Transporte,"105,485.387",376.364,"2,524.617",,,,,,,,,,,,,,,,,,,,,,,,,"108,386.369",,,25.451
[1A3a] Aviación civil,"5,172.503",0.997,37.754,,,,,,,,,,,,,,,,,,,,,,,,,"5,211.254",,,0.135
[1A3b] Autotransporte,"96,459.052",367.072,"2,278.423",,,,,,,,,,,,,,,,,,,,,,,,,"99,104.547",,,25.189
[1A3c] Ferrocarriles,"1,865.271",2.975,194.053,,,,,,,,,,,,,,,,,,,,,,,,,"2,062.299",,,0.044
[1A3d] Navegación marítima y fluvial,"1,988.562",5.320,14.386,,,,,,,,,,,,,,,,,,,,,,,,,"2,008.268",,,0.083
[1A3e] Otro transporte,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[1A4] Otros sectores,"27,379.005","2,408.510",315.955,,,,,,,,,,,,,,,,,,,,,,,,,"30,103.469",,,33.895
[1A4a] Comercial/institucional,"3,563.517",8.069,1.790,,,,,,,,,,,,,,,,,,,,,,,,,"3,573.375",,,1.746
[1A4b] Residencial,"18,920.294","2,381.725",303.590,,,,,,,,,,,,,,,,,,,,,,,,,"21,605.608",,,32.077
[1A4c] Agropecuario/silvicultura/pesca/piscifactorías,"4,895.194",18.716,10.575,,,,,,,,,,,,,,,,,,,,,,,,,"4,924.486",,,0.071
[1B] Emisiones fugitivas provenientes de la fabricación de combustibles,"12,245.879","13,882.146",11.540,,,,,,,,,,,,,,,,,,,,,,,,,"26,139.565",,,2.411
[1B1] Combustibles sólidos,74.657,"2,625.914",,,,,,,,,,,,,,,,,,,,,,,,,,"2,700.571",,,0.000
[1B1a] Minería carbonífera y manejo del carbón,74.657,"2,625.914",,,,,,,,,,,,,,,,,,,,,,,,,,"2,700.571",,,0.000
[1B1ai] Minas subterráneas,71.100,"2,518.763",,,,,,,,,,,,,,,,,,,,,,,,,,"2,589.863",,,
[1B1aii] Minas superficie,3.557,107.151,,,,,,,,,,,,,,,,,,,,,,,,,,110.709,,,
[1B1b] Combustión espontánea y vertederos para quema de carbón,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,0.000
[1B2] Petróleo y gas natural,"12,171.222","11,256.232",11.540,,,,,,,,,,,,,,,,,,,,,,,,,"23,438.994",,,2.411
[1B2a] Petróleo,"10,252.838","8,921.316",11.531,,,,,,,,,,,,,,,,,,,,,,,,,"19,185.685",,,
1B2ai Venteo petróleo,"6,474.432","5,677.350",,,,,,,,,,,,,,,,,,,,,,,,,,"12,151.782",,,
1B2aii Quemado petróleo,"3,738.514","3,183.437",11.531,,,,,,,,,,,,,,,,,,,,,,,,,"6,933.482",,,2.411
1B2aiii Otras fugitivas petróleo,39.892,60.529,,,,,,,,,,,,,,,,,,,,,,,,,,100.421,,,
[1B2b] Gas natural,"1,918.384","2,334.915",0.009,,,,,,,,,,,,,,,,,,,,,,,,,"4,253.309",,,
1B2bi Venteo gas natural,"1,848.006",963.086,,,,,,,,,,,,,,,,,,,,,,,,,,"2,811.092",,,
1B2bii Quemado gas natural,68.637,1.281,0.009,,,,,,,,,,,,,,,,,,,,,,,,,69.928,,,
1B2biii Otras fugitivas gas natural,1.741,"1,370.549",,,,,,,,,,,,,,,,,,,,,,,,,,"1,372.290",,,
[2] Procesos industriales y uso de productos,"34,158.624",248.222,762.637,695.283,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,51.493,"35,916.259",,,0.000
[2A] Industria de los minerales,"17,446.545",0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,"17,446.545",,,
[2A1] Producción de cemento,"13,526.422",,,,,,,,,,,,,,,,,,,,,,,,,,,"13,526.422",,,
[2A2] Producción de cal,"2,318.597",,,,,,,,,,,,,,,,,,,,,,,,,,,"2,318.597",,,
[2A3] Producción de vidrio,431.584,,,,,,,,,,,,,,,,,,,,,,,,,,,431.584,,,
[2A4] Otros usos de carbonatos,"1,169.941",,,,,,,,,,,,,,,,,,,,,,,,,,,"1,169.941",,,
[2A5] Otros,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2B] Industria química,"5,200.481",248.222,762.637,695.283,,,,,,,,,,,,,,,,,,,,,,,,"6,906.623",,,
[2B1] Producción de amoniaco,"2,957.937",,,,,,,,,,,,,,,,,,,,,,,,,,,"2,957.937",,,
[2B2] Producción de ácido nítrico,,,595.296,,,,,,,,,,,,,,,,,,,,,,,,,595.296,,,
[2B3] Producción de ácido adípico,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
"[2B4] Producción de caprolactama, glioxil y ácido glioxílico",,,167.341,,,,,,,,,,,,,,,,,,,,,,,,,167.341,,,
[2B5] Producción de carburo,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2B6] Producción de dióxido de titanio,131.032,,,,,,,,,,,,,,,,,,,,,,,,,,,131.032,,,
[2B7] Producción de ceniza de sosa,60.720,,,,,,,,,,,,,,,,,,,,,,,,,,,60.720,,,
[2B8] Producción petroquímica y negro de humo,"2,050.792",248.222,,,,,,,,,,,,,,,,,,,,,,,,,,"2,299.014",,,
[2B9] Producción fluoroquímica, ,,,695.283,,,,,,,,,,,,,,,,,,,,,,,,695.283,,,
[2B10] Otros,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2C] Industria de los metales,"11,249.012",0.000,0.000,,,,,,,,,,,,,,,,,0.000,0.000,,,,,,,"11,249.012",,,
[2C1] Producción de hierro y acero,"10,899",0.000,,,,,,,,,,,,,,,,,,,,,,,,,,"10,899.237",,,
[2C2] Producción de ferroaleaciones,253.112,,,,,,,,,,,,,,,,,,,,,,,,,,,253.112,,,
[2C3] Producción de aluminio,0.000,,,,,,,,,,,,,,,,,,,0.000,0.000,,,,,,,0.000,,,
[2C4] Producción de magnesio,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2C5] Producción de plomo,96.663,,,,,,,,,,,,,,,,,,,,,,,,,,,96.663,,,
[2C6] Producción de zinc,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2C7] Otros,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2D] Uso de productos no energéticos de combustibles y de solvente,262.586,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,262.586,,,
[2D1] Uso de lubricantes,216.701,,,,,,,,,,,,,,,,,,,,,,,,,,,216.701,,,
[2D2] Uso de la cera de parafina,45.886,,,,,,,,,,,,,,,,,,,,,,,,,,,45.886,,,
[2D3] Uso de solventes,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2D4] Otros,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2E] Industria electrónica,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,
[2E1] Circuitos integrados o semiconductores,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2E2] Pantalla plana tipo TFT,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2E3] Células fotovoltaicas,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2E4] Fluido de transferencia térmica,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2E5] Otros,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2F] Uso de productos sustitutos de las sustancias que agotan la capa de ozono,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,
[2F1] Refrigeración y aire acondicionado,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2F2] Agentes espumantes,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2F3] Protección contra incendios,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2F4] Aerosoles,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2F5] Solventes,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2F6] Otras aplicaciones,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2G] Manufactura y utilización de otros productos,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,51.493,51.493,,,
[2G1] Equipos eléctricos,,,,,,,,,,,,,,,,,,,,,,,,,,,51.493,51.493,,,
[2G2] SF6 y PFC de otros usos de productos,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2G3] N2O de usos de productos,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2G4] Otros,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2H] Otros,0.000,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2H1] Industria de la pulpa y el papel,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2H2] Industria de la alimentación y las bebidas,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2H3] Otros,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
"[3] Agricultura, silvicultura y otros usos de la tierra","4,974.894","90,333.784","20,417.485",,,,,,,,,,,,,,,,,,,,,,,,,"115,726.162",,,2.999
 [3A] Ganado,,"89,590.702","5,245.275",,,,,,,,,,,,,,,,,,,,,,,,,"94,835.978",,,
     [3A1] Fermentación entérica,,"73,436.560",,,,,,,,,,,,,,,,,,,,,,,,,,"73,436.560",,,
          [3A1a] Bovino,,"68,791.669",,,,,,,,,,,,,,,,,,,,,,,,,,"68,791.669",,,
          [3A1b] Búfalos,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
             [3A1c] Ovinos,,"1,013.290",,,,,,,,,,,,,,,,,,,,,,,,,,"1,013.290",,,
          [3A1d] Caprino,,"1,334.780",,,,,,,,,,,,,,,,,,,,,,,,,,"1,334.780",,,
          [3A1e] Camello,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
          [3A1f] Caballos,,"1,314.937",,,,,,,,,,,,,,,,,,,,,,,,,,"1,314.937",,,
          [3A1g] Mulas y asnos,,560.273,,,,,,,,,,,,,,,,,,,,,,,,,,560.273,,,
          [3A1h] Porcinos,,421.611,,,,,,,,,,,,,,,,,,,,,,,,,,421.611,,,
          [3A1i] Otros  (especificar),,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
     [3A2] Gestión del estiércol,,"16,154.142","5,245.275",,,,,,,,,,,,,,,,,,,,,,,,,"21,399.418",,,
          [3A2a] Bovinos,,"8,325.904","4,604.180",,,,,,,,,,,,,,,,,,,,,,,,,"12,930.083",,,
          [3A2b] Búfalos,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
             [3A2c] Ovinos,,11.910,25.850,,,,,,,,,,,,,,,,,,,,,,,,,37.760,,,
          [3A2d] Caprino,,15.320,24.770,,,,,,,,,,,,,,,,,,,,,,,,,40.090,,,
          [3A2e] Camello,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
          [3A2f] Caballos,,125.220,,,,,,,,,,,,,,,,,,,,,,,,,,125.220,,,
          [3A2g] Mulas y asnos,,53.719,,,,,,,,,,,,,,,,,,,,,,,,,,53.719,,,
          [3A2h] Porcinos,,"6,712.929",392.363,,,,,,,,,,,,,,,,,,,,,,,,,"7,105.292",,,
          [3A2i] Aves de corral,,909.141,198.113,,,,,,,,,,,,,,,,,,,,,,,,,"1,107.254",,,
          [3A2g] Otros  (especificar),,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
  [3B] Tierra,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
     [3B1] Tierra forestales,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,
          [3B1a] Tierras forestales que permanecen como tal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
          [3B1b] Tierras convertidas a tierras forestales,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
     [3B2] Tierra de cultivo,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,
          [3B2a] Tierras de cultivo que permanecen como tal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
          [3B2b] Tierras convertidas a tierras de cultivo,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
     [3B3] Praderas,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,
          [3B3a] Praderas que permanecen como tal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
          [3B3b] Tierras convertidas en praderas,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
     [3B4] Humedales,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,
          [3B4a] Humedales que permanecen como tal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
          [3B4b] Tierras convertidas en humedales,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
     [3B5] Asentamientos ,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,
          [3B5a] Asentamientos que permanecen como tal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
          [3B5b] Tierras convertidas en asentamientos,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
     [3B6] Otras tierras ,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,
          [3B6a] Otras tierras que permanecen como tal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
          [3B6b] Tierras convertidas en otras tierras,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
  [3C] Fuentes agregadas y fuentes de emisión no CO2 de la tierra,"1,099.71",743.08,"15,172.209",,,,,,,,,,,,,,,,,,,,,,,,,"17,015.000",,,2.999
     [3C1] Emisiones de GEI por quemado de biomasa,0.000,498.481,151.471,,,,,,,,,,,,,,,,,,,,,,,,,649.952,,,2.999
          [3C1a] Emisiones de quemado de biomasa en tierras forestales,,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
          [3C1b] Emisiones de quemado de biomasa en tierras de cultivo,,498.481,151.471,,,,,,,,,,,,,,,,,,,,,,,,,649.952,,,2.999
          [3C1c] Emisiones de quemado de biomasa en tierras praderas,,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
          [3C1d] Emisiones de quemado de biomasa en otras tierras,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
     [3C2] Encalado,32.900,,,,,,,,,,,,,,,,,,,,,,,,,,,32.900,,,
     [3C3] Aplicación de urea,"1,066.810",,,,,,,,,,,,,,,,,,,,,,,,,,,"1,066.810",,,
