     [3C4] Emisiones directas de los N2O de los suelos gestionados,,,"8,639.930",,,,,,,,,,,,,,,,,,,,,,,,,"8,639.930",,,
     [3C5] Emisiones indirectas de los N2O de los suelos gestionados,,,"4,694.420",,,,,,,,,,,,,,,,,,,,,,,,,"4,694.420",,,
     [3C6] Emisiones indirectas de los N2O de la gestión del estiércol,,,"1,686.389",,,,,,,,,,,,,,,,,,,,,,,,,"1,686.389",,,
     [3C7] Cultivo del arroz,,244.6,,,,,,,,,,,,,,,,,,,,,,,,,,244.600,,,
  [3D] Otros,"3,875.184",,,,,,,,,,,,,,,,,,,,,,,,,,,"3,875.184",,,
     [3D1] Productos de madera recolectada,3875.184086,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,875.184",,,
     [3D2] Otros (especificar),,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[4] Residuos,464.786,"16,572.654","3,938.207",,,,,,,,,,,,,,,,,,,,,,,,,"20,975.647",,,1.564
[4A] Eliminación de residuos sólidos,,"2,630.358",0.000,,,,,,,,,,,,,,,,,,,,,,,,,"2,630.358",,,
[4A1] Sitios gestionados de eliminación de residuos (rellenos sanitarios),,890.787,,,,,,,,,,,,,,,,,,,,,,,,,,890.787,,,
[4A2] Sitios no controlados de eliminación de residuos ,,390.909,,,,,,,,,,,,,,,,,,,,,,,,,,390.909,,,
[4A3] Tiraderos a cielo abierto para eliminación de residuos,,"1,348.662",,,,,,,,,,,,,,,,,,,,,,,,,,"1,348.662",,,
[4B] Tratamiento biológico de los residuos sólidos,,96.304,68.359,,,,,,,,,,,,,,,,,,,,,,,,,164.663,,,
[4C] Incineración y quema a cielo abierto  de residuos,464.786,925.987,202.244,,,,,,,,,,,,,,,,,,,,,,,,,"1,593.017",,,1.564
[4C1] Incineración de residuos peligrosos industriales y biológico infeccioso,0.071,0.000,0.002,,,,,,,,,,,,,,,,,,,,,,,,,0.074,,,
[4C2] Quema a cielo abierto de residuos sólidos,464.715,925.987,202.242,,,,,,,,,,,,,,,,,,,,,,,,,"1,592.943",,,1.564
[4D] Tratamiento y eliminación de aguas residuales,,"12,920.004","3,667.604",,,,,,,,,,,,,,,,,,,,,,,,,"16,587.609",,,
[4D1] Tratamiento y eliminación de aguas residuales municipales,,"4,513.064","3,667.604",,,,,,,,,,,,,,,,,,,,,,,,,"8,180.669",,,
[4D2] Tratamiento y eliminación de aguas residuales industriales,,"8,406.940",,,,,,,,,,,,,,,,,,,,,,,,,,"8,406.940",,,
[4E] Otros,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
EMISIONES NETAS (Gg de CO2e),"360,853.348","124,026.181","28,335.696",695.283,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,51.493,"513,962.001",,,84.567
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bunkers,"2,105.844",0.406,15.371,,,,,,,,,,,,,,,,,,,,,,,,,"2,121.620",,,
Aviación internacional,"2,105.844",0.406,15.371,,,,,,,,,,,,,,,,,,,,,,,,,"2,121.620",,,
Marítimo internacional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emisiones de CO2 por quema de biomasa,"36,096.895",,,,,,,,,,,,,,,,,,,,,,,,,,,"36,096.895",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nota:,Las emisiones de bunkers y las emisiones de CO2 por la quema de biomasa no se encuentran contabilizadas al total de inventario,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
