,INVENTARIO NACIONAL DE EMISIONES DE GASES Y COMPUESTOS DE EFECTO INVERNADERO (INEGYCEI),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CATEGORÍA / FUENTE / SUBFUENTE 
DE EMISIÓN",Emisiones de gases de efecto invernadero  (Gg de CO2e ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Carbono negro
(Gg)"
,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CO2,CH4,N2O,HFCs,,,,,,,,,,,,,,,,PFCs,,,,,,NF3,SF6,"EMISIONES NETAS
Gg en CO2e"," 
EMISIONES
(sin 3B y 3D)
Gg en CO2e",,
,,,,HFC-23,HFC-410A,HFC-43-10mee,HFC-125,HFC-134,HFC-134a,HFC-404A,HFC-407C,HFC-507a,HFC-152a,HFC-227ea,HFC-236fa,HFC-365mfc/227ea,HFC-365mfc,HFC-245fa,HFC-32,CF4,C2F6,C3F8,C4F6,c-C4F8,C5F8,,,,,,
  Potencial de calentamiento,1,28,265,"12,400","1,924","1,650","3,170","1,120","1,300","3,943","1,624","3,985",138,"2,640","8,060",982,804,858,677,"6,630","11,100","8,900",1,"9,540",2,"16,100","23,500",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMISIONES NETAS (Gg de CO2e),"313,910.935","180,349.048","35,691.537","2,104.442",39.329,0.000,0.193,0.000,"3,537.518","2,460.140",19.586,23.519,0.000,0.000,0.000,0.000,211.330,0.000,0.001,1.092,0.609,0.122,0.000,0.044,0.000001,1.105,140.204,"538,490.752","736,252.573",,92.705
[1] Energía,"457,631.285","51,038.813","3,852.801",,,,,,,,,,,,,,,,,,,,,,,,,"512,522.899",,,85.943
[1A] Actividades de quema del combustible,"418,133.034","3,021.724","3,764.606",,,,,,,,,,,,,,,,,,,,,,,,,"424,919.364",,,65.415
[1A1] Industrias de la energía,"160,841.367",138.129,283.917,,,,,,,,,,,,,,,,,,,,,,,,,"161,263.413",,,10.868
[1A1a] Actividad principal producción de electricidad y calor,"121,572.397",111.196,244.240,,,,,,,,,,,,,,,,,,,,,,,,,"121,927.833",,,8.975
[1A1b] Refinación del petróleo,"12,963.255",10.149,16.361,,,,,,,,,,,,,,,,,,,,,,,,,"12,989.766",,,1.583
[1A1c] Manufactura de combustibles sólidos y otras industrias de la energía,"26,305.715",16.783,23.316,,,,,,,,,,,,,,,,,,,,,,,,,"26,345.814",,,0.310
[1A2] Industrias manufactura y de la construcción,"57,662.508",111.479,155.370,,,,,,,,,,,,,,,,,,,,,,,,,"57,929.357",,,1.155
[1A2a] Hierro y acero,"2,362.106",1.551,2.172,,,,,,,,,,,,,,,,,,,,,,,,,"2,365.829",,,0.040
[1A2b] Metales no ferrosos,"1,646.379",1.431,2.424,,,,,,,,,,,,,,,,,,,,,,,,,"1,650.234",,,0.018
[1A2c] Sustancias químicas,"10,531.120",6.210,7.965,,,,,,,,,,,,,,,,,,,,,,,,,"10,545.294",,,0.082
"[1A2d] Pulpa, papel e imprenta","2,408.025",1.734,2.625,,,,,,,,,,,,,,,,,,,,,,,,,"2,412.384",,,0.052
"[1A2e] Procesamiento de alimentos, bebidas y tabaco","2,332.348",43.809,56.424,,,,,,,,,,,,,,,,,,,,,,,,,"2,432.581",,,0.628
[1A2f] Minerales no metálicos,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[1A2g] Equipo de transporte,195.859,0.123,0.164,,,,,,,,,,,,,,,,,,,,,,,,,196.146,,,0.001
[1A2h] Maquinaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[1A2i] Minería (con excepción de combustibles) y cantería,"11,333.985",11.874,20.654,,,,,,,,,,,,,,,,,,,,,,,,,"11,366.512",,,0.082
[1A2j] Madera y productos de la madera,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[1A2k] Construcción,763.046,0.880,1.665,,,,,,,,,,,,,,,,,,,,,,,,,765.592,,,0.003
[1A2l] Textiles y cueros,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[1A2m] Industria no especificada,"26,089.640",43.868,61.278,,,,,,,,,,,,,,,,,,,,,,,,,"26,194.786",,,0.250
[1A3] Transporte,"164,795.271",480.679,"3,017.849",,,,,,,,,,,,,,,,,,,,,,,,,"168,293.799",,,18.841
[1A3a] Aviación civil,"5,842.085",1.126,42.641,,,,,,,,,,,,,,,,,,,,,,,,,"5,885.853",,,0.083
[1A3b] Autotransporte,"154,069.521",468.516,"2,757.690",,,,,,,,,,,,,,,,,,,,,,,,,"157,295.727",,,18.592
[1A3c] Ferrocarriles,"1,881.984",3.002,195.791,,,,,,,,,,,,,,,,,,,,,,,,,"2,080.777",,,0.044
[1A3d] Navegación marítima y fluvial,"3,001.681",8.035,21.726,,,,,,,,,,,,,,,,,,,,,,,,,"3,031.441",,,0.121
[1A3e] Otro transporte,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[1A4] Otros sectores,"34,833.888","2,291.437",307.469,,,,,,,,,,,,,,,,,,,,,,,,,"37,432.795",,,34.552
[1A4a] Comercial/institucional,"4,808.983",10.920,2.443,,,,,,,,,,,,,,,,,,,,,,,,,"4,822.346",,,2.335
[1A4b] Residencial,"21,206.096","2,247.409",286.605,,,,,,,,,,,,,,,,,,,,,,,,,"23,740.110",,,31.890
[1A4c] Agropecuario/silvicultura/pesca/piscifactorías,"8,818.809",33.108,18.422,,,,,,,,,,,,,,,,,,,,,,,,,"8,870.338",,,0.327
[1B] Emisiones fugitivas provenientes de la fabricación de combustibles,"39,498.250","48,017.089",88.196,,,,,,,,,,,,,,,,,,,,,,,,,"87,603.535",,,20.527
[1B1] Combustibles sólidos,137.996,"4,853.730",,,,,,,,,,,,,,,,,,,,,,,,,,"4,991.726",,,0.000
[1B1a] Minería carbonífera y manejo del carbón,137.996,"4,853.730",0.000,,,,,,,,,,,,,,,,,,,,,,,,,"4,991.726",,,0.000
[1B1ai] Minas subterráneas,131.421,"4,655.671",,,,,,,,,,,,,,,,,,,,,,,,,,"4,787.093",,,
[1B1aii] Minas superficie,6.575,198.058,,,,,,,,,,,,,,,,,,,,,,,,,,204.633,,,
[1B1b] Combustión espontánea y vertederos para quema de carbón,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,0.000
[1B2] Petróleo y gas natural,"39,360.254","43,163.359",88.196,,,,,,,,,,,,,,,,,,,,,,,,,"82,611.809",,,20.527
[1B2a] Petróleo,"36,687.156","35,931.054",88.042,,,,,,,,,,,,,,,,,,,,,,,,,"72,706.252",,,
1B2ai Venteo petróleo,"6,213.710","7,317.774",,,,,,,,,,,,,,,,,,,,,,,,,,"13,531.484",,,
1B2aii Quemado petróleo,"30,417.838","28,514.202",88.042,,,,,,,,,,,,,,,,,,,,,,,,,"59,020.083",,,20.527
1B2aiii Otras fugitivas petróleo,55.608,99.078,,,,,,,,,,,,,,,,,,,,,,,,,,154.685,,,
[1B2b] Gas natural,"2,673.099","7,232.305",0.153,,,,,,,,,,,,,,,,,,,,,,,,,"9,905.557",,,
1B2bi Venteo gas natural,"2,082.609","2,849.516",,,,,,,,,,,,,,,,,,,,,,,,,,"4,932.125",,,
1B2bii Quemado gas natural,584.368,10.905,0.153,,,,,,,,,,,,,,,,,,,,,,,,,595.426,,,
1B2biii Otras fugitivas gas natural,6.122,"4,371.884",,,,,,,,,,,,,,,,,,,,,,,,,,"4,378.006",,,
[2] Procesos industriales y uso de productos,"51,452.209",201.414,264.958,"2,104.442",39.329,0.000,0.193,0.000,"3,537.518","2,460.140",19.586,23.519,0.000,0.000,0.000,0.000,211.330,0.000,0.001,1.092,0.609,0.122,0.000,0.044,0.000,1.105,140.204,"60,457.813",,,0.000
[2A] Industria de los minerales,"29,768.006",0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,"29,768.006",,,
[2A1] Producción de cemento,"18,512.234",,,,,,,,,,,,,,,,,,,,,,,,,,,"18,512.234",,,
[2A2] Producción de cal,"2,781.841",,,,,,,,,,,,,,,,,,,,,,,,,,,"2,781.841",,,
[2A3] Producción de vidrio,263.260,,,,,,,,,,,,,,,,,,,,,,,,,,,263.260,,,
[2A4] Otros usos de carbonatos,"8,210.670",,,,,,,,,,,,,,,,,,,,,,,,,,,"8,210.670",,,
[2A5] Otros,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2B] Industria química,"2,995.731",198.747,264.835,"2,104.158",,,,,,,,,,,,,,,,,,,,,,,,"5,563.472",,,
[2B1] Producción de amoniaco,"1,074.172",,,,,,,,,,,,,,,,,,,,,,,,,,,"1,074.172",,,
[2B2] Producción de ácido nítrico,,,127.707,,,,,,,,,,,,,,,,,,,,,,,,,127.707,,,
[2B3] Producción de ácido adípico,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
"[2B4] Producción de caprolactama, glioxil y ácido glioxílico",,,137.128,,,,,,,,,,,,,,,,,,,,,,,,,137.128,,,
[2B5] Producción de carburo,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2B6] Producción de dióxido de titanio,169.795,,,,,,,,,,,,,,,,,,,,,,,,,,,169.795,,,
[2B7] Producción de ceniza de sosa,40.020,,,,,,,,,,,,,,,,,,,,,,,,,,,40.020,,,
[2B8] Producción petroquímica y negro de humo,"1,711.743",198.747,,,,,,,,,,,,,,,,,,,,,,,,,,"1,910.491",,,
[2B9] Producción fluoroquímica, ,,,"2,104.158",,,,,,,,,,,,,,,,,,,,,,,,"2,104.158",,,
[2B10] Otros,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2C] Industria de los metales,"18,465.975",2.667,0.000,,,,,,,,,,,,,,,,,,,,,,,,,"18,468.642",,,
[2C1] Producción de hierro y acero,"18,120",2.667,,,,,,,,,,,,,,,,,,,,,,,,,,"18,122.590",,,
[2C2] Producción de ferroaleaciones,286.624,,,,,,,,,,,,,,,,,,,,,,,,,,,286.624,,,
[2C3] Producción de aluminio,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2C4] Producción de magnesio,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2C5] Producción de plomo,59.428,,,,,,,,,,,,,,,,,,,,,,,,,,,59.428,,,
[2C6] Producción de zinc,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2C7] Otros,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2D] Uso de productos no energéticos de combustibles y de solvente,193.012,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,193.012,,,
[2D1] Uso de lubricantes,163.219,,,,,,,,,,,,,,,,,,,,,,,,,,,163.219,,,
[2D2] Uso de la cera de parafina,29.793,,,,,,,,,,,,,,,,,,,,,,,,,,,29.793,,,
[2D3] Uso de solventes,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2D4] Otros,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2E] Industria electrónica,0.000,0.000,0.122,0.284,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,1.092,0.609,0.122,0.000,0.044,0.000001,1.105,0.537,3.916,,,
[2E1] Circuitos integrados o semiconductores,,,0.122,0.284,,,,,,,,,,,,,,,0.001,1.092,0.609,0.122,0.000,0.044,0.000001,1.105,0.537,3.916,,,
[2E2] Pantalla plana tipo TFT,,,0.000,,,,,,,,,,,,,,,,,0.000,,,,0.000,,0.000,0.000,0.000,,,
[2E3] Células fotovoltaicas,,,,,,,,,,,,,,,,,,,,0.000,0.000,,,,,,,0.000,,,
[2E4] Fluido de transferencia térmica,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2E5] Otros,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2F] Uso de productos sustitutos de las sustancias que agotan la capa de ozono,0.000,0.000,0.000,0.000,39.329,0.000,0.193,0.000,"3,537.518","2,460.140",19.586,23.519,0.000,0.000,0.000,0.000,211.330,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,"6,291.614",,,
[2F1] Refrigeración y aire acondicionado,,,,,39.329,,,,"3,246.594","2,460.140",19.586,,,,,,,,,,,,,,,,,"5,765.648",,,
[2F2] Agentes espumantes,,,,,,,,,2.696,,,,,,,,211.330,,,,,,,,,,,214.026,,,
[2F3] Protección contra incendios,,,,,,,0.193,,,,,,,,,,,,,,,,,,,,,0.193,,,
[2F4] Aerosoles,,,,,,,,,288.228,,,23.51932536,,,,,,,,,,,,,,,,311.747,,,
[2F5] Solventes,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2F6] Otras aplicaciones,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2G] Manufactura y utilización de otros productos,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,139.666,139.666,,,
[2G1] Equipos eléctricos,,,,,,,,,,,,,,,,,,,,,,,,,,,139.666,139.666,,,
[2G2] SF6 y PFC de otros usos de productos,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2G3] N2O de usos de productos,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2G4] Otros,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2H] Otros,29.486,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,29.486,,,
[2H1] Industria de la pulpa y el papel,29.486,,,,,,,,,,,,,,,,,,,,,,,,,,,29.486,,,
[2H2] Industria de la alimentación y las bebidas,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2H3] Otros,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
"[3] Agricultura, silvicultura y otros usos de la tierra","-196,127.561","92,760.523","28,297.779",,,,,,,,,,,,,,,,,,,,,,,,,"-75,069.259",,,5.234
 [3A] Ganado,,"91,663.618","5,675.589",,,,,,,,,,,,,,,,,,,,,,,,,"97,339.207",,,
     [3A1] Fermentación entérica,,"74,506.091",,,,,,,,,,,,,,,,,,,,,,,,,,"74,506.091",,,
          [3A1a] Bovino,,"70,789.223",,,,,,,,,,,,,,,,,,,,,,,,,,"70,789.223",,,
          [3A1b] Búfalos,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
             [3A1c] Ovinos,,"1,319.560",,,,,,,,,,,,,,,,,,,,,,,,,,"1,319.560",,,
          [3A1d] Caprino,,"1,246.170",,,,,,,,,,,,,,,,,,,,,,,,,,"1,246.170",,,
          [3A1e] Camello,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
          [3A1f] Caballos,,619.889,,,,,,,,,,,,,,,,,,,,,,,,,,619.889,,,
          [3A1g] Mulas y asnos,,200.905,,,,,,,,,,,,,,,,,,,,,,,,,,200.905,,,
          [3A1h] Porcinos,,330.344,,,,,,,,,,,,,,,,,,,,,,,,,,330.344,,,
          [3A1i] Otros  (especificar),,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
     [3A2] Gestión del estiércol,,"17,157.527","5,675.589",,,,,,,,,,,,,,,,,,,,,,,,,"22,833.115",,,
          [3A2a] Bovinos,,"10,633.950","4,891.069",,,,,,,,,,,,,,,,,,,,,,,,,"15,525.019",,,
          [3A2b] Búfalos,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
             [3A2c] Ovinos,,15.380,33.810,,,,,,,,,,,,,,,,,,,,,,,,,49.190,,,
          [3A2d] Caprino,,13.950,21.630,,,,,,,,,,,,,,,,,,,,,,,,,35.580,,,
          [3A2e] Camello,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
          [3A2f] Caballos,,56.404,,,,,,,,,,,,,,,,,,,,,,,,,,56.404,,,
          [3A2g] Mulas y asnos,,17.781,,,,,,,,,,,,,,,,,,,,,,,,,,17.781,,,
          [3A2h] Porcinos,,"4,793.406",431.949,,,,,,,,,,,,,,,,,,,,,,,,,"5,225.355",,,
          [3A2i] Aves de corral,,"1,626.655",297.131,,,,,,,,,,,,,,,,,,,,,,,,,"1,923.787",,,
          [3A2g] Otros  (especificar),,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
  [3B] Tierra,"-193,722.29",0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,"-193,722.292",,,
     [3B1] Tierra forestales,"-193,439.97",0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,"-193,439.97",,,
          [3B1a] Tierras forestales que permanecen como tal,"-191,985.73",,,,,,,,,,,,,,,,,,,,,,,,,,,"-191,985.727",,,
          [3B1b] Tierras convertidas a tierras forestales,"-1,454.25",,,,,,,,,,,,,,,,,,,,,,,,,,,"-1,454.245",,,
     [3B2] Tierra de cultivo,"-10,900.89",0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,"-10,900.89",,,
          [3B2a] Tierras de cultivo que permanecen como tal,"-16,028.26",,,,,,,,,,,,,,,,,,,,,,,,,,,"-16,028.259",,,
          [3B2b] Tierras convertidas a tierras de cultivo,"5,127.37",,,,,,,,,,,,,,,,,,,,,,,,,,,"5,127.366",,,
     [3B3] Praderas,"10,174.82",0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,"10,174.82",,,
          [3B3a] Praderas que permanecen como tal,-562.99,,,,,,,,,,,,,,,,,,,,,,,,,,,-562.990,,,
          [3B3b] Tierras convertidas en praderas,"10,737.81",,,,,,,,,,,,,,,,,,,,,,,,,,,"10,737.807",,,
     [3B4] Humedales,88.06,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,88.06,,,
          [3B4a] Humedales que permanecen como tal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
          [3B4b] Tierras convertidas en humedales,88.06,,,,,,,,,,,,,,,,,,,,,,,,,,,88.063,,,
     [3B5] Asentamientos ,246.52,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,246.52,,,
          [3B5a] Asentamientos que permanecen como tal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
          [3B5b] Tierras convertidas en asentamientos,246.52,,,,,,,,,,,,,,,,,,,,,,,,,,,246.522,,,
     [3B6] Otras tierras ,109.17,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,109.17,,,
          [3B6a] Otras tierras que permanecen como tal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
          [3B6b] Tierras convertidas en otras tierras,109.17,,,,,,,,,,,,,,,,,,,,,,,,,,,109.170,,,
  [3C] Fuentes agregadas y fuentes de emisión no CO2 de la tierra,"1,634.26","1,096.90","22,622.191",,,,,,,,,,,,,,,,,,,,,,,,,"25,353.356",,,5.234
     [3C1] Emisiones de GEI por quemado de biomasa,0.000,953.275,404.969,,,,,,,,,,,,,,,,,,,,,,,,,"1,358.244",,,5.234
          [3C1a] Emisiones de quemado de biomasa en tierras forestales,,259.500,162.270,,,,,,,,,,,,,,,,,,,,,,,,,421.770,,,1.480
          [3C1b] Emisiones de quemado de biomasa en tierras de cultivo,,638.115,194.599,,,,,,,,,,,,,,,,,,,,,,,,,832.714,,,3.482
          [3C1c] Emisiones de quemado de biomasa en tierras praderas,,55.660,48.100,,,,,,,,,,,,,,,,,,,,,,,,,103.760,,,0.273
