Ciclones que han impactado a México (1970 - 2020),,,,,,,
,,,,,,,
"
N°","
Nombre","
Impacto en tierra","
Fecha de impacto","Categoría
máxima","Categoría 
en impacto","Velocidad 
en impacto (km/h)","
Costa"
48,DELIA,"Cd. Acuña, Coah.",1973/09/07,DT,DT,55,Atlántico
49,DELTA,"A 6 km al sur-suroeste de Puerto Morelos, Q. Roo",2020/10/07,H4,H2,175,Atlántico
50,DEPRESIÓN TROPICAL NO. 19,"Al este de Isla Lobos, 60 km al oeste de Ciudad Obregón",2018/09/19,DT,DT,45,Pacífico
51,DIANA,"Chetumal, QRoo.",1990/08/05,H2,TT,110,Atlántico
,,"Tuxpan, Ver.",1990/08/07,H2,H2,158,Atlántico
52,DOLLY,"Felipe C. Puerto, QRoo.",1996/08/20,H1,TT,110,Atlántico
,,"Pueblo Viejo, Ver.",1996/08/23,H1,H1,130,Atlántico
,,"Laguna De Nichupté, QRoo.",2008/07/21,TT,TT,85,Atlántico
,,"Nuevo Laredo, Tamps.",2008/07/24,TT,TT,65,Atlántico
,,"Horconcitos, Ver.",2014/09/02,TT,TT,75,Atlántico
53,DOLORES,"Copala, Gro.",1974/06/16,H1,TT,70,Pacífico
54,DORA,"55 Km Al Sureste De Zihuatanejo, Gro.",2005/07/04,TT,TT,65,Pacífico
55,DOREEN,"Todos Santos, Bcs.",1977/08/15,H1,H1,120,Pacífico
,,"Abreojos, Bcs.",1977/08/15,H1,TT,93,Pacífico
56,DT 11,"90 Km Al Noreste De Coatzacoalcos, Ver.",1999/10/04,DT,DT,55,Atlántico
57,DT 11E,"35 Km Al Noroeste De Salina Cruz, Oax.",2010/09/04,DT,DT,55,Pacífico
58,DT 12E,"10 Km Al Oeste De Chahuites, Oax.",2011/10/12,DT,DT,55,Pacífico
59,DT 16E,"Mocorito, Sin.",2004/10/26,DT,DT,55,Pacífico
60,DT 2,"La Pesca, Tam.",1991/07/07,DT,DT,55,Atlántico
,,"22 Km Al Oeste De Matamoros, Tamps.",2010/07/08,DT,DT,55,Atlántico
61,DT 3E,"Los Frailes, Bcs.",1993/07/02,DT,DT,55,Pacífico
62,DT 5,"Tampico, Tamps.",1994/08/31,DT,DT,55,Atlántico
63,DT 5E,"Pinotepa Nal., Oax.",1991/06/29,DT,DT,55,Pacífico
,,"10 Km Al Oeste De Lázaro Cárdenas, Mich.",2008/07/06,DT,DT,55,Pacífico
64,DT 6,"Tamiahua, Ver.",1995/08/07,DT,DT,55,Atlántico
65,DT 8E,"25 Km Al Norte De Calla De Campos, Mich.",2011/08/31,DT,DT,50,Pacífico
66,DT-1 E,"A 35 Km al Sureste de Juchitán, localidad de Pesquería, Laguna Superior",2016/06/08,DT,DT,35,Pacífico
67,DT-16 E,Sureste De La Laguna San Ignacio,2015/09/21,DT,DT,55,Pacífico
,,42 Km Al Noroeste De Bahía Kino,2015/09/21,DT,DT,55,Pacífico
68,DT1E,"75 Km Al Suroeste De Mazatlán, Sin.",2009/06/19,DT,DT,55,Pacífico
69,DT2,"Cazones - Tuxpan, Ver.",1999/07/03,DT,DT,55,Atlántico
70,DT7,"Tepehuanes, Tamps.",1999/09/06,DT,DT,55,Atlántico
71,DT8,"Pánuco, Ver.",2013/09/06,DT,DT,55,Atlántico
72,EARL,"Sobre Belice a 120 Km al Sur de Chetumal, Quintana Roo",2016/08/04,H1,H1,130,Atlántico
,,10 Km al Sureste de Antón Lizardo,2016/08/05,H1,TT,95,Atlántico
73,EDITH,"Chetumal, QRoo.",1971/09/11,TT,TT,110,Atlántico
,,"La Pesca, Tamps.",1971/09/14,TT,TT,85,Atlántico
74,EDOUARD,"A 70 Km Al Este De Nautla, Ver.",1984/09/15,TT,TT,65,Atlántico
75,EILEEN,"Las Coloradas, Nay.",1970/06/26,TT,TT,65,Pacífico
76,ELEANOR,"Cuyutlán, Col.",1975/07/12,DT,DT,45,Pacífico
77,ELLA,"Akumal, QRoo.",1970/09/10,H3,DT,55,Atlántico
,,"La Pesca, Tamps.",1970/09/12,H3,H3,195,Atlántico
78,ELOISE,"Pto. Morelos, QRoo.",1975/09/21,TT,TT,85,Atlántico
79,EMILY,"20 Km Al Norte De Tulum, QRoo.",2005/07/18,H4,H4,215,Atlántico
,,"El Mezquite, Tamps.",2005/07/20,H4,H3,205,Atlántico
80,ERICK,"San José del Cabo, Bcs.",2013/07/08,H1,TT,75,Pacífico
81,ERIKA,"55 Km Al Sur De Matamoros, Tamps.",2003/08/16,H1,H1,120,Atlántico
82,ERNESTO,"Majahual, QRoo.",2012/08/07,H1,H1,140,Atlántico
,,"Coatzacoalcos, Ver.",2012/08/09,H1,TT,95,Atlántico
83,EUGENE,"Tenacatita, Jal.",1987/07/25,H1,H1,148,Pacífico
84,FAUSTO,"Todos Santos, Bcs.",1996/09/13,H1,H1,130,Pacífico
,,"Sn. Ignacio, Sin.",1996/09/14,H1,H1,120,Pacífico
85,FERN,"Presa Falcón, Tamps.",1971/09/12,TT,TT,85,Atlántico
86,FERNAND,"Puerto de Veracruz, Ver.",2013/08/25,TT,TT,85,Atlántico
,,"Inmediaciones de Boca de Catán, 55 km al norte de La Pesca.",2019/09/04,TT,TT,75,Atlántico
87,FIFI,"El Cedro, Chis.",1974/09/19,TT,TT,85,Atlántico
88,FRANK,"Abreojos, Bcs.",1998/08/09,TT,TT,65,Pacífico
89,FRANKLIN,Entre Punta Herrero y Puerto Costa Maya,2017/08/08,H1,TT,95,Atlántico
,,Lechuguillas,2017/08/10,H1,H1,140,Atlántico
90,GABRIELLE,"La Pesca, Tamps.",1995/08/11,TT,TT,110,Atlántico
91,GAMMA,"A 5 km al sur de la población de Tulum, Q. Roo",2020/10/03,H1,H1,120,Atlántico
,,"Cercanías de Nichili, Yuc., a 8 km al oeste-suroeste de Río Lagartos, Yuc.",2020/10/05,H1,DT,55,Atlántico
92,GENEVIEVE,"La Paz, Bcs.",1984/07/14,DT,DT,25,Pacífico
,,"65 km al suroeste de Cabo San Lucas, B. C. S.",2020/08/20,H4,H1,130,Pacífico
93,GEORGETTE,"15 Km Al Sur De Cabo Sn. Lucas, Bcs.",2010/09/21,TT,TT,65,Pacífico
,,"15 Km Al Noroeste De Guaymas, Son.",2010/09/22,TT,TT,65,Pacífico
94,GERT,"Chetumal, QRoo.",1993/09/18,H1,TT,65,Atlántico
,,"Tuxpan, Ver.",1993/09/20,H1,H1,148,Atlántico
,,"10 Km Al Sureste De Panuco, Ver.",2005/07/24,TT,TT,75,Atlántico
95,GILBERT,"Pto. Morelos, QRoo.",1988/09/14,H5,H5,287,Atlántico
,,"La Pesca, Tamps.",1988/09/16,H5,H4,215,Atlántico
96,GLENDA,"Pta. Eugenia, Bcs.",1977/09/27,DT,DT,45,Pacífico
97,GORDON,"Tulum, QRoo.",2000/09/14,DT,DT,55,Atlántico
98,GREG,"Sn. José Del Cabo, Bcs.",1999/09/08,H1,H1,120,Pacífico
99,GRETA,"Telchac Pto, Yuc.",1970/10/01,DT,DT,55,Atlántico
,,"Tampico, Tamps.",1970/10/04,DT,DT,45,Atlántico
,,"Bonampak, Chis.",1978/09/19,DT,DT,55,Atlántico
100,HANNA,"Sabancuy, Camp.",2014/10/22,TT,DT,45,Atlántico
,,"5 km al noreste de Ciudad Camargo, Tamps.",2020/07/26,H1,TT,115,Atlántico
101,HARVEY,"42 Km Al Sureste De Villahermosa, Tab.",2011/08/21,DT,DT,55,Atlántico
,,"15 Km Al Oeste De Alvarado, Ver.",2011/08/22,DT,DT,55,Atlántico
102,HEATHER,"Salina Cruz, Oax.",1973/09/01,DT,DT,45,Pacífico
103,HELENE,"Horconcitos, Ver.",2012/08/18,TT,TT,65,Atlántico
104,HENRIETTE,"Pto. Morelos, QRoo.",1979/09/15,DT,DT,45,Atlántico
,,"C. Sn.Lucas, Bcs.",1995/09/04,H2,H2,158,Pacífico
,,"San José Del Cabo, Bcs.",2007/09/04,H1,H1,130,Pacífico
,,"Guaymas, Son.",2007/09/05,H1,H1,120,Pacífico
105,HERMINE,"Sacxan, QRoo.",1980/09/22,TT,TT,100,Atlántico
,,"Catemaco, Ver.",1980/09/24,TT,TT,110,Atlántico
,,"40 Km Al Sur De Matamoros, Tamps.",2010/09/06,TT,TT,95,Atlántico
106,HERNAN,"Cihuatlán, Jal.",1996/10/03,H1,H1,120,Pacífico
,,"San Blas, Nay.",1996/10/04,H1,DT,45,Pacífico
,,A 4 km sur-sureste de Los Frailes y 11 km al S de Cabo Pulmo Costa oriental de Los Cabos BCS,2020/08/28,TT,DT,55,Pacífico
107,HILARY,"Punta Pequeña, Bcs.",1993/08/25,TT,TT,100,Pacífico
,,"Bahia Kino, Son.",1993/08/26,TT,DT,55,Pacífico
108,HYACINTH,"San Diego, Cal., E.U.",1972/09/07,DT,DT,45,Pacífico
109,IDA,"80 Km Al Este De Cancún, QRoo.",2009/11/08,H1,H1,150,Atlántico
110,IGNACIO,"Playa Azul, Mich.",1979/10/30,TT,TT,100,Pacífico
,,"Lázaro Cardenas, Mich.",1991/09/18,TT,TT,95,Pacífico
,,"60 Km Al Este De Cd. Constitución, Bcs.",2003/08/25,H2,H2,165,Pacífico
111,INGRID,"La Pesca, Tamps.",2013/09/16,H1,H1,120,Atlántico
112,IRAH,"La Paz, Bcs.",1973/09/25,H1,H1,130,Pacífico
,,"Topolobampo, Sin.",1973/09/26,H1,TT,65,Pacífico
113,IRIS,"Presa La Angostura, Chis.",2001/08/09,DT,DT,55,Atlántico
114,IRWIN,"San José Del Cabo Y La Paz, Bcs.",1981/08/30,DT,DT,55,Pacífico
115,ISIDORE,"Telchac Puerto, Yuc.",2002/09/22,H3,H3,205,Atlántico
116,ISIS,"Los Cabos, Bcs.",1998/09/02,H1,TT,110,Pacífico
,,"Topolobampo, Sin.",1998/09/02,H1,H1,120,Pacífico
117,ISMAEL,"Topolobampo, Sin.",1995/09/14,H1,H1,120,Pacífico
118,JAVIER,"Punta Abreojos, Bcs.",2004/09/19,DT,DT,55,Pacífico
,,40 Km de Cabo San Lázaro,2016/08/09,TT,DT,45,Pacífico
119,JENNIFER,"Mazatlán, Sin.",1973/09/27,DT,DT,45,Pacífico
120,JIMENA,"Pto. Cortés, Bcs.",2009/09/02,H2,H2,165,Pacífico
,,"90 Km Al Oeste De Guaymas, Son.",2009/09/03,H2,TT,65,Pacífico
121,JOANNE,"Punta Prieta, Bc.",1972/09/06,TT,TT,75,Pacífico
,,"P. Peñasco, Son.",1972/10/06,TT,DT,45,Pacífico
122,JOHN,"El Saucito, Bcs.",2006/09/01,H2,H2,175,Pacífico
123,JOSE,"10 Km Al Sureste De Vega De Alatorre, Ver.",2005/08/23,TT,TT,85,Atlántico
124,JOVA,"8 Km Al Sur De La Fortuna, Jal.",2011/10/12,H2,H2,160,Pacífico
125,JULIETTE,"La Paz, Bc.",2001/09/29,H1,H1,120,Pacífico
,,"Constitucion - Libertad - El Huerfanito, Son.",2001/10/02,H1,DT,55,Pacífico
,,"Cabo San Lucas, Bcs.",2013/08/28,TT,TT,75,Pacífico
126,JULIO,"Lázaro Cardenas, Mich.",2002/09/26,TT,TT,65,Pacífico
,,"La Aguja, Bcs.",2008/08/24,TT,TT,75,Pacífico
127,KAREN,"Cozumel, QRoo.",2013/10/06,TT,DT,45,Atlántico
128,KARL,"15 Km Al Noreste De Chetumal, QRoo.",2010/09/15,H3,TT,100,Atlántico
,,"15 Km Al Norte De Pto. Veracruz, Ver.",2010/09/17,H3,H3,185,Atlántico
129,KATHLEEN,"Pta. Eugenia, Bcs.",1976/09/10,TT,TT,100,Pacífico
,,"P. Sta. Catarina, Bc.",1976/09/10,TT,TT,85,Pacífico
130,KATIA,Rancho Nuevo,2017/09/08,H2,H2,165,Atlántico
131,KATRINA,"Topolobampo, Sin.",1971/08/13,DT,DT,45,Pacífico
,,"45 Km Al Noroeste De Chetumal, QRoo.",1999/08/31,DT,DT,45,Atlántico
132,KEITH,"Cancún, Qroo.",1988/11/21,TT,TT,110,Atlántico
,,"Chetumal, QRoo.",2000/10/03,H1,TT,75,Atlántico
,,"Tampico, Tamps.",2000/10/05,H1,H1,148,Atlántico
133,KENNA,"San Blas, Nay.",2002/10/25,H4,H4,230,Pacífico
134,KIKO,"B. Los Muertos, Bcs.",1989/08/26,H3,H3,195,Pacífico
135,KNUT,"Marmol, Sin.",1981/09/21,TT,TT,75,Pacífico
136,LANE,"La Cruz De Elota, Sin.",2006/09/16,H3,H3,205,Pacífico
137,LARRY,"El Alacrán, Tab.",2003/10/05,TT,TT,95,Atlántico
138,LESTER,"P. Abreojos, Bcs.",1992/08/23,H1,H1,120,Pacífico
,,"B. Sargento, Son.",1992/08/23,H1,TT,85,Pacífico
,,"40 Km Al Sureste De Acapulco, Gro.",2004/10/12,TT,TT,75,Pacífico
139,LIDIA,"Topolobampo, Sin.",1981/10/08,TT,TT,65,Pacífico
,,"Campo Anibal, Sin.",1993/09/13,H2,H2,160,Pacífico
,,5 km al este de Santa Fé,2017/09/01,TT,TT,100,Pacífico
,,25 km al este-noreste de Punta Abreojos,2017/09/02,TT,TT,85,Pacífico
140,LILY,"Barra De Navidad Y P. Vallarta, Jal.",1971/08/30,H1,H1,140,Pacífico
141,LIZA,"La Paz, Bcs.",1976/10/01,H4,H4,220,Pacífico
,,"Topolobampo, Sin.",1976/10/02,H4,H4,215,Pacífico
142,LORENA,"Tenacatita, Jal., 40 km al nor-noroeste de Manzanillo, Col.",2019/09/19,H1,H1,120,Pacífico
,,"Bahía de los Muertos, 10 km al este-sureste de San Juan de los Planes",2019/09/21,H1,H1,130,Pacífico
,,7 km al sur-sureste de El Embudo,2019/09/22,H1,DT,55,Pacífico
143,LORENZO,"Tecolutla, Ver.",2007/09/28,H1,H1,130,Atlántico
144,LOWELL,"Cabo San Lucas, Bcs.",2008/09/11,DT,DT,45,Pacífico
145,MADELINE,"B. Petacalco, Gro.",1976/10/08,H4,H4,230,Pacífico
146,MANUEL,"Culiacán, Sin.",2013/09/19,H1,H1,120,Pacífico
147,MARCO,"30 Km Al Este De Misantla, Ver.",2008/10/07,TT,TT,65,Atlántico
148,MARTY,"15 Km Al Noreste De San José Del Cabo, Bcs.",2003/09/22,H2,H2,160,Pacífico
149,MATTHEW,"20 Km Al Suroeste De Altamira, Camp.",2010/09/25,DT,DT,55,Atlántico
150,MAX,Cercanías de Pico del Monte,2017/09/14,H1,H1,130,Pacífico
151,MIRIAM,"Los Cabos, Bcs.",2000/09/17,TT,TT,65,Pacífico
152,MITCH,"Cd. Hidalgo, Chis.",1998/11/01,TT,DT,45,Atlántico
,,"Campeche, Camp.",1998/11/03,TT,TT,65,Atlántico
153,NANA,"8 km al este-noreste de la localidad Roberto Barrios, Chiapas.",2020/09/03,H1,TT,75,Atlántico
154,NAOMI,"Mazatlán, Sin.",1976/10/29,TT,TT,65,Pacífico
155,NARDA,"Desembocadura del Río Balsas, inmediaciones de Lázaro Cárdenas",2019/09/29,TT,TT,75,Pacífico
,,En el occidente de Bahía Macapule a 10 km al este-sureste de Isla San Ignacio,2019/09/30,TT,TT,85,Pacífico
,,10 km al sur-suroeste de Villa Guadalupe,2019/10/01,TT,DT,55,Pacífico
