     [3C2] Encalado,34.600,,,,,,,,,,,,,,,,,,,,,,,,,,,34.600,,,
     [3C3] Aplicación de urea,"1,077.930",,,,,,,,,,,,,,,,,,,,,,,,,,,"1,077.930",,,
     [3C4] Emisiones directas de los N2O de los suelos gestionados,,,"11,160.079",,,,,,,,,,,,,,,,,,,,,,,,,"11,160.079",,,
     [3C5] Emisiones indirectas de los N2O de los suelos gestionados,,,"5,053.031",,,,,,,,,,,,,,,,,,,,,,,,,"5,053.031",,,
     [3C6] Emisiones indirectas de los N2O de la gestión del estiércol,,,"1,947.958",,,,,,,,,,,,,,,,,,,,,,,,,"1,947.958",,,
     [3C7] Cultivo del arroz,,230.270,,,,,,,,,,,,,,,,,,,,,,,,,,230.270,,,
  [3D] Otros,"-12,447.454",,,,,,,,,,,,,,,,,,,,,,,,,,,"-12,447.454",,,
     [3D1] Productos de madera recolectada,"-12,447.454",,,,,,,,,,,,,,,,,,,,,,,,,,,"-12,447.454",,,
     [3D2] Otros (especificar),,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[4] Residuos,536.385,"23,880.989","4,245.118",,,,,,,,,,,,,,,,,,,,,,,,,"28,662.492",,,1.806
[4A] Eliminación de residuos sólidos,,"7,373.816",0.000,,,,,,,,,,,,,,,,,,,,,,,,,"7,373.816",,,
[4A1] Sitios gestionados de eliminación de residuos (rellenos sanitarios),,"3,302.849",,,,,,,,,,,,,,,,,,,,,,,,,,"3,302.849",,,
[4A2] Sitios no controlados de eliminación de residuos ,,"1,345.243",,,,,,,,,,,,,,,,,,,,,,,,,,"1,345.243",,,
[4A3] Tiraderos a cielo abierto para eliminación de residuos,,"2,725.723",,,,,,,,,,,,,,,,,,,,,,,,,,"2,725.723",,,
[4B] Tratamiento biológico de los residuos sólidos,,98.854,70.169,,,,,,,,,,,,,,,,,,,,,,,,,169.023,,,
[4C] Incineración y quema a cielo abierto  de residuos,536.385,974.614,212.864,,,,,,,,,,,,,,,,,,,,,,,,,"1,723.864",,,1.806
[4C1] Incineración de residuos peligrosos industriales y biológico infeccioso,0.071,0.000,0.002,,,,,,,,,,,,,,,,,,,,,,,,,0.074,,,
[4C2] Quema a cielo abierto de residuos sólidos,536.314,974.614,212.862,,,,,,,,,,,,,,,,,,,,,,,,,"1,723.790",,,1.806
[4D] Tratamiento y eliminación de aguas residuales,,"15,433.705","3,962.084",,,,,,,,,,,,,,,,,,,,,,,,,"19,395.789",,,
[4D1] Tratamiento y eliminación de aguas residuales municipales,,"4,676.991","3,962.084",,,,,,,,,,,,,,,,,,,,,,,,,"8,639.076",,,
[4D2] Tratamiento y eliminación de aguas residuales industriales,,"10,756.714",,,,,,,,,,,,,,,,,,,,,,,,,,"10,756.714",,,
[4E] Otros,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
EMISIONES NETAS (Gg de CO2e),"195,440.705","139,956.673","31,982.243","1,304.436",0.000,0.000,0.000,0.000,599.120,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,449.178,119.965,0.043,0.000,0.015,0.000,0.389,72.048,"369,924.815",,,92.031
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bunkers,"2,824.171",0.545,20.614,,,,,,,,,,,,,,,,,,,,,,,,,"2,845.329",,,
Aviación internacional,"2,824.171",0.545,20.614,,,,,,,,,,,,,,,,,,,,,,,,,"2,845.329",,,
Marítimo internacional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emisiones de CO2 por quema de biomasa,"29,711.154",,,,,,,,,,,,,,,,,,,,,,,,,,,"29,711.154",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nota:,Las emisiones de bunkers y las emisiones de CO2 por la quema de biomasa no se encuentran contabilizadas al total de inventario,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
