,INVENTARIO NACIONAL DE EMISIONES DE GASES Y COMPUESTOS DE EFECTO INVERNADERO (INEGYCEI),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CATEGORÍA / FUENTE / SUBFUENTE 
DE EMISIÓN",Emisiones de gases de efecto invernadero  (Gg de CO2e ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Carbono negro
(Gg)"
,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CO2,CH4,N2O,HFCs,,,,,,,,,,,,,,,,PFCs,,,,,,NF3,SF6,"EMISIONES NETAS
Gg en CO2e"," 
EMISIONES
(sin 3B y 3D)
Gg en CO2e",,
,,,,HFC-23,HFC-410A,HFC-43-10mee,HFC-125,HFC-134,HFC-134a,HFC-404A,HFC-407C,HFC-507a,HFC-152a,HFC-227ea,HFC-236fa,HFC-365mfc/227ea,HFC-365mfc,HFC-245fa,HFC-32,CF4,C2F6,C3F8,C4F6,c-C4F8,C5F8,,,,,,
  Potencial de calentamiento,1,28,265,"12,400","1,924","1,650","3,170","1,120","1,300","3,943","1,624","3,985",138,"2,640","8,060",982,804,858,677,"6,630","11,100","8,900",1,"9,540",2,"16,100","23,500",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMISIONES NETAS (Gg de CO2e),"323,593.447","168,025.655","42,953.349","1,431.186",642.530,16.441,22.094,8.989,"5,925.382","7,041.430",101.120,402.047,18.261,49.746,8.625,0.507,426.185,"1,512.473",0.001,21.210,2.192,0.177,0.000,0.063,0.000001,1.826,200.840,"552,405.777","745,778.832",,65.553
[1] Energía,"466,450.234","24,883.576","2,965.150",,,,,,,,,,,,,,,,,,,,,,,,,"494,298.960",,,59.533
[1A] Actividades de quema del combustible,"450,473.538","2,920.701","2,923.937",,,,,,,,,,,,,,,,,,,,,,,,,"456,318.175",,,55.488
[1A1] Industrias de la energía,"184,887.447",155.993,318.276,,,,,,,,,,,,,,,,,,,,,,,,,"185,361.716",,,7.827
[1A1a] Actividad principal producción de electricidad y calor,"145,429.651",132.351,287.326,,,,,,,,,,,,,,,,,,,,,,,,,"145,849.328",,,6.643
[1A1b] Refinación del petróleo,"11,796.921",7.707,10.769,,,,,,,,,,,,,,,,,,,,,,,,,"11,815.397",,,0.869
[1A1c] Manufactura de combustibles sólidos y otras industrias de la energía,"27,660.875",15.934,20.181,,,,,,,,,,,,,,,,,,,,,,,,,"27,696.990",,,0.314
[1A2] Industrias manufactura y de la construcción,"63,269.686",92.669,127.841,,,,,,,,,,,,,,,,,,,,,,,,,"63,490.196",,,0.746
[1A2a] Hierro y acero,"4,330.933",2.232,2.338,,,,,,,,,,,,,,,,,,,,,,,,,"4,335.504",,,0.020
[1A2b] Metales no ferrosos,"1,605.758",1.116,1.658,,,,,,,,,,,,,,,,,,,,,,,,,"1,608.532",,,0.013
[1A2c] Sustancias químicas,"8,876.680",4.684,5.107,,,,,,,,,,,,,,,,,,,,,,,,,"8,886.471",,,0.036
"[1A2d] Pulpa, papel e imprenta","2,392.700",1.465,1.914,,,,,,,,,,,,,,,,,,,,,,,,,"2,396.079",,,0.028
"[1A2e] Procesamiento de alimentos, bebidas y tabaco","1,570.991",28.701,36.366,,,,,,,,,,,,,,,,,,,,,,,,,"1,636.059",,,0.372
[1A2f] Minerales no metálicos,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[1A2g] Equipo de transporte,444.866,0.262,0.326,,,,,,,,,,,,,,,,,,,,,,,,,445.454,,,0.001
[1A2h] Maquinaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[1A2i] Minería (con excepción de combustibles) y cantería,"14,612.363",14.952,25.963,,,,,,,,,,,,,,,,,,,,,,,,,"14,653.279",,,0.092
[1A2j] Madera y productos de la madera,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[1A2k] Construcción,871.512,1.005,1.902,,,,,,,,,,,,,,,,,,,,,,,,,874.419,,,0.004
[1A2l] Textiles y cueros,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[1A2m] Industria no especificada,"28,563.884",38.253,52.265,,,,,,,,,,,,,,,,,,,,,,,,,"28,654.401",,,0.179
[1A3] Transporte,"167,855.817",455.413,"2,176.918",,,,,,,,,,,,,,,,,,,,,,,,,"170,488.148",,,14.753
[1A3a] Aviación civil,"6,238.153",1.203,45.532,,,,,,,,,,,,,,,,,,,,,,,,,"6,284.887",,,0.088
[1A3b] Autotransporte,"156,754.349",443.596,"1,879.442",,,,,,,,,,,,,,,,,,,,,,,,,"159,077.388",,,14.527
[1A3c] Ferrocarriles,"2,238.661",3.571,232.898,,,,,,,,,,,,,,,,,,,,,,,,,"2,475.130",,,0.053
[1A3d] Navegación marítima y fluvial,"2,624.655",7.043,19.045,,,,,,,,,,,,,,,,,,,,,,,,,"2,650.743",,,0.084
[1A3e] Otro transporte,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[1A4] Otros sectores,"34,460.587","2,216.626",300.902,,,,,,,,,,,,,,,,,,,,,,,,,"36,978.115",,,32.162
[1A4a] Comercial/institucional,"5,262.207",12.174,2.858,,,,,,,,,,,,,,,,,,,,,,,,,"5,277.238",,,2.376
[1A4b] Residencial,"18,838.276","2,165.295",276.126,,,,,,,,,,,,,,,,,,,,,,,,,"21,279.698",,,29.491
[1A4c] Agropecuario/silvicultura/pesca/piscifactorías,"10,360.104",39.157,21.917,,,,,,,,,,,,,,,,,,,,,,,,,"10,421.179",,,0.295
[1B] Emisiones fugitivas provenientes de la fabricación de combustibles,"15,976.697","21,962.875",41.213,,,,,,,,,,,,,,,,,,,,,,,,,"37,980.785",,,4.045
[1B1] Combustibles sólidos,81.964,"2,882.914",,,,,,,,,,,,,,,,,,,,,,,,,,"2,964.878",,,0.000
[1B1a] Minería carbonífera y manejo del carbón,81.964,"2,882.914",0.000,,,,,,,,,,,,,,,,,,,,,,,,,"2,964.878",,,0.000
[1B1ai] Minas subterráneas,78.059,"2,765.276",,,,,,,,,,,,,,,,,,,,,,,,,,"2,843.335",,,
[1B1aii] Minas superficie,3.905,117.638,,,,,,,,,,,,,,,,,,,,,,,,,,121.544,,,
[1B1b] Combustión espontánea y vertederos para quema de carbón,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,0.000
[1B2] Petróleo y gas natural,"15,894.733","19,079.961",41.213,,,,,,,,,,,,,,,,,,,,,,,,,"35,015.907",,,4.045
[1B2a] Petróleo,"13,590.972","12,098.817",41.147,,,,,,,,,,,,,,,,,,,,,,,,,"25,730.936",,,
1B2ai Venteo petróleo,"5,128.297","5,052.945",,,,,,,,,,,,,,,,,,,,,,,,,,"10,181.241",,,
1B2aii Quemado petróleo,"8,426.406","6,917.907",41.147,,,,,,,,,,,,,,,,,,,,,,,,,"15,385.460",,,4.045
1B2aiii Otras fugitivas petróleo,36.270,127.965,,,,,,,,,,,,,,,,,,,,,,,,,,164.235,,,
[1B2b] Gas natural,"2,303.761","6,981.144",0.066,,,,,,,,,,,,,,,,,,,,,,,,,"9,284.971",,,
1B2bi Venteo gas natural,"2,101.288","3,126.614",,,,,,,,,,,,,,,,,,,,,,,,,,"5,227.902",,,
1B2bii Quemado gas natural,197.657,136.114,0.066,,,,,,,,,,,,,,,,,,,,,,,,,333.837,,,
1B2biii Otras fugitivas gas natural,4.816,"3,718.415",,,,,,,,,,,,,,,,,,,,,,,,,,"3,723.232",,,
[2] Procesos industriales y uso de productos,"48,220.997",185.001,671.122,"1,431.186",642.530,16.441,22.094,8.989,"5,925.382","7,041.430",101.120,402.047,18.261,49.746,8.625,0.507,426.185,"1,512.473",0.001,21.210,2.192,0.177,0.000,0.063,0.000,1.826,200.840,"66,910.446",,,0.000
[2A] Industria de los minerales,"27,357.409",0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,"27,357.409",,,
[2A1] Producción de cemento,"19,073.898",,,,,,,,,,,,,,,,,,,,,,,,,,,"19,073.898",,,
[2A2] Producción de cal,"3,087.039",,,,,,,,,,,,,,,,,,,,,,,,,,,"3,087.039",,,
[2A3] Producción de vidrio,636.240,,,,,,,,,,,,,,,,,,,,,,,,,,,636.240,,,
[2A4] Otros usos de carbonatos,"4,560.232",,,,,,,,,,,,,,,,,,,,,,,,,,,"4,560.232",,,
[2A5] Otros,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2B] Industria química,"2,453.663",181.784,670.896,"1,430.776",,,,,,,,,,,,,,,,,,,,,,,,"4,737.119",,,
[2B1] Producción de amoniaco,689.749,,,,,,,,,,,,,,,,,,,,,,,,,,,689.749,,,
[2B2] Producción de ácido nítrico,,,508.005,,,,,,,,,,,,,,,,,,,,,,,,,508.005,,,
[2B3] Producción de ácido adípico,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
"[2B4] Producción de caprolactama, glioxil y ácido glioxílico",,,162.891,,,,,,,,,,,,,,,,,,,,,,,,,162.891,,,
[2B5] Producción de carburo,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2B6] Producción de dióxido de titanio,207.799,,,,,,,,,,,,,,,,,,,,,,,,,,,207.799,,,
[2B7] Producción de ceniza de sosa,40.020,,,,,,,,,,,,,,,,,,,,,,,,,,,40.020,,,
[2B8] Producción petroquímica y negro de humo,"1,516.096",181.784,,,,,,,,,,,,,,,,,,,,,,,,,,"1,697.879",,,
[2B9] Producción fluoroquímica, ,,,"1,430.776",,,,,,,,,,,,,,,,,,,,,,,,"1,430.776",,,
[2B10] Otros,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2C] Industria de los metales,"18,257.694",3.217,0.000,,,,,,,,,,,,,,,,,,,,,,,,,"18,260.911",,,
[2C1] Producción de hierro y acero,"17,864",3.217,,,,,,,,,,,,,,,,,,,,,,,,,,"17,867.459",,,
[2C2] Producción de ferroaleaciones,267.803,,,,,,,,,,,,,,,,,,,,,,,,,,,267.803,,,
[2C3] Producción de aluminio,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2C4] Producción de magnesio,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2C5] Producción de plomo,125.649,,,,,,,,,,,,,,,,,,,,,,,,,,,125.649,,,
[2C6] Producción de zinc,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2C7] Otros,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2D] Uso de productos no energéticos de combustibles y de solvente,94.305,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,94.305,,,
[2D1] Uso de lubricantes,77.564,,,,,,,,,,,,,,,,,,,,,,,,,,,77.564,,,
[2D2] Uso de la cera de parafina,16.741,,,,,,,,,,,,,,,,,,,,,,,,,,,16.741,,,
[2D3] Uso de solventes,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2D4] Otros,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2E] Industria electrónica,0.000,0.000,0.227,0.410,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,21.210,2.192,0.177,0.000,0.063,0.000001,1.826,1.849,27.954,,,
[2E1] Circuitos integrados o semiconductores,,,0.177,0.410,,,,,,,,,,,,,,,0.001,1.578,0.881,0.177,0.000,0.063,0.000001,1.597,0.777,5.660,,,
[2E2] Pantalla plana tipo TFT,,,0.050,,,,,,,,,,,,,,,,,0.047,,,,0.0001,,0.229,1.072,1.398,,,
[2E3] Células fotovoltaicas,,,,,,,,,,,,,,,,,,,,19.584,1.312,,,,,,,20.896,,,
[2E4] Fluido de transferencia térmica,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2E5] Otros,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2F] Uso de productos sustitutos de las sustancias que agotan la capa de ozono,0.000,0.000,0.000,0.000,642.530,16.441,22.094,8.989,"5,925.382","7,041.430",101.120,402.047,18.261,49.746,8.625,0.507,426.185,"1,512.473",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,"16,175.831",,,
[2F1] Refrigeración y aire acondicionado,,,,,642.530,,,,"5,577.066","7,041.430",101.120,,,,,,,"1,512.473",,,,,,,,,,"14,874.619",,,
[2F2] Agentes espumantes,,,,,,,,8.989,3.535,,,,,,8.625,,426.185,,,,,,,,,,,447.335,,,
[2F3] Protección contra incendios,,,,,,,22.094,,,,,,18.261,49.746,,0.507,,,,,,,,,,,,90.608,,,
[2F4] Aerosoles,,,,,,,,,344.781,,,402.0474196,,,,,,,,,,,,,,,,746.828,,,
[2F5] Solventes,,,,,,16.441,,,,,,,,,,,,,,,,,,,,,,16.441,,,
[2F6] Otras aplicaciones,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2G] Manufactura y utilización de otros productos,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,198.992,198.992,,,
[2G1] Equipos eléctricos,,,,,,,,,,,,,,,,,,,,,,,,,,,198.992,198.992,,,
[2G2] SF6 y PFC de otros usos de productos,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2G3] N2O de usos de productos,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2G4] Otros,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2H] Otros,57.926,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,57.926,,,
[2H1] Industria de la pulpa y el papel,57.926,,,,,,,,,,,,,,,,,,,,,,,,,,,57.926,,,
[2H2] Industria de la alimentación y las bebidas,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2H3] Otros,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
"[3] Agricultura, silvicultura y otros usos de la tierra","-192,171.155","96,485.719","36,377.166",,,,,,,,,,,,,,,,,,,,,,,,,"-59,308.271",,,4.442
 [3A] Ganado,,"95,562.882","7,646.067",,,,,,,,,,,,,,,,,,,,,,,,,"103,208.949",,,
     [3A1] Fermentación entérica,,"78,080.462",,,,,,,,,,,,,,,,,,,,,,,,,,"78,080.462",,,
          [3A1a] Bovino,,"74,450.821",,,,,,,,,,,,,,,,,,,,,,,,,,"74,450.821",,,
          [3A1b] Búfalos,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
             [3A1c] Ovinos,,"1,614.160",,,,,,,,,,,,,,,,,,,,,,,,,,"1,614.160",,,
          [3A1d] Caprino,,"1,135.150",,,,,,,,,,,,,,,,,,,,,,,,,,"1,135.150",,,
          [3A1e] Camello,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
          [3A1f] Caballos,,439.921,,,,,,,,,,,,,,,,,,,,,,,,,,439.921,,,
          [3A1g] Mulas y asnos,,110.378,,,,,,,,,,,,,,,,,,,,,,,,,,110.378,,,
          [3A1h] Porcinos,,330.031,,,,,,,,,,,,,,,,,,,,,,,,,,330.031,,,
          [3A1i] Otros  (especificar),,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
     [3A2] Gestión del estiércol,,"17,482.420","7,646.067",,,,,,,,,,,,,,,,,,,,,,,,,"25,128.487",,,
          [3A2a] Bovinos,,"11,208.219","6,780.699",,,,,,,,,,,,,,,,,,,,,,,,,"17,988.918",,,
          [3A2b] Búfalos,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
             [3A2c] Ovinos,,18.760,38.480,,,,,,,,,,,,,,,,,,,,,,,,,57.240,,,
          [3A2d] Caprino,,13.250,21.080,,,,,,,,,,,,,,,,,,,,,,,,,34.330,,,
          [3A2e] Camello,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
          [3A2f] Caballos,,40.900,,,,,,,,,,,,,,,,,,,,,,,,,,40.900,,,
          [3A2g] Mulas y asnos,,10.577,,,,,,,,,,,,,,,,,,,,,,,,,,10.577,,,
          [3A2h] Porcinos,,"4,431.176",413.460,,,,,,,,,,,,,,,,,,,,,,,,,"4,844.636",,,
          [3A2i] Aves de corral,,"1,759.538",392.348,,,,,,,,,,,,,,,,,,,,,,,,,"2,151.886",,,
          [3A2g] Otros  (especificar),,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
  [3B] Tierra,"-191,675.60",0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,"-191,675.600",,,
     [3B1] Tierra forestales,"-188,914.90",0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,"-188,914.90",,,
          [3B1a] Tierras forestales que permanecen como tal,"-186,329.58",,,,,,,,,,,,,,,,,,,,,,,,,,,"-186,329.577",,,
          [3B1b] Tierras convertidas a tierras forestales,"-2,585.33",,,,,,,,,,,,,,,,,,,,,,,,,,,"-2,585.325",,,
     [3B2] Tierra de cultivo,"-14,703.28",0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,"-14,703.28",,,
          [3B2a] Tierras de cultivo que permanecen como tal,"-18,459.06",,,,,,,,,,,,,,,,,,,,,,,,,,,"-18,459.058",,,
          [3B2b] Tierras convertidas a tierras de cultivo,"3,755.78",,,,,,,,,,,,,,,,,,,,,,,,,,,"3,755.780",,,
     [3B3] Praderas,"11,278.67",0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,"11,278.67",,,
          [3B3a] Praderas que permanecen como tal,-546.80,,,,,,,,,,,,,,,,,,,,,,,,,,,-546.800,,,
          [3B3b] Tierras convertidas en praderas,"11,825.47",,,,,,,,,,,,,,,,,,,,,,,,,,,"11,825.466",,,
     [3B4] Humedales,90.64,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,90.64,,,
          [3B4a] Humedales que permanecen como tal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
          [3B4b] Tierras convertidas en humedales,90.64,,,,,,,,,,,,,,,,,,,,,,,,,,,90.644,,,
     [3B5] Asentamientos ,528.39,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,528.39,,,
          [3B5a] Asentamientos que permanecen como tal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
          [3B5b] Tierras convertidas en asentamientos,528.39,,,,,,,,,,,,,,,,,,,,,,,,,,,528.387,,,
     [3B6] Otras tierras ,44.88,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,44.88,,,
          [3B6a] Otras tierras que permanecen como tal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
          [3B6b] Tierras convertidas en otras tierras,44.88,,,,,,,,,,,,,,,,,,,,,,,,,,,44.883,,,
  [3C] Fuentes agregadas y fuentes de emisión no CO2 de la tierra,"1,201.90",922.84,"28,731.099",,,,,,,,,,,,,,,,,,,,,,,,,"30,855.836",,,4.442
     [3C1] Emisiones de GEI por quemado de biomasa,0.000,799.106,258.680,,,,,,,,,,,,,,,,,,,,,,,,,"1,057.787",,,4.442
          [3C1a] Emisiones de quemado de biomasa en tierras forestales,,103.890,34.520,,,,,,,,,,,,,,,,,,,,,,,,,138.410,,,0.622
          [3C1b] Emisiones de quemado de biomasa en tierras de cultivo,,671.336,203.530,,,,,,,,,,,,,,,,,,,,,,,,,874.867,,,3.691
