          [3C1c] Emisiones de quemado de biomasa en tierras praderas,,23.880,20.630,,,,,,,,,,,,,,,,,,,,,,,,,44.510,,,0.130
          [3C1d] Emisiones de quemado de biomasa en otras tierras,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
     [3C2] Encalado,37.400,,,,,,,,,,,,,,,,,,,,,,,,,,,37.400,,,
     [3C3] Aplicación de urea,"1,164.500",,,,,,,,,,,,,,,,,,,,,,,,,,,"1,164.500",,,
     [3C4] Emisiones directas de los N2O de los suelos gestionados,,,"19,076.850",,,,,,,,,,,,,,,,,,,,,,,,,"19,076.850",,,
     [3C5] Emisiones indirectas de los N2O de los suelos gestionados,,,"6,523.462",,,,,,,,,,,,,,,,,,,,,,,,,"6,523.462",,,
     [3C6] Emisiones indirectas de los N2O de la gestión del estiércol,,,"2,872.107",,,,,,,,,,,,,,,,,,,,,,,,,"2,872.107",,,
     [3C7] Cultivo del arroz,,123.730,,,,,,,,,,,,,,,,,,,,,,,,,,123.730,,,
  [3D] Otros,"-1,697.455",,,,,,,,,,,,,,,,,,,,,,,,,,,"-1,697.455",,,
     [3D1] Productos de madera recolectada,"-1,697.455",,,,,,,,,,,,,,,,,,,,,,,,,,,"-1,697.455",,,
     [3D2] Otros (especificar),,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[4] Residuos,"1,093.371","46,471.360","2,939.911",,,,,,,,,,,,,,,,,,,,,,,,,"50,504.641",,,1.578
[4A] Eliminación de residuos sólidos,,"24,213.324",0.000,,,,,,,,,,,,,,,,,,,,,,,,,"24,213.324",,,
[4A1] Sitios gestionados de eliminación de residuos (rellenos sanitarios),,"12,679.573",,,,,,,,,,,,,,,,,,,,,,,,,,"12,679.573",,,
[4A2] Sitios no controlados de eliminación de residuos ,,"4,839.594",,,,,,,,,,,,,,,,,,,,,,,,,,"4,839.594",,,
[4A3] Tiraderos a cielo abierto para eliminación de residuos,,"6,694.157",,,,,,,,,,,,,,,,,,,,,,,,,,"6,694.157",,,
[4B] Tratamiento biológico de los residuos sólidos,,126.390,89.714,,,,,,,,,,,,,,,,,,,,,,,,,216.104,,,
[4C] Incineración y quema a cielo abierto  de residuos,"1,093.371",847.331,193.428,,,,,,,,,,,,,,,,,,,,,,,,,"2,134.130",,,1.578
[4C1] Incineración de residuos peligrosos industriales y biológico infeccioso,128.606,0.272,8.425,,,,,,,,,,,,,,,,,,,,,,,,,137.303,,,
[4C2] Quema a cielo abierto de residuos sólidos,964.765,847.059,185.003,,,,,,,,,,,,,,,,,,,,,,,,,"1,996.827",,,1.578
[4D] Tratamiento y eliminación de aguas residuales,,"21,284.315","2,656.769",,,,,,,,,,,,,,,,,,,,,,,,,"23,941.084",,,
[4D1] Tratamiento y eliminación de aguas residuales municipales,,"4,230.386","2,656.769",,,,,,,,,,,,,,,,,,,,,,,,,"6,887.155",,,
[4D2] Tratamiento y eliminación de aguas residuales industriales,,"17,053.929",,,,,,,,,,,,,,,,,,,,,,,,,,"17,053.929",,,
[4E] Otros,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
EMISIONES NETAS (Gg de CO2e),"323,593.447","168,025.655","42,953.349","1,431.186",642.530,16.441,22.094,8.989,"5,925.382","7,041.430",101.120,402.047,18.261,49.746,8.625,0.507,426.185,"1,512.473",0.001,21.210,2.192,0.177,0.000,0.063,0.000,1.826,200.840,"552,405.777",,,65.553
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bunkers,"4,856.188",0.936,35.445,,,,,,,,,,,,,,,,,,,,,,,,,"4,892.569",,,0.069
Aviación internacional,"4,856.188",0.936,35.445,,,,,,,,,,,,,,,,,,,,,,,,,"4,892.569",,,0.069
Marítimo internacional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emisiones de CO2 por quema de biomasa,"26,524.318",,,,,,,,,,,,,,,,,,,,,,,,,,,"26,524.318",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nota:,Las emisiones de bunkers y las emisiones de CO2 por la quema de biomasa no se encuentran contabilizadas al total de inventario,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
