,INVENTARIO NACIONAL DE EMISIONES DE GASES Y COMPUESTOS DE EFECTO INVERNADERO (INEGYCEI),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CATEGORÍA / FUENTE / SUBFUENTE 
DE EMISIÓN",Emisiones de gases de efecto invernadero  (Gg de CO2e ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Carbono negro
(Gg)"
,1991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CO2,CH4,N2O,HFCs,,,,,,,,,,,,,,,,PFCs,,,,,,NF3,SF6,"EMISIONES NETAS
Gg en CO2e"," 
EMISIONES
(sin 3B y 3D)
Gg en CO2e",,
,,,,HFC-23,HFC-410A,HFC-43-10mee,HFC-125,HFC-134,HFC-134a,HFC-404A,HFC-407C,HFC-507a,HFC-152a,HFC-227ea,HFC-236fa,HFC-365mfc/227ea,HFC-365mfc,HFC-245fa,HFC-32,CF4,C2F6,C3F8,C4F6,c-C4F8,C5F8,,,,,,
  Potencial de calentamiento,1,28,265,"12,400","1,924","1,650","3,170","1,120","1,300","3,943","1,624","3,985",138,"2,640","8,060",982,804,858,677,"6,630","11,100","8,900",1,"9,540",2,"16,100","23,500",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMISIONES NETAS (Gg de CO2e),"329,716.353","119,392.867","27,177.033",882.870,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,253.208,67.563,0.000,0.000,0.000,0.000,0.000,39.036,"477,528.929","476,482.135",,79.090
[1] Energía,"298,614.787","16,023.514","3,024.492",,,,,,,,,,,,,,,,,,,,,,,,,"317,662.793",,,74.688
[1A] Actividades de quema del combustible,"287,735.675","2,990.193","3,015.087",,,,,,,,,,,,,,,,,,,,,,,,,"293,740.956",,,72.772
[1A1] Industrias de la energía,"110,513.671",94.451,192.368,,,,,,,,,,,,,,,,,,,,,,,,,"110,800.489",,,13.786
[1A1a] Actividad principal producción de electricidad y calor,"72,650.041",64.184,142.699,,,,,,,,,,,,,,,,,,,,,,,,,"72,856.925",,,11.789
[1A1b] Refinación del petróleo,"9,051.370",8.526,15.301,,,,,,,,,,,,,,,,,,,,,,,,,"9,075.197",,,1.643
[1A1c] Manufactura de combustibles sólidos y otras industrias de la energía,"28,812.260",21.741,34.367,,,,,,,,,,,,,,,,,,,,,,,,,"28,868.368",,,0.354
[1A2] Industrias manufactura y de la construcción,"50,757.274",110.195,150.656,,,,,,,,,,,,,,,,,,,,,,,,,"51,018.126",,,2.089
[1A2a] Hierro y acero,"4,832.708",3.495,5.323,,,,,,,,,,,,,,,,,,,,,,,,,"4,841.525",,,0.115
[1A2b] Metales no ferrosos,"2,062.500",1.505,2.287,,,,,,,,,,,,,,,,,,,,,,,,,"2,066.292",,,0.032
[1A2c] Sustancias químicas,"18,041.704",11.285,15.099,,,,,,,,,,,,,,,,,,,,,,,,,"18,068.088",,,0.388
"[1A2d] Pulpa, papel e imprenta","2,964.168",2.332,3.767,,,,,,,,,,,,,,,,,,,,,,,,,"2,970.267",,,0.085
"[1A2e] Procesamiento de alimentos, bebidas y tabaco","4,301.350",4.308,7.958,,,,,,,,,,,,,,,,,,,,,,,,,"4,313.616",,,0.205
[1A2f] Minerales no metálicos,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[1A2g] Equipo de transporte,187.805,0.108,0.135,,,,,,,,,,,,,,,,,,,,,,,,,188.048,,,0.001
[1A2h] Maquinaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[1A2i] Minería (con excepción de combustibles) y cantería,"6,803.283",6.897,12.819,,,,,,,,,,,,,,,,,,,,,,,,,"6,822.999",,,0.207
[1A2j] Madera y productos de la madera,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[1A2k] Construcción,350.631,0.404,0.765,,,,,,,,,,,,,,,,,,,,,,,,,351.800,,,0.002
[1A2l] Textiles y cueros,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[1A2m] Industria no especificada,"11,213.127",79.859,102.504,,,,,,,,,,,,,,,,,,,,,,,,,"11,395.490",,,1.055
[1A3] Transporte,"97,756.042",369.398,"2,351.050",,,,,,,,,,,,,,,,,,,,,,,,,"100,476.489",,,23.450
[1A3a] Aviación civil,"3,570.497",0.688,26.062,,,,,,,,,,,,,,,,,,,,,,,,,"3,597.248",,,0.051
[1A3b] Autotransporte,"90,302.126",360.353,"2,140.343",,,,,,,,,,,,,,,,,,,,,,,,,"92,802.822",,,22.927
[1A3c] Ferrocarriles,"1,625.009",2.592,169.057,,,,,,,,,,,,,,,,,,,,,,,,,"1,796.658",,,0.038
[1A3d] Navegación marítima y fluvial,"2,258.409",5.764,15.587,,,,,,,,,,,,,,,,,,,,,,,,,"2,279.761",,,0.434
[1A3e] Otro transporte,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[1A4] Otros sectores,"28,708.688","2,416.150",321.013,,,,,,,,,,,,,,,,,,,,,,,,,"31,445.852",,,33.448
[1A4a] Comercial/institucional,"4,860.362",13.834,5.883,,,,,,,,,,,,,,,,,,,,,,,,,"4,880.079",,,1.924
[1A4b] Residencial,"18,730.656","2,382.805",304.136,,,,,,,,,,,,,,,,,,,,,,,,,"21,417.597",,,31.429
[1A4c] Agropecuario/silvicultura/pesca/piscifactorías,"5,117.670",19.511,10.995,,,,,,,,,,,,,,,,,,,,,,,,,"5,148.176",,,0.095
[1B] Emisiones fugitivas provenientes de la fabricación de combustibles,"10,879.111","13,033.321",9.405,,,,,,,,,,,,,,,,,,,,,,,,,"23,921.837",,,1.916
[1B1] Combustibles sólidos,64.199,"2,258.051",,,,,,,,,,,,,,,,,,,,,,,,,,"2,322.250",,,0.000
[1B1a] Minería carbonífera y manejo del carbón,64.199,"2,258.051",,,,,,,,,,,,,,,,,,,,,,,,,,"2,322.250",,,0.000
[1B1ai] Minas subterráneas,61.140,"2,165.910",,,,,,,,,,,,,,,,,,,,,,,,,,"2,227.050",,,
[1B1aii] Minas superficie,3.059,92.141,,,,,,,,,,,,,,,,,,,,,,,,,,95.199,,,
[1B1b] Combustión espontánea y vertederos para quema de carbón,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,0.000
[1B2] Petróleo y gas natural,"10,814.913","10,775.270",9.405,,,,,,,,,,,,,,,,,,,,,,,,,"21,599.588",,,1.916
[1B2a] Petróleo,"9,135.451","8,434.423",9.364,,,,,,,,,,,,,,,,,,,,,,,,,"17,579.238",,,
1B2ai Venteo petróleo,"6,098.173","5,869.743",,,,,,,,,,,,,,,,,,,,,,,,,,"11,967.916",,,
1B2aii Quemado petróleo,"2,995.429","2,506.388",9.364,,,,,,,,,,,,,,,,,,,,,,,,,"5,511.181",,,1.916
1B2aiii Otras fugitivas petróleo,41.849,58.291,,,,,,,,,,,,,,,,,,,,,,,,,,100.141,,,
[1B2b] Gas natural,"1,679.462","2,340.847",0.041,,,,,,,,,,,,,,,,,,,,,,,,,"4,020.350",,,
1B2bi Venteo gas natural,"1,622.935","1,009.969",,,,,,,,,,,,,,,,,,,,,,,,,,"2,632.904",,,
1B2bii Quemado gas natural,54.556,1.018,0.041,,,,,,,,,,,,,,,,,,,,,,,,,55.615,,,
1B2biii Otras fugitivas gas natural,1.971,"1,329.860",,,,,,,,,,,,,,,,,,,,,,,,,,"1,331.831",,,
[2] Procesos industriales y uso de productos,"28,803.826",259.605,"1,018.727",882.870,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,253.208,67.563,0.000,0.000,0.000,0.000,0.000,39.036,"31,324.834",,,0.000
[2A] Industria de los minerales,"13,446.758",0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,"13,446.758",,,
[2A1] Producción de cemento,"10,649.131",,,,,,,,,,,,,,,,,,,,,,,,,,,"10,649.131",,,
[2A2] Producción de cal,"2,202.430",,,,,,,,,,,,,,,,,,,,,,,,,,,"2,202.430",,,
[2A3] Producción de vidrio,386.448,,,,,,,,,,,,,,,,,,,,,,,,,,,386.448,,,
[2A4] Otros usos de carbonatos,208.749,,,,,,,,,,,,,,,,,,,,,,,,,,,208.749,,,
[2A5] Otros,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2B] Industria química,"5,475.066",259.605,"1,018.727",882.870,,,,,,,,,,,,,,,,,,,,,,,,"7,636.268",,,
[2B1] Producción de amoniaco,"3,238.991",,,,,,,,,,,,,,,,,,,,,,,,,,,"3,238.991",,,
[2B2] Producción de ácido nítrico,,,839.759,,,,,,,,,,,,,,,,,,,,,,,,,839.759,,,
[2B3] Producción de ácido adípico,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
"[2B4] Producción de caprolactama, glioxil y ácido glioxílico",,,178.968,,,,,,,,,,,,,,,,,,,,,,,,,178.968,,,
[2B5] Producción de carburo,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2B6] Producción de dióxido de titanio,93.265,,,,,,,,,,,,,,,,,,,,,,,,,,,93.265,,,
[2B7] Producción de ceniza de sosa,60.720,,,,,,,,,,,,,,,,,,,,,,,,,,,60.720,,,
[2B8] Producción petroquímica y negro de humo,"2,082.090",259.605,,,,,,,,,,,,,,,,,,,,,,,,,,"2,341.695",,,
[2B9] Producción fluoroquímica, ,,,882.870,,,,,,,,,,,,,,,,,,,,,,,,882.870,,,
[2B10] Otros,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2C] Industria de los metales,"9,575.461",0.000,0.000,,,,,,,,,,,,,,,,,253.208,67.563,,,,,,,"9,896.231",,,
[2C1] Producción de hierro y acero,"9,119",0.000,,,,,,,,,,,,,,,,,,,,,,,,,,"9,119.077",,,
[2C2] Producción de ferroaleaciones,285.363,,,,,,,,,,,,,,,,,,,,,,,,,,,285.363,,,
[2C3] Producción de aluminio,76.382,,,,,,,,,,,,,,,,,,,253.208,67.563,,,,,,,397.153,,,
[2C4] Producción de magnesio,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2C5] Producción de plomo,94.640,,,,,,,,,,,,,,,,,,,,,,,,,,,94.640,,,
[2C6] Producción de zinc,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2C7] Otros,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2D] Uso de productos no energéticos de combustibles y de solvente,306.541,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,306.541,,,
[2D1] Uso de lubricantes,253.268,,,,,,,,,,,,,,,,,,,,,,,,,,,253.268,,,
[2D2] Uso de la cera de parafina,53.273,,,,,,,,,,,,,,,,,,,,,,,,,,,53.273,,,
[2D3] Uso de solventes,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2D4] Otros,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2E] Industria electrónica,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,
[2E1] Circuitos integrados o semiconductores,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2E2] Pantalla plana tipo TFT,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2E3] Células fotovoltaicas,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2E4] Fluido de transferencia térmica,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2E5] Otros,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2F] Uso de productos sustitutos de las sustancias que agotan la capa de ozono,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,
[2F1] Refrigeración y aire acondicionado,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2F2] Agentes espumantes,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2F3] Protección contra incendios,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2F4] Aerosoles,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2F5] Solventes,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2F6] Otras aplicaciones,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2G] Manufactura y utilización de otros productos,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,39.036,39.036,,,
[2G1] Equipos eléctricos,,,,,,,,,,,,,,,,,,,,,,,,,,,39.036,39.036,,,
[2G2] SF6 y PFC de otros usos de productos,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2G3] N2O de usos de productos,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2G4] Otros,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2H] Otros,0.000,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2H1] Industria de la pulpa y el papel,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2H2] Industria de la alimentación y las bebidas,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2H3] Otros,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
"[3] Agricultura, silvicultura y otros usos de la tierra","1,880.544","91,072.314","19,399.335",,,,,,,,,,,,,,,,,,,,,,,,,"112,352.193",,,2.997
 [3A] Ganado,,"90,369.216","5,643.760",,,,,,,,,,,,,,,,,,,,,,,,,"96,012.976",,,
     [3A1] Fermentación entérica,,"75,528.217",,,,,,,,,,,,,,,,,,,,,,,,,,"75,528.217",,,
          [3A1a] Bovino,,"70,818.362",,,,,,,,,,,,,,,,,,,,,,,,,,"70,818.362",,,
          [3A1b] Búfalos,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
             [3A1c] Ovinos,,964.660,,,,,,,,,,,,,,,,,,,,,,,,,,964.660,,,
          [3A1d] Caprino,,"1,313.140",,,,,,,,,,,,,,,,,,,,,,,,,,"1,313.140",,,
          [3A1e] Camello,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
          [3A1f] Caballos,,"1,463.915",,,,,,,,,,,,,,,,,,,,,,,,,,"1,463.915",,,
          [3A1g] Mulas y asnos,,637.304,,,,,,,,,,,,,,,,,,,,,,,,,,637.304,,,
          [3A1h] Porcinos,,330.836,,,,,,,,,,,,,,,,,,,,,,,,,,330.836,,,
          [3A1i] Otros  (especificar),,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
     [3A2] Gestión del estiércol,,"14,840.999","5,643.760",,,,,,,,,,,,,,,,,,,,,,,,,"20,484.759",,,
          [3A2a] Bovinos,,"8,810.643","5,075.527",,,,,,,,,,,,,,,,,,,,,,,,,"13,886.170",,,
          [3A2b] Búfalos,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
             [3A2c] Ovinos,,11.310,24.060,,,,,,,,,,,,,,,,,,,,,,,,,35.370,,,
          [3A2d] Caprino,,15.070,24.260,,,,,,,,,,,,,,,,,,,,,,,,,39.330,,,
          [3A2e] Camello,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
          [3A2f] Caballos,,139.419,,,,,,,,,,,,,,,,,,,,,,,,,,139.419,,,
          [3A2g] Mulas y asnos,,61.015,,,,,,,,,,,,,,,,,,,,,,,,,,61.015,,,
          [3A2h] Porcinos,,"5,136.770",349.868,,,,,,,,,,,,,,,,,,,,,,,,,"5,486.638",,,
          [3A2i] Aves de corral,,666.773,170.045,,,,,,,,,,,,,,,,,,,,,,,,,836.817,,,
          [3A2g] Otros  (especificar),,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
  [3B] Tierra,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
     [3B1] Tierra forestales,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,
          [3B1a] Tierras forestales que permanecen como tal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
          [3B1b] Tierras convertidas a tierras forestales,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
     [3B2] Tierra de cultivo,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,
          [3B2a] Tierras de cultivo que permanecen como tal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
          [3B2b] Tierras convertidas a tierras de cultivo,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
     [3B3] Praderas,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,
          [3B3a] Praderas que permanecen como tal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
          [3B3b] Tierras convertidas en praderas,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
     [3B4] Humedales,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,
          [3B4a] Humedales que permanecen como tal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
          [3B4b] Tierras convertidas en humedales,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
     [3B5] Asentamientos ,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,
          [3B5a] Asentamientos que permanecen como tal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
          [3B5b] Tierras convertidas en asentamientos,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
     [3B6] Otras tierras ,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,
          [3B6a] Otras tierras que permanecen como tal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
          [3B6b] Tierras convertidas en otras tierras,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
  [3C] Fuentes agregadas y fuentes de emisión no CO2 de la tierra,833.75,703.10,"13,755.575",,,,,,,,,,,,,,,,,,,,,,,,,"15,292.423",,,2.997
     [3C1] Emisiones de GEI por quemado de biomasa,0.000,463.598,140.582,,,,,,,,,,,,,,,,,,,,,,,,,604.180,,,2.997
          [3C1a] Emisiones de quemado de biomasa en tierras forestales,,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
          [3C1b] Emisiones de quemado de biomasa en tierras de cultivo,,463.598,140.582,,,,,,,,,,,,,,,,,,,,,,,,,604.180,,,2.997
          [3C1c] Emisiones de quemado de biomasa en tierras praderas,,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
          [3C1d] Emisiones de quemado de biomasa en otras tierras,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
     [3C2] Encalado,31.300,,,,,,,,,,,,,,,,,,,,,,,,,,,31.300,,,
     [3C3] Aplicación de urea,802.450,,,,,,,,,,,,,,,,,,,,,,,,,,,802.450,,,
     [3C4] Emisiones directas de los N2O de los suelos gestionados,,,"7,941.336",,,,,,,,,,,,,,,,,,,,,,,,,"7,941.336",,,
