     [3C5] Emisiones indirectas de los N2O de los suelos gestionados,,,"4,135.355",,,,,,,,,,,,,,,,,,,,,,,,,"4,135.355",,,
     [3C6] Emisiones indirectas de los N2O de la gestión del estiércol,,,"1,538.302",,,,,,,,,,,,,,,,,,,,,,,,,"1,538.302",,,
     [3C7] Cultivo del arroz,,239.500,,,,,,,,,,,,,,,,,,,,,,,,,,239.500,,,
  [3D] Otros,"1,046.794",,,,,,,,,,,,,,,,,,,,,,,,,,,"1,046.794",,,
     [3D1] Productos de madera recolectada,"1,046.794",,,,,,,,,,,,,,,,,,,,,,,,,,,"1,046.794",,,
     [3D2] Otros (especificar),,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[4] Residuos,417.196,"12,037.433","3,734.481",,,,,,,,,,,,,,,,,,,,,,,,,"16,189.110",,,1.404
[4A] Eliminación de residuos sólidos,,659.803,0.000,,,,,,,,,,,,,,,,,,,,,,,,,659.803,,,
[4A1] Sitios gestionados de eliminación de residuos (rellenos sanitarios),,200.248,,,,,,,,,,,,,,,,,,,,,,,,,,200.248,,,
[4A2] Sitios no controlados de eliminación de residuos ,,42.593,,,,,,,,,,,,,,,,,,,,,,,,,,42.593,,,
[4A3] Tiraderos a cielo abierto para eliminación de residuos,,416.963,,,,,,,,,,,,,,,,,,,,,,,,,,416.963,,,
[4B] Tratamiento biológico de los residuos sólidos,,0.671,0.476,,,,,,,,,,,,,,,,,,,,,,,,,1.147,,,
[4C] Incineración y quema a cielo abierto  de residuos,417.196,831.253,181.551,,,,,,,,,,,,,,,,,,,,,,,,,"1,430.001",,,1.404
[4C1] Incineración de residuos peligrosos industriales y biológico infeccioso,0.000,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[4C2] Quema a cielo abierto de residuos sólidos,417.196,831.253,181.551,,,,,,,,,,,,,,,,,,,,,,,,,"1,430.001",,,1.404
[4D] Tratamiento y eliminación de aguas residuales,,"10,545.705","3,552.453",,,,,,,,,,,,,,,,,,,,,,,,,"14,098.158",,,
[4D1] Tratamiento y eliminación de aguas residuales municipales,,"4,536.149","3,552.453",,,,,,,,,,,,,,,,,,,,,,,,,"8,088.602",,,
[4D2] Tratamiento y eliminación de aguas residuales industriales,,"6,009.556",,,,,,,,,,,,,,,,,,,,,,,,,,"6,009.556",,,
[4E] Otros,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
EMISIONES NETAS (Gg de CO2e),"329,716.353","119,392.867","27,177.033",882.870,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,253.208,67.563,0.000,0.000,0.000,0.000,0.000,39.036,"477,528.929",,,79.090
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bunkers,"1,967.322",0.379,14.360,,,,,,,,,,,,,,,,,,,,,,,,,"1,982.061",,,
Aviación internacional,"1,967.322",0.379,14.360,,,,,,,,,,,,,,,,,,,,,,,,,"1,982.061",,,
Marítimo internacional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emisiones de CO2 por quema de biomasa,"37,336.468",,,,,,,,,,,,,,,,,,,,,,,,,,,"37,336.468",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nota:,Las emisiones de bunkers y las emisiones de CO2 por la quema de biomasa no se encuentran contabilizadas al total de inventario,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
