     [3C4] Emisiones directas de los N2O de los suelos gestionados,,,"9,337.154",,,,,,,,,,,,,,,,,,,,,,,,,"9,337.154",,,
     [3C5] Emisiones indirectas de los N2O de los suelos gestionados,,,"4,909.461",,,,,,,,,,,,,,,,,,,,,,,,,"4,909.461",,,
     [3C6] Emisiones indirectas de los N2O de la gestión del estiércol,,,"1,684.710",,,,,,,,,,,,,,,,,,,,,,,,,"1,684.710",,,
     [3C7] Cultivo del arroz,,316.980,,,,,,,,,,,,,,,,,,,,,,,,,,316.980,,,
  [3D] Otros,"-6,187.091",,,,,,,,,,,,,,,,,,,,,,,,,,,"-6,187.091",,,
     [3D1] Productos de madera recolectada,-6187.09058,,,,,,,,,,,,,,,,,,,,,,,,,,,"-6,187.091",,,
     [3D2] Otros (especificar),,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[4] Residuos,519.552,"21,369.704","4,012.628",,,,,,,,,,,,,,,,,,,,,,,,,"25,901.883",,,1.749
[4A] Eliminación de residuos sólidos,,"4,888.063",0.000,,,,,,,,,,,,,,,,,,,,,,,,,"4,888.063",,,
[4A1] Sitios gestionados de eliminación de residuos (rellenos sanitarios),,"1,859.288",,,,,,,,,,,,,,,,,,,,,,,,,,"1,859.288",,,
[4A2] Sitios no controlados de eliminación de residuos ,,927.084,,,,,,,,,,,,,,,,,,,,,,,,,,927.084,,,
[4A3] Tiraderos a cielo abierto para eliminación de residuos,,"2,101.691",,,,,,,,,,,,,,,,,,,,,,,,,,"2,101.691",,,
[4B] Tratamiento biológico de los residuos sólidos,,97.635,69.303,,,,,,,,,,,,,,,,,,,,,,,,,166.939,,,
[4C] Incineración y quema a cielo abierto  de residuos,519.552,"1,035.114",226.078,,,,,,,,,,,,,,,,,,,,,,,,,"1,780.744",,,1.749
[4C1] Incineración de residuos peligrosos industriales y biológico infeccioso,0.071,0.000,0.002,,,,,,,,,,,,,,,,,,,,,,,,,0.074,,,
[4C2] Quema a cielo abierto de residuos sólidos,519.481,"1,035.114",226.076,,,,,,,,,,,,,,,,,,,,,,,,,"1,780.670",,,1.749
[4D] Tratamiento y eliminación de aguas residuales,,"15,348.892","3,717.246",,,,,,,,,,,,,,,,,,,,,,,,,"19,066.138",,,
[4D1] Tratamiento y eliminación de aguas residuales municipales,,"4,594.896","3,717.246",,,,,,,,,,,,,,,,,,,,,,,,,"8,312.142",,,
[4D2] Tratamiento y eliminación de aguas residuales industriales,,"10,753.996",,,,,,,,,,,,,,,,,,,,,,,,,,"10,753.996",,,
[4E] Otros,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
EMISIONES NETAS (Gg de CO2e),"375,317.236","138,365.119","29,935.230","1,668.588",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,351.952,93.910,0.000,0.000,0.000,0.000,0.000,65.246,"545,797.282",,,90.364
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bunkers,"2,517.275",0.485,18.374,,,,,,,,,,,,,,,,,,,,,,,,,"2,536.134",,,
Aviación internacional,"2,517.275",0.485,18.374,,,,,,,,,,,,,,,,,,,,,,,,,"2,536.134",,,
Marítimo internacional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emisiones de CO2 por quema de biomasa,"36,591.353",,,,,,,,,,,,,,,,,,,,,,,,,,,"36,591.353",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nota:,Las emisiones de bunkers y las emisiones de CO2 por la quema de biomasa no se encuentran contabilizadas al total de inventario,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
