,INVENTARIO NACIONAL DE EMISIONES DE GASES Y COMPUESTOS DE EFECTO INVERNADERO (INEGYCEI),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CATEGORÍA / FUENTE / SUBFUENTE 
DE EMISIÓN",Emisiones de gases de efecto invernadero  (Gg de CO2e ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Carbono negro
(Gg)"
,1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CO2,CH4,N2O,HFCs,,,,,,,,,,,,,,,,PFCs,,,,,,NF3,SF6,"EMISIONES NETAS
Gg en CO2e"," 
EMISIONES
(sin 3B y 3D)
Gg en CO2e",,
,,,,HFC-23,HFC-410A,HFC-43-10mee,HFC-125,HFC-134,HFC-134a,HFC-404A,HFC-407C,HFC-507a,HFC-152a,HFC-227ea,HFC-236fa,HFC-365mfc/227ea,HFC-365mfc,HFC-245fa,HFC-32,CF4,C2F6,C3F8,C4F6,c-C4F8,C5F8,,,,,,
  Potencial de calentamiento,1,28,265,"12,400","1,924","1,650","3,170","1,120","1,300","3,943","1,624","3,985",138,"2,640","8,060",982,804,858,677,"6,630","11,100","8,900",1,"9,540",2,"16,100","23,500",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMISIONES NETAS (Gg de CO2e),"375,317.236","138,365.119","29,935.230","1,668.588",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,351.952,93.910,0.000,0.000,0.000,0.000,0.000,65.246,"545,797.282","551,984.373",,90.364
[1] Energía,"339,872.616","29,098.558","3,306.357",,,,,,,,,,,,,,,,,,,,,,,,,"372,277.530",,,84.447
[1A] Actividades de quema del combustible,"317,140.510","3,042.846","3,264.716",,,,,,,,,,,,,,,,,,,,,,,,,"323,448.072",,,74.888
[1A1] Industrias de la energía,"126,402.229",115.188,251.866,,,,,,,,,,,,,,,,,,,,,,,,,"126,769.283",,,16.595
[1A1a] Actividad principal producción de electricidad y calor,"96,440.947",94.647,221.177,,,,,,,,,,,,,,,,,,,,,,,,,"96,756.771",,,14.844
[1A1b] Refinación del petróleo,"9,867.120",8.590,14.783,,,,,,,,,,,,,,,,,,,,,,,,,"9,890.492",,,1.528
[1A1c] Manufactura de combustibles sólidos y otras industrias de la energía,"20,094.162",11.951,15.907,,,,,,,,,,,,,,,,,,,,,,,,,"20,122.020",,,0.223
[1A2] Industrias manufactura y de la construcción,"53,787.523",104.910,146.094,,,,,,,,,,,,,,,,,,,,,,,,,"54,038.527",,,2.007
[1A2a] Hierro y acero,"5,739.148",3.932,5.727,,,,,,,,,,,,,,,,,,,,,,,,,"5,748.807",,,0.115
[1A2b] Metales no ferrosos,"2,678.383",1.803,2.575,,,,,,,,,,,,,,,,,,,,,,,,,"2,682.761",,,0.034
[1A2c] Sustancias químicas,"18,145.725",11.429,15.419,,,,,,,,,,,,,,,,,,,,,,,,,"18,172.572",,,0.290
"[1A2d] Pulpa, papel e imprenta","2,371.075",1.899,3.089,,,,,,,,,,,,,,,,,,,,,,,,,"2,376.063",,,0.059
"[1A2e] Procesamiento de alimentos, bebidas y tabaco","4,257.878",4.163,7.596,,,,,,,,,,,,,,,,,,,,,,,,,"4,269.638",,,0.189
[1A2f] Minerales no metálicos,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[1A2g] Equipo de transporte,275.416,0.142,0.155,,,,,,,,,,,,,,,,,,,,,,,,,275.714,,,0.001
[1A2h] Maquinaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[1A2i] Minería (con excepción de combustibles) y cantería,"7,229.080",7.125,13.192,,,,,,,,,,,,,,,,,,,,,,,,,"7,249.397",,,0.197
[1A2j] Madera y productos de la madera,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[1A2k] Construcción,357.479,0.412,0.780,,,,,,,,,,,,,,,,,,,,,,,,,358.671,,,0.002
[1A2l] Textiles y cueros,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[1A2m] Industria no especificada,"12,733.339",74.004,97.560,,,,,,,,,,,,,,,,,,,,,,,,,"12,904.904",,,1.122
[1A3] Transporte,"105,645.493",382.896,"2,545.249",,,,,,,,,,,,,,,,,,,,,,,,,"108,573.638",,,20.375
[1A3a] Aviación civil,"4,675.721",0.901,34.128,,,,,,,,,,,,,,,,,,,,,,,,,"4,710.751",,,0.066
[1A3b] Autotransporte,"97,006.484",373.583,"2,286.187",,,,,,,,,,,,,,,,,,,,,,,,,"99,666.254",,,20.179
[1A3c] Ferrocarriles,"2,027.510",3.234,210.931,,,,,,,,,,,,,,,,,,,,,,,,,"2,241.675",,,0.048
[1A3d] Navegación marítima y fluvial,"1,935.778",5.178,14.002,,,,,,,,,,,,,,,,,,,,,,,,,"1,954.958",,,0.082
[1A3e] Otro transporte,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[1A4] Otros sectores,"31,305.265","2,439.853",321.506,,,,,,,,,,,,,,,,,,,,,,,,,"34,066.624",,,35.911
[1A4a] Comercial/institucional,"4,137.179",9.237,1.942,,,,,,,,,,,,,,,,,,,,,,,,,"4,148.357",,,2.075
[1A4b] Residencial,"21,398.408","2,408.553",307.097,,,,,,,,,,,,,,,,,,,,,,,,,"24,114.057",,,33.752
[1A4c] Agropecuario/silvicultura/pesca/piscifactorías,"5,769.679",22.063,12.468,,,,,,,,,,,,,,,,,,,,,,,,,"5,804.210",,,0.083
[1B] Emisiones fugitivas provenientes de la fabricación de combustibles,"22,732.106","26,055.711",41.641,,,,,,,,,,,,,,,,,,,,,,,,,"48,829.458",,,9.558
[1B1] Combustibles sólidos,86.692,"3,049.209",,,,,,,,,,,,,,,,,,,,,,,,,,"3,135.901",,,0.000
[1B1a] Minería carbonífera y manejo del carbón,86.692,"3,049.209",,,,,,,,,,,,,,,,,,,,,,,,,,"3,135.901",,,0.000
[1B1ai] Minas subterráneas,82.561,"2,924.785",,,,,,,,,,,,,,,,,,,,,,,,,,"3,007.346",,,
[1B1aii] Minas superficie,4.130,124.424,,,,,,,,,,,,,,,,,,,,,,,,,,128.555,,,
[1B1b] Combustión espontánea y vertederos para quema de carbón,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,0.000
[1B2] Petróleo y gas natural,"22,645.414","23,006.503",41.641,,,,,,,,,,,,,,,,,,,,,,,,,"45,693.558",,,9.558
[1B2a] Petróleo,"20,360.142","20,075.883",41.623,,,,,,,,,,,,,,,,,,,,,,,,,"40,477.648",,,
1B2ai Venteo petróleo,"6,055.047","6,829.915",,,,,,,,,,,,,,,,,,,,,,,,,,"12,884.962",,,
1B2aii Quemado petróleo,"14,255.888","13,185.030",41.623,,,,,,,,,,,,,,,,,,,,,,,,,"27,482.540",,,9.558
1B2aiii Otras fugitivas petróleo,49.208,60.938,,,,,,,,,,,,,,,,,,,,,,,,,,110.145,,,
[1B2b] Gas natural,"2,285.272","2,930.620",0.018,,,,,,,,,,,,,,,,,,,,,,,,,"5,215.910",,,
1B2bi Venteo gas natural,"2,011.204","1,147.189",,,,,,,,,,,,,,,,,,,,,,,,,,"3,158.394",,,
1B2bii Quemado gas natural,272.102,5.079,0.018,,,,,,,,,,,,,,,,,,,,,,,,,277.199,,,
1B2biii Otras fugitivas gas natural,1.966,"1,778.352",,,,,,,,,,,,,,,,,,,,,,,,,,"1,780.317",,,
[2] Procesos industriales y uso de productos,"40,151.419",247.003,"1,282.248","1,668.588",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,351.952,93.910,0.000,0.000,0.000,0.000,0.000,65.246,"43,860.367",,,0.000
[2A] Industria de los minerales,"20,113.594",0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,"20,113.594",,,
[2A1] Producción de cemento,"12,689.368",,,,,,,,,,,,,,,,,,,,,,,,,,,"12,689.368",,,
[2A2] Producción de cal,"2,458.704",,,,,,,,,,,,,,,,,,,,,,,,,,,"2,458.704",,,
[2A3] Producción de vidrio,470.045,,,,,,,,,,,,,,,,,,,,,,,,,,,470.045,,,
[2A4] Otros usos de carbonatos,"4,495.478",,,,,,,,,,,,,,,,,,,,,,,,,,,"4,495.478",,,
[2A5] Otros,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2B] Industria química,"4,859.831",247.003,"1,282.248","1,668.588",,,,,,,,,,,,,,,,,,,,,,,,"8,057.670",,,
[2B1] Producción de amoniaco,"2,552.916",,,,,,,,,,,,,,,,,,,,,,,,,,,"2,552.916",,,
[2B2] Producción de ácido nítrico,,,"1,090.899",,,,,,,,,,,,,,,,,,,,,,,,,"1,090.899",,,
[2B3] Producción de ácido adípico,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
"[2B4] Producción de caprolactama, glioxil y ácido glioxílico",,,191.349,,,,,,,,,,,,,,,,,,,,,,,,,191.349,,,
[2B5] Producción de carburo,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2B6] Producción de dióxido de titanio,136.805,,,,,,,,,,,,,,,,,,,,,,,,,,,136.805,,,
[2B7] Producción de ceniza de sosa,40.020,,,,,,,,,,,,,,,,,,,,,,,,,,,40.020,,,
[2B8] Producción petroquímica y negro de humo,"2,130.090",247.003,,,,,,,,,,,,,,,,,,,,,,,,,,"2,377.094",,,
[2B9] Producción fluoroquímica, ,,,"1,668.588",,,,,,,,,,,,,,,,,,,,,,,,"1,668.588",,,
[2B10] Otros,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2C] Industria de los metales,"14,885.330",0.000,0.000,,,,,,,,,,,,,,,,,351.952,93.910,,,,,,,"15,331.192",,,
[2C1] Producción de hierro y acero,"14,337",0.000,,,,,,,,,,,,,,,,,,,,,,,,,,"14,337.238",,,
[2C2] Producción de ferroaleaciones,335.516,,,,,,,,,,,,,,,,,,,,,,,,,,,335.516,,,
[2C3] Producción de aluminio,106.170,,,,,,,,,,,,,,,,,,,351.952,93.910,,,,,,,552.032,,,
[2C4] Producción de magnesio,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2C5] Producción de plomo,106.406,,,,,,,,,,,,,,,,,,,,,,,,,,,106.406,,,
[2C6] Producción de zinc,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2C7] Otros,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2D] Uso de productos no energéticos de combustibles y de solvente,232.348,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,232.348,,,
[2D1] Uso de lubricantes,180.127,,,,,,,,,,,,,,,,,,,,,,,,,,,180.127,,,
[2D2] Uso de la cera de parafina,52.221,,,,,,,,,,,,,,,,,,,,,,,,,,,52.221,,,
[2D3] Uso de solventes,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2D4] Otros,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2E] Industria electrónica,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,
[2E1] Circuitos integrados o semiconductores,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2E2] Pantalla plana tipo TFT,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2E3] Células fotovoltaicas,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2E4] Fluido de transferencia térmica,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2E5] Otros,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2F] Uso de productos sustitutos de las sustancias que agotan la capa de ozono,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,
[2F1] Refrigeración y aire acondicionado,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2F2] Agentes espumantes,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2F3] Protección contra incendios,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2F4] Aerosoles,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2F5] Solventes,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2F6] Otras aplicaciones,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2G] Manufactura y utilización de otros productos,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,65.246,65.246,,,
[2G1] Equipos eléctricos,,,,,,,,,,,,,,,,,,,,,,,,,,,65.246,65.246,,,
[2G2] SF6 y PFC de otros usos de productos,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2G3] N2O de usos de productos,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2G4] Otros,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2H] Otros,60.316,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,60.316,,,
[2H1] Industria de la pulpa y el papel,60.316,,,,,,,,,,,,,,,,,,,,,,,,,,,60.316,,,
[2H2] Industria de la alimentación y las bebidas,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2H3] Otros,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
"[3] Agricultura, silvicultura y otros usos de la tierra","-5,226.351","87,649.854","21,333.999",,,,,,,,,,,,,,,,,,,,,,,,,"103,757.502",,,4.169
 [3A] Ganado,,"86,574.467","5,146.538",,,,,,,,,,,,,,,,,,,,,,,,,"91,721.005",,,
     [3A1] Fermentación entérica,,"70,935.927",,,,,,,,,,,,,,,,,,,,,,,,,,"70,935.927",,,
          [3A1a] Bovino,,"66,778.648",,,,,,,,,,,,,,,,,,,,,,,,,,"66,778.648",,,
          [3A1b] Búfalos,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
             [3A1c] Ovinos,,975.420,,,,,,,,,,,,,,,,,,,,,,,,,,975.420,,,
          [3A1d] Caprino,,"1,160.960",,,,,,,,,,,,,,,,,,,,,,,,,,"1,160.960",,,
          [3A1e] Camello,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
          [3A1f] Caballos,,"1,165.998",,,,,,,,,,,,,,,,,,,,,,,,,,"1,165.998",,,
          [3A1g] Mulas y asnos,,483.268,,,,,,,,,,,,,,,,,,,,,,,,,,483.268,,,
          [3A1h] Porcinos,,371.633,,,,,,,,,,,,,,,,,,,,,,,,,,371.633,,,
          [3A1i] Otros  (especificar),,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
     [3A2] Gestión del estiércol,,"15,638.540","5,146.538",,,,,,,,,,,,,,,,,,,,,,,,,"20,785.078",,,
          [3A2a] Bovinos,,"8,555.874","4,507.417",,,,,,,,,,,,,,,,,,,,,,,,,"13,063.291",,,
          [3A2b] Búfalos,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
             [3A2c] Ovinos,,11.480,25.020,,,,,,,,,,,,,,,,,,,,,,,,,36.500,,,
          [3A2d] Caprino,,13.310,21.540,,,,,,,,,,,,,,,,,,,,,,,,,34.850,,,
          [3A2e] Camello,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
          [3A2f] Caballos,,112.213,,,,,,,,,,,,,,,,,,,,,,,,,,112.213,,,
          [3A2g] Mulas y asnos,,46.642,,,,,,,,,,,,,,,,,,,,,,,,,,46.642,,,
          [3A2h] Porcinos,,"5,764.470",380.128,,,,,,,,,,,,,,,,,,,,,,,,,"6,144.598",,,
          [3A2i] Aves de corral,,"1,134.551",212.433,,,,,,,,,,,,,,,,,,,,,,,,,"1,346.984",,,
          [3A2g] Otros  (especificar),,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
  [3B] Tierra,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
     [3B1] Tierra forestales,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,
          [3B1a] Tierras forestales que permanecen como tal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
          [3B1b] Tierras convertidas a tierras forestales,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
     [3B2] Tierra de cultivo,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,
          [3B2a] Tierras de cultivo que permanecen como tal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
          [3B2b] Tierras convertidas a tierras de cultivo,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
     [3B3] Praderas,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,
          [3B3a] Praderas que permanecen como tal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
          [3B3b] Tierras convertidas en praderas,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
     [3B4] Humedales,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,
          [3B4a] Humedales que permanecen como tal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
          [3B4b] Tierras convertidas en humedales,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
     [3B5] Asentamientos ,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,
          [3B5a] Asentamientos que permanecen como tal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
          [3B5b] Tierras convertidas en asentamientos,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
     [3B6] Otras tierras ,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,
          [3B6a] Otras tierras que permanecen como tal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
          [3B6b] Tierras convertidas en otras tierras,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
  [3C] Fuentes agregadas y fuentes de emisión no CO2 de la tierra,960.74,"1,075.39","16,187.461",,,,,,,,,,,,,,,,,,,,,,,,,"18,223.588",,,4.169
     [3C1] Emisiones de GEI por quemado de biomasa,0.000,758.407,256.135,,,,,,,,,,,,,,,,,,,,,,,,,"1,014.542",,,4.169
          [3C1a] Emisiones de quemado de biomasa en tierras forestales,,196.450,71.200,,,,,,,,,,,,,,,,,,,,,,,,,267.650,,,0.868
          [3C1b] Emisiones de quemado de biomasa en tierras de cultivo,,536.177,162.665,,,,,,,,,,,,,,,,,,,,,,,,,698.842,,,3.137
          [3C1c] Emisiones de quemado de biomasa en tierras praderas,,25.780,22.270,,,,,,,,,,,,,,,,,,,,,,,,,48.050,,,0.164
          [3C1d] Emisiones de quemado de biomasa en otras tierras,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
     [3C2] Encalado,34.200,,,,,,,,,,,,,,,,,,,,,,,,,,,34.200,,,
     [3C3] Aplicación de urea,926.540,,,,,,,,,,,,,,,,,,,,,,,,,,,926.540,,,
