ANIO,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC,ANUAL
1985,6.900143439316092,7.878308991763308,10.110248147676469,11.248835907017858,14.056518691169693,15.851675441646337,15.21117016492593,15.195454545593947,14.839387492391568,13.902990792802392,9.38754885711729,8.202388888811315,11.898722613352684
1986,6.540726527904498,6.952777358167664,7.890083246674159,12.453105656883046,14.473824742367226,15.816706454097696,15.496654461442521,15.257197395045186,15.402607843494113,13.41247719847059,11.140289357424992,8.32628348507927,11.93022781058758
1987,7.091263109027323,7.391568960758618,8.503467655723526,10.622475992118636,12.842323885830503,16.322405370032612,16.626059195313182,16.01710664069231,16.051990144196626,11.961066116772228,9.426358866662794,8.710999205046512,11.797257095181237
1988,5.94656943557059,8.053615605100003,9.269156875862068,11.38266685338095,12.53445540796,15.173674969182361,16.049003308831388,16.10865170867878,15.248998488446535,12.455690598955973,9.12332216305661,7.571139660698116,11.576412089643613
1989,7.245720462975612,7.933863458588958,7.444276920295595,10.759236542686274,13.088475905019735,15.842196561019994,15.435210488176864,15.58514106175173,14.314885474922535,11.907353864938775,9.695259367708333,7.390029527232397,11.386804136276401
1990,7.6345581700894325,8.267453031965807,9.415826494857143,11.517541214440671,14.798437538117643,16.270622321102568,15.574608502196579,15.47692680333621,15.01765115664103,14.084180207543858,9.651571646817386,7.345943132999995,12.087943351675692
1991,6.656923497156027,8.259512139249997,8.476672055191179,11.015698488529413,13.073561423794118,15.515390160595741,15.408388930447767,14.989316951940305,14.821583568674606,12.515560553201615,9.733168455653228,9.334086802945313,11.649988585614944
1992,9.3541222068644,7.135580974134452,9.852078821333338,10.693330100801658,13.649457035650409,16.63753151140323,15.76830799677166,15.575752937225808,15.10656012440945,12.961865375314515,9.212876458096005,8.808014345140352,12.06295649059544
1993,7.388535525212123,6.621136277039369,7.552705012349201,10.135094968523443,11.991254399087302,16.33805148530304,15.665980520515385,15.424248498449609,15.27093195578788,13.621422657388893,10.271605234944444,7.454439309911998,11.477950487042724
1994,6.645678629152675,7.900438890123076,9.431620475000004,10.903730798681819,14.23682045365672,16.080964800451852,15.463801701485714,15.583476168064287,15.05885602848921,14.309858848932834,11.091395960202897,9.174030649352938,12.156722783632837
1995,7.294636004586955,9.507539001861318,9.12015973027612,10.476394474452556,14.120445328939855,16.373792023029196,16.20469221389052,16.30730878893478,15.837609020222216,12.091965956488881,10.700941802242427,7.5254499770526335,12.13007786016479
1996,5.5593129021136365,8.013631354226279,8.39184346805072,10.188184653338126,14.764821711554749,16.188608252246386,16.04633020527941,15.428918703437953,15.547308756985192,13.531834235678836,9.360677313028368,7.915218250650001,11.744724150549137
1997,5.657174875237411,7.418793916122304,9.761215876007295,10.834669365731878,12.965553612185179,16.37469450751493,16.051658398441177,15.506352229759122,15.507388518897063,12.357256231367657,10.002661528547447,6.023317335313867,11.538394699593775
1998,5.185684804787236,4.474693289489361,8.100219302638296,10.151206098705037,13.029842908198528,16.951758049775357,16.35137137573381,16.027462717949266,16.521354798811597,15.071292475832118,11.485604686659261,8.237672240255636,11.79901356240296
1999,5.257287090281485,8.497201983250005,9.05865205935075,11.646129335340907,13.244644303229014,16.475108437196972,15.776841929290331,15.797807878000006,15.071260209787413,12.362115542976191,7.914102463941177,5.49714452970248,11.383191313528895
2000,5.8736903840409855,7.48855909600813,8.625702872375005,10.957775448261907,13.979981416606556,16.227260275817464,14.928061519960636,14.48907746676423,14.598201453178866,13.423940862951218,9.954597100512196,8.063430329876546,11.55085651886281
2001,7.1798195061367505,8.507702913661014,8.010367959055044,11.532879404722694,14.329718559608331,15.775933772372893,15.432854733424996,15.617622814589744,15.377930675434431,12.505770553454546,8.336458224844264,7.397392700508061,11.667037651484394
2002,5.362214915550004,8.136092399982909,9.404994885347108,12.73414942080672,15.138220569486727,16.254445744176994,16.037827770464908,15.34882206855932,16.052682312909923,14.178491016419642,10.060419846641508,6.53708260028704,12.103786962552732
2003,7.399186537980585,8.130320699612243,8.456700859586538,12.004755195399998,14.43129830748515,16.74632118789473,15.843496050946895,15.624195503400003,16.094131313036367,13.413978494916668,10.651339563654208,5.94653097822619,12.061854557678297
2004,7.324030514742858,6.12754572701333,10.412350126333335,11.573381643289855,14.380645161611106,16.166666666014923,15.774474053652176,16.091129032812507,16.173397435266672,15.204330663885248,9.905555555633333,8.234102504783332,12.280634090419888
2005,7.563661106495146,9.448083615611647,8.185592332780002,11.413283333890003,12.354807391291262,15.413267074220181,16.403377980700938,15.684581237522941,15.283831775766354,13.496872011037734,8.951360544183675,6.817623536537634,11.751361828336462
2006,6.51024212252773,10.552388276028287,11.389027887020996,13.607614853501257,14.576065535368585,17.33089707895001,17.02262697430381,17.13458946406661,16.572129035335873,15.475066723158655,10.840484749137616,8.091715229955334,13.258570660779561
2007,10.128254172409084,8.804629148788614,11.752991221282342,13.539191401348464,15.998831140659806,17.767368155115246,17.20834403658144,17.173330291115978,16.555480695142027,14.779562821672803,11.09686439825512,9.335010552819366,13.678321502932526
2008,7.551365507280321,8.212845861121211,9.305599774104392,12.691368358322958,15.352720253539598,16.73106630484035,16.011550332870193,15.505087071159798,16.36038380316143,13.67911769220358,9.50059318032915,8.159735259558488,12.421786116540957
2009,8.958493828702267,9.769923650595784,11.330070897226916,11.9,15.30500229235825,17.243945867527625,15.409770503642672,16.725674584754486,16.88307436982852,15.37472126322945,9.707147340753833,10.071884872478071,13.223309122591493
