          [3C1d] Emisiones de quemado de biomasa en otras tierras,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
     [3C2] Encalado,34.500,,,,,,,,,,,,,,,,,,,,,,,,,,,34.500,,,
     [3C3] Aplicación de urea,"1,421.490",,,,,,,,,,,,,,,,,,,,,,,,,,,"1,421.490",,,
     [3C4] Emisiones directas de los N2O de los suelos gestionados,,,"11,058.038",,,,,,,,,,,,,,,,,,,,,,,,,"11,058.038",,,
     [3C5] Emisiones indirectas de los N2O de los suelos gestionados,,,"5,365.886",,,,,,,,,,,,,,,,,,,,,,,,,"5,365.886",,,
     [3C6] Emisiones indirectas de los N2O de la gestión del estiércol,,,"2,450.595",,,,,,,,,,,,,,,,,,,,,,,,,"2,450.595",,,
     [3C7] Cultivo del arroz,,162.690,,,,,,,,,,,,,,,,,,,,,,,,,,162.690,,,
  [3D] Otros,"-5,161.455",,,,,,,,,,,,,,,,,,,,,,,,,,,"-5,161.455",,,
     [3D1] Productos de madera recolectada,-5161.454531,,,,,,,,,,,,,,,,,,,,,,,,,,,"-5,161.455",,,
     [3D2] Otros (especificar),,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[4] Residuos,647.390,"30,790.524","3,416.494",,,,,,,,,,,,,,,,,,,,,,,,,"34,854.408",,,1.688
[4A] Eliminación de residuos sólidos,,"12,883.125",0.000,,,,,,,,,,,,,,,,,,,,,,,,,"12,883.125",,,
[4A1] Sitios gestionados de eliminación de residuos (rellenos sanitarios),,"6,515.331",,,,,,,,,,,,,,,,,,,,,,,,,,"6,515.331",,,
[4A2] Sitios no controlados de eliminación de residuos ,,"2,576.703",,,,,,,,,,,,,,,,,,,,,,,,,,"2,576.703",,,
[4A3] Tiraderos a cielo abierto para eliminación de residuos,,"3,791.091",,,,,,,,,,,,,,,,,,,,,,,,,,"3,791.091",,,
[4B] Tratamiento biológico de los residuos sólidos,,103.509,73.473,,,,,,,,,,,,,,,,,,,,,,,,,176.982,,,
[4C] Incineración y quema a cielo abierto  de residuos,647.390,871.596,191.127,,,,,,,,,,,,,,,,,,,,,,,,,"1,710.113",,,1.688
[4C1] Incineración de residuos peligrosos industriales y biológico infeccioso,27.123,0.074,0.780,,,,,,,,,,,,,,,,,,,,,,,,,27.978,,,
[4C2] Quema a cielo abierto de residuos sólidos,620.267,871.521,190.346,,,,,,,,,,,,,,,,,,,,,,,,,"1,682.135",,,1.688
[4D] Tratamiento y eliminación de aguas residuales,,"16,932.294","3,151.895",,,,,,,,,,,,,,,,,,,,,,,,,"20,084.188",,,
[4D1] Tratamiento y eliminación de aguas residuales municipales,,"4,969.835","3,151.895",,,,,,,,,,,,,,,,,,,,,,,,,"8,121.730",,,
[4D2] Tratamiento y eliminación de aguas residuales industriales,,"11,962.459",,,,,,,,,,,,,,,,,,,,,,,,,,"11,962.459",,,
[4E] Otros,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
EMISIONES NETAS (Gg de CO2e),"253,144.378","147,152.584","32,198.640","2,672.882",1.446,0.000,0.000,0.000,"1,728.429",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.974,0.543,0.109,0.000,0.039,0.000,0.985,114.306,"437,015.317",,,80.434
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bunkers,"3,296.004",0.635,24.057,,,,,,,,,,,,,,,,,,,,,,,,,"3,320.697",,,
Aviación internacional,"3,296.004",0.635,24.057,,,,,,,,,,,,,,,,,,,,,,,,,"3,320.697",,,
Marítimo internacional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emisiones de CO2 por quema de biomasa,"27,704.850",,,,,,,,,,,,,,,,,,,,,,,,,,,"27,704.850",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nota:,Las emisiones de bunkers y las emisiones de CO2 por la quema de biomasa no se encuentran contabilizadas al total de inventario,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
