,INVENTARIO NACIONAL DE EMISIONES DE GASES Y COMPUESTOS DE EFECTO INVERNADERO (INEGYCEI),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CATEGORÍA / FUENTE / SUBFUENTE 
DE EMISIÓN",Emisiones de gases de efecto invernadero  (Gg de CO2e ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Carbono negro
(Gg)"
,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CO2,CH4,N2O,HFCs,,,,,,,,,,,,,,,,PFCs,,,,,,NF3,SF6,"EMISIONES NETAS
Gg en CO2e"," 
EMISIONES
(sin 3B y 3D)
Gg en CO2e",,
,,,,HFC-23,HFC-410A,HFC-43-10mee,HFC-125,HFC-134,HFC-134a,HFC-404A,HFC-407C,HFC-507a,HFC-152a,HFC-227ea,HFC-236fa,HFC-365mfc/227ea,HFC-365mfc,HFC-245fa,HFC-32,CF4,C2F6,C3F8,C4F6,c-C4F8,C5F8,,,,,,
  Potencial de calentamiento,1,28,265,"12,400","1,924","1,650","3,170","1,120","1,300","3,943","1,624","3,985",138,"2,640","8,060",982,804,858,677,"6,630","11,100","8,900",1,"9,540",2,"16,100","23,500",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMISIONES NETAS (Gg de CO2e),"253,144.378","147,152.584","32,198.640","2,672.882",1.446,0.000,0.000,0.000,"1,728.429",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.974,0.543,0.109,0.000,0.039,0.000,0.985,114.306,"437,015.317","636,926.159",,80.434
[1] Energía,"404,045.165","25,702.129","3,671.520",,,,,,,,,,,,,,,,,,,,,,,,,"433,418.814",,,69.666
[1A] Actividades de quema del combustible,"390,135.193","3,012.875","3,656.105",,,,,,,,,,,,,,,,,,,,,,,,,"396,804.174",,,66.324
[1A1] Industrias de la energía,"169,009.730",144.885,332.341,,,,,,,,,,,,,,,,,,,,,,,,,"169,486.956",,,13.337
[1A1a] Actividad principal producción de electricidad y calor,"133,905.543",122.661,301.613,,,,,,,,,,,,,,,,,,,,,,,,,"134,329.817",,,11.755
[1A1b] Refinación del petróleo,"11,153.712",8.607,13.739,,,,,,,,,,,,,,,,,,,,,,,,,"11,176.057",,,1.315
[1A1c] Manufactura de combustibles sólidos y otras industrias de la energía,"23,950.475",13.617,16.989,,,,,,,,,,,,,,,,,,,,,,,,,"23,981.082",,,0.266
[1A2] Industrias manufactura y de la construcción,"54,158.443",102.674,143.408,,,,,,,,,,,,,,,,,,,,,,,,,"54,404.525",,,1.389
[1A2a] Hierro y acero,"2,858.008",1.867,2.602,,,,,,,,,,,,,,,,,,,,,,,,,"2,862.477",,,0.048
[1A2b] Metales no ferrosos,"1,300.189",0.992,1.563,,,,,,,,,,,,,,,,,,,,,,,,,"1,302.745",,,0.018
[1A2c] Sustancias químicas,"9,912.428",6.149,8.238,,,,,,,,,,,,,,,,,,,,,,,,,"9,926.816",,,0.181
"[1A2d] Pulpa, papel e imprenta","2,386.201",1.837,2.925,,,,,,,,,,,,,,,,,,,,,,,,,"2,390.964",,,0.064
"[1A2e] Procesamiento de alimentos, bebidas y tabaco","3,010.641",47.446,61.503,,,,,,,,,,,,,,,,,,,,,,,,,"3,119.590",,,0.706
[1A2f] Minerales no metálicos,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[1A2g] Equipo de transporte,152.755,0.091,0.116,,,,,,,,,,,,,,,,,,,,,,,,,152.963,,,0.000
[1A2h] Maquinaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[1A2i] Minería (con excepción de combustibles) y cantería,"9,865.273",10.402,18.078,,,,,,,,,,,,,,,,,,,,,,,,,"9,893.753",,,0.095
[1A2j] Madera y productos de la madera,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[1A2k] Construcción,485.815,0.560,1.060,,,,,,,,,,,,,,,,,,,,,,,,,487.435,,,0.002
[1A2l] Textiles y cueros,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[1A2m] Industria no especificada,"24,187.133",33.328,47.323,,,,,,,,,,,,,,,,,,,,,,,,,"24,267.783",,,0.273
[1A3] Transporte,"136,451.771",451.321,"2,875.266",,,,,,,,,,,,,,,,,,,,,,,,,"139,778.358",,,17.593
[1A3a] Aviación civil,"4,897.297",0.944,35.745,,,,,,,,,,,,,,,,,,,,,,,,,"4,933.986",,,0.069
[1A3b] Autotransporte,"127,455.344",441.276,"2,644.901",,,,,,,,,,,,,,,,,,,,,,,,,"130,541.521",,,17.354
[1A3c] Ferrocarriles,"1,704.847",2.719,177.363,,,,,,,,,,,,,,,,,,,,,,,,,"1,884.929",,,0.040
[1A3d] Navegación marítima y fluvial,"2,394.283",6.382,17.257,,,,,,,,,,,,,,,,,,,,,,,,,"2,417.922",,,0.130
[1A3e] Otro transporte,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[1A4] Otros sectores,"30,515.250","2,313.995",305.089,,,,,,,,,,,,,,,,,,,,,,,,,"33,134.334",,,34.005
[1A4a] Comercial/institucional,"4,577.005",10.263,2.192,,,,,,,,,,,,,,,,,,,,,,,,,"4,589.460",,,2.276
[1A4b] Residencial,"19,967.253","2,281.715",290.843,,,,,,,,,,,,,,,,,,,,,,,,,"22,539.811",,,31.374
[1A4c] Agropecuario/silvicultura/pesca/piscifactorías,"5,970.991",22.018,12.055,,,,,,,,,,,,,,,,,,,,,,,,,"6,005.063",,,0.356
[1B] Emisiones fugitivas provenientes de la fabricación de combustibles,"13,909.972","22,689.254",15.415,,,,,,,,,,,,,,,,,,,,,,,,,"36,614.641",,,3.342
[1B1] Combustibles sólidos,80.163,"2,819.564",,,,,,,,,,,,,,,,,,,,,,,,,,"2,899.727",,,0.000
[1B1a] Minería carbonífera y manejo del carbón,80.163,"2,819.564",0.000,,,,,,,,,,,,,,,,,,,,,,,,,"2,899.727",,,0.000
[1B1ai] Minas subterráneas,76.343,"2,704.511",,,,,,,,,,,,,,,,,,,,,,,,,,"2,780.854",,,
[1B1aii] Minas superficie,3.819,115.053,,,,,,,,,,,,,,,,,,,,,,,,,,118.873,,,
[1B1b] Combustión espontánea y vertederos para quema de carbón,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,0.000
[1B2] Petróleo y gas natural,"13,829.809","19,869.689",15.415,,,,,,,,,,,,,,,,,,,,,,,,,"33,714.914",,,3.342
[1B2a] Petróleo,"11,676.353","14,130.664",15.331,,,,,,,,,,,,,,,,,,,,,,,,,"25,822.348",,,
1B2ai Venteo petróleo,"6,492.007","9,584.133",,,,,,,,,,,,,,,,,,,,,,,,,,"16,076.140",,,
1B2aii Quemado petróleo,"5,109.452","4,484.905",15.331,,,,,,,,,,,,,,,,,,,,,,,,,"9,609.689",,,3.342
1B2aiii Otras fugitivas petróleo,74.894,61.626,,,,,,,,,,,,,,,,,,,,,,,,,,136.519,,,
[1B2b] Gas natural,"2,153.456","5,739.026",0.084,,,,,,,,,,,,,,,,,,,,,,,,,"7,892.566",,,
1B2bi Venteo gas natural,"2,053.591","2,197.254",,,,,,,,,,,,,,,,,,,,,,,,,,"4,250.845",,,
1B2bii Quemado gas natural,95.138,1.775,0.084,,,,,,,,,,,,,,,,,,,,,,,,,96.997,,,
1B2biii Otras fugitivas gas natural,4.727,"3,539.996",,,,,,,,,,,,,,,,,,,,,,,,,,"3,544.723",,,
[2] Procesos industriales y uso de productos,"46,906.675",206.730,336.182,"2,672.882",1.446,0.000,0.000,0.000,"1,728.429",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.974,0.543,0.109,0.000,0.039,0.000,0.985,114.306,"51,969.302",,,0.000
[2A] Industria de los minerales,"26,584.331",0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,"26,584.331",,,
[2A1] Producción de cemento,"16,461.657",,,,,,,,,,,,,,,,,,,,,,,,,,,"16,461.657",,,
[2A2] Producción de cal,"2,518.046",,,,,,,,,,,,,,,,,,,,,,,,,,,"2,518.046",,,
[2A3] Producción de vidrio,265.032,,,,,,,,,,,,,,,,,,,,,,,,,,,265.032,,,
[2A4] Otros usos de carbonatos,"7,339.595",,,,,,,,,,,,,,,,,,,,,,,,,,,"7,339.595",,,
[2A5] Otros,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2B] Industria química,"2,607.249",204.174,336.073,"2,672.629",,,,,,,,,,,,,,,,,,,,,,,,"5,820.126",,,
[2B1] Producción de amoniaco,615.754,,,,,,,,,,,,,,,,,,,,,,,,,,,615.754,,,
[2B2] Producción de ácido nítrico,,,149.921,,,,,,,,,,,,,,,,,,,,,,,,,149.921,,,
[2B3] Producción de ácido adípico,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
"[2B4] Producción de caprolactama, glioxil y ácido glioxílico",,,186.152,,,,,,,,,,,,,,,,,,,,,,,,,186.152,,,
[2B5] Producción de carburo,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2B6] Producción de dióxido de titanio,183.580,,,,,,,,,,,,,,,,,,,,,,,,,,,183.580,,,
[2B7] Producción de ceniza de sosa,40.020,,,,,,,,,,,,,,,,,,,,,,,,,,,40.020,,,
[2B8] Producción petroquímica y negro de humo,"1,767.895",204.174,,,,,,,,,,,,,,,,,,,,,,,,,,"1,972.070",,,
[2B9] Producción fluoroquímica, ,,,"2,672.629",,,,,,,,,,,,,,,,,,,,,,,,"2,672.629",,,
[2B10] Otros,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2C] Industria de los metales,"17,440.368",2.556,0.000,,,,,,,,,,,,,,,,,,,,,,,,,"17,442.923",,,
[2C1] Producción de hierro y acero,"17,103",2.556,,,,,,,,,,,,,,,,,,,,,,,,,,"17,105.494",,,
[2C2] Producción de ferroaleaciones,265.644,,,,,,,,,,,,,,,,,,,,,,,,,,,265.644,,,
[2C3] Producción de aluminio,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2C4] Producción de magnesio,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2C5] Producción de plomo,71.785,,,,,,,,,,,,,,,,,,,,,,,,,,,71.785,,,
[2C6] Producción de zinc,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2C7] Otros,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2D] Uso de productos no energéticos de combustibles y de solvente,203.143,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,203.143,,,
[2D1] Uso de lubricantes,171.056,,,,,,,,,,,,,,,,,,,,,,,,,,,171.056,,,
[2D2] Uso de la cera de parafina,32.086,,,,,,,,,,,,,,,,,,,,,,,,,,,32.086,,,
[2D3] Uso de solventes,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2D4] Otros,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2E] Industria electrónica,0.000,0.000,0.109,0.253,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.974,0.543,0.109,0.000,0.039,0.000,0.985,0.479,3.492,,,
[2E1] Circuitos integrados o semiconductores,,,0.109,0.253,,,,,,,,,,,,,,,0.001,0.974,0.543,0.109,0.000,0.039,0.000,0.985,0.479,3.492,,,
[2E2] Pantalla plana tipo TFT,,,0.000,,,,,,,,,,,,,,,,,0.000,,,,0.000,,0.000,0.000,0.000,,,
[2E3] Células fotovoltaicas,,,,,,,,,,,,,,,,,,,,0.000,0.000,,,,,,,0.000,,,
[2E4] Fluido de transferencia térmica,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2E5] Otros,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2F] Uso de productos sustitutos de las sustancias que agotan la capa de ozono,0.000,0.000,0.000,0.000,1.446,0.000,0.000,0.000,"1,728.429",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,"1,729.875",,,
[2F1] Refrigeración y aire acondicionado,,,,,1.446,,,,"1,728.429",,,,,,,,,,,,,,,,,,,"1,729.875",,,
[2F2] Agentes espumantes,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2F3] Protección contra incendios,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2F4] Aerosoles,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2F5] Solventes,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2F6] Otras aplicaciones,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2G] Manufactura y utilización de otros productos,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,113.827,113.827,,,
[2G1] Equipos eléctricos,,,,,,,,,,,,,,,,,,,,,,,,,,,113.827,113.827,,,
[2G2] SF6 y PFC de otros usos de productos,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2G3] N2O de usos de productos,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2G4] Otros,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2H] Otros,71.585,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,71.585,,,
[2H1] Industria de la pulpa y el papel,71.585,,,,,,,,,,,,,,,,,,,,,,,,,,,71.585,,,
[2H2] Industria de la alimentación y las bebidas,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2H3] Otros,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
"[3] Agricultura, silvicultura y otros usos de la tierra","-198,454.852","90,453.201","24,774.443",,,,,,,,,,,,,,,,,,,,,,,,,"-83,227.208",,,9.080
 [3A] Ganado,,"89,103.918","5,476.470",,,,,,,,,,,,,,,,,,,,,,,,,"94,580.388",,,
     [3A1] Fermentación entérica,,"72,384.987",,,,,,,,,,,,,,,,,,,,,,,,,,"72,384.987",,,
          [3A1a] Bovino,,"68,605.294",,,,,,,,,,,,,,,,,,,,,,,,,,"68,605.294",,,
          [3A1b] Búfalos,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
             [3A1c] Ovinos,,"1,227.810",,,,,,,,,,,,,,,,,,,,,,,,,,"1,227.810",,,
          [3A1d] Caprino,,"1,167.590",,,,,,,,,,,,,,,,,,,,,,,,,,"1,167.590",,,
          [3A1e] Camello,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
          [3A1f] Caballos,,768.829,,,,,,,,,,,,,,,,,,,,,,,,,,768.829,,,
          [3A1g] Mulas y asnos,,277.914,,,,,,,,,,,,,,,,,,,,,,,,,,277.914,,,
          [3A1h] Porcinos,,337.550,,,,,,,,,,,,,,,,,,,,,,,,,,337.550,,,
          [3A1i] Otros  (especificar),,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
     [3A2] Gestión del estiércol,,"16,718.931","5,476.470",,,,,,,,,,,,,,,,,,,,,,,,,"22,195.401",,,
          [3A2a] Bovinos,,"10,008.104","4,726.449",,,,,,,,,,,,,,,,,,,,,,,,,"14,734.552",,,
          [3A2b] Búfalos,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
             [3A2c] Ovinos,,14.510,31.030,,,,,,,,,,,,,,,,,,,,,,,,,45.540,,,
          [3A2d] Caprino,,13.500,21.390,,,,,,,,,,,,,,,,,,,,,,,,,34.890,,,
          [3A2e] Camello,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
          [3A2f] Caballos,,73.846,,,,,,,,,,,,,,,,,,,,,,,,,,73.846,,,
          [3A2g] Mulas y asnos,,26.510,,,,,,,,,,,,,,,,,,,,,,,,,,26.510,,,
          [3A2h] Porcinos,,"5,058.068",421.640,,,,,,,,,,,,,,,,,,,,,,,,,"5,479.707",,,
          [3A2i] Aves de corral,,"1,524.394",275.961,,,,,,,,,,,,,,,,,,,,,,,,,"1,800.355",,,
          [3A2g] Otros  (especificar),,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
  [3B] Tierra,"-194,749.39",0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,"-194,749.388",,,
     [3B1] Tierra forestales,"-194,586.59",0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,"-194,586.59",,,
          [3B1a] Tierras forestales que permanecen como tal,"-193,617.09",,,,,,,,,,,,,,,,,,,,,,,,,,,"-193,617.093",,,
          [3B1b] Tierras convertidas a tierras forestales,-969.50,,,,,,,,,,,,,,,,,,,,,,,,,,,-969.497,,,
     [3B2] Tierra de cultivo,"-11,391.76",0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,"-11,391.76",,,
          [3B2a] Tierras de cultivo que permanecen como tal,"-15,167.17",,,,,,,,,,,,,,,,,,,,,,,,,,,"-15,167.174",,,
          [3B2b] Tierras convertidas a tierras de cultivo,"3,775.41",,,,,,,,,,,,,,,,,,,,,,,,,,,"3,775.414",,,
     [3B3] Praderas,"9,917.73",0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,"9,917.73",,,
          [3B3a] Praderas que permanecen como tal,-578.76,,,,,,,,,,,,,,,,,,,,,,,,,,,-578.760,,,
          [3B3b] Tierras convertidas en praderas,"10,496.49",,,,,,,,,,,,,,,,,,,,,,,,,,,"10,496.492",,,
     [3B4] Humedales,79.33,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,79.33,,,
          [3B4a] Humedales que permanecen como tal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
          [3B4b] Tierras convertidas en humedales,79.33,,,,,,,,,,,,,,,,,,,,,,,,,,,79.331,,,
     [3B5] Asentamientos ,515.07,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,515.07,,,
          [3B5a] Asentamientos que permanecen como tal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
          [3B5b] Tierras convertidas en asentamientos,515.07,,,,,,,,,,,,,,,,,,,,,,,,,,,515.069,,,
     [3B6] Otras tierras ,716.83,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,716.83,,,
          [3B6a] Otras tierras que permanecen como tal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
          [3B6b] Tierras convertidas en otras tierras,716.83,,,,,,,,,,,,,,,,,,,,,,,,,,,716.829,,,
  [3C] Fuentes agregadas y fuentes de emisión no CO2 de la tierra,"1,455.99","1,349.28","19,297.974",,,,,,,,,,,,,,,,,,,,,,,,,"22,103.247",,,9.080
     [3C1] Emisiones de GEI por quemado de biomasa,0.000,"1,186.593",423.455,,,,,,,,,,,,,,,,,,,,,,,,,"1,610.048",,,9.080
          [3C1a] Emisiones de quemado de biomasa en tierras forestales,,518.530,182.670,,,,,,,,,,,,,,,,,,,,,,,,,701.200,,,1.890
          [3C1b] Emisiones de quemado de biomasa en tierras de cultivo,,598.923,181.035,,,,,,,,,,,,,,,,,,,,,,,,,779.958,,,4.220
          [3C1c] Emisiones de quemado de biomasa en tierras praderas,,69.140,59.750,,,,,,,,,,,,,,,,,,,,,,,,,128.890,,,2.970
