     [3C2] Encalado,35.100,,,,,,,,,,,,,,,,,,,,,,,,,,,35.100,,,
     [3C3] Aplicación de urea,"1,085.870",,,,,,,,,,,,,,,,,,,,,,,,,,,"1,085.870",,,
     [3C4] Emisiones directas de los N2O de los suelos gestionados,,,"10,576.747",,,,,,,,,,,,,,,,,,,,,,,,,"10,576.747",,,
     [3C5] Emisiones indirectas de los N2O de los suelos gestionados,,,"5,016.080",,,,,,,,,,,,,,,,,,,,,,,,,"5,016.080",,,
     [3C6] Emisiones indirectas de los N2O de la gestión del estiércol,,,"2,007.122",,,,,,,,,,,,,,,,,,,,,,,,,"2,007.122",,,
     [3C7] Cultivo del arroz,,144.030,,,,,,,,,,,,,,,,,,,,,,,,,,144.030,,,
  [3D] Otros,"-7,164.443",,,,,,,,,,,,,,,,,,,,,,,,,,,"-7,164.443",,,
     [3D1] Productos de madera recolectada,"-7,164.443",,,,,,,,,,,,,,,,,,,,,,,,,,,"-7,164.443",,,
     [3D2] Otros (especificar),,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[4] Residuos,527.686,"25,592.972","4,171.609",,,,,,,,,,,,,,,,,,,,,,,,,"30,292.267",,,1.761
[4A] Eliminación de residuos sólidos,,"8,466.028",0.000,,,,,,,,,,,,,,,,,,,,,,,,,"8,466.028",,,
[4A1] Sitios gestionados de eliminación de residuos (rellenos sanitarios),,"3,908.417",,,,,,,,,,,,,,,,,,,,,,,,,,"3,908.417",,,
[4A2] Sitios no controlados de eliminación de residuos ,,"1,613.597",,,,,,,,,,,,,,,,,,,,,,,,,,"1,613.597",,,
[4A3] Tiraderos a cielo abierto para eliminación de residuos,,"2,944.014",,,,,,,,,,,,,,,,,,,,,,,,,,"2,944.014",,,
[4B] Tratamiento biológico de los residuos sólidos,,98.443,69.877,,,,,,,,,,,,,,,,,,,,,,,,,168.320,,,
[4C] Incineración y quema a cielo abierto  de residuos,527.686,950.350,207.712,,,,,,,,,,,,,,,,,,,,,,,,,"1,685.749",,,1.761
[4C1] Incineración de residuos peligrosos industriales y biológico infeccioso,4.727,0.010,0.152,,,,,,,,,,,,,,,,,,,,,,,,,4.889,,,
[4C2] Quema a cielo abierto de residuos sólidos,522.959,950.341,207.561,,,,,,,,,,,,,,,,,,,,,,,,,"1,680.860",,,1.761
[4D] Tratamiento y eliminación de aguas residuales,,"16,078.150","3,894.019",,,,,,,,,,,,,,,,,,,,,,,,,"19,972.170",,,
[4D1] Tratamiento y eliminación de aguas residuales municipales,,"4,772.756","3,894.019",,,,,,,,,,,,,,,,,,,,,,,,,"8,666.775",,,
[4D2] Tratamiento y eliminación de aguas residuales industriales,,"11,305.395",,,,,,,,,,,,,,,,,,,,,,,,,,"11,305.395",,,
[4E] Otros,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
EMISIONES NETAS (Gg de CO2e),"197,460.695","140,413.078","31,193.868",969.546,0.178,0.000,0.000,0.000,780.400,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,273.711,73.195,0.062,0.000,0.022,0.000,0.561,76.083,"371,241.398",,,85.791
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bunkers,"2,687.574",0.518,19.617,,,,,,,,,,,,,,,,,,,,,,,,,"2,707.709",,,
Aviación internacional,"2,687.574",0.518,19.617,,,,,,,,,,,,,,,,,,,,,,,,,"2,707.709",,,
Marítimo internacional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emisiones de CO2 por quema de biomasa,"27,949.798",,,,,,,,,,,,,,,,,,,,,,,,,,,"27,949.798",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nota:,Las emisiones de bunkers y las emisiones de CO2 por la quema de biomasa no se encuentran contabilizadas al total de inventario,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
