,INVENTARIO NACIONAL DE EMISIONES DE GASES Y COMPUESTOS DE EFECTO INVERNADERO (INEGYCEI),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CATEGORÍA / FUENTE / SUBFUENTE 
DE EMISIÓN",Emisiones de gases de efecto invernadero  (Gg de CO2e ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Carbono negro
(Gg)"
,1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CO2,CH4,N2O,HFCs,,,,,,,,,,,,,,,,PFCs,,,,,,NF3,SF6,"EMISIONES NETAS
Gg en CO2e"," 
EMISIONES
(sin 3B y 3D)
Gg en CO2e",,
,,,,HFC-23,HFC-410A,HFC-43-10mee,HFC-125,HFC-134,HFC-134a,HFC-404A,HFC-407C,HFC-507a,HFC-152a,HFC-227ea,HFC-236fa,HFC-365mfc/227ea,HFC-365mfc,HFC-245fa,HFC-32,CF4,C2F6,C3F8,C4F6,c-C4F8,C5F8,,,,,,
  Potencial de calentamiento,1,28,265,"12,400","1,924","1,650","3,170","1,120","1,300","3,943","1,624","3,985",138,"2,640","8,060",982,804,858,677,"6,630","11,100","8,900",1,"9,540",2,"16,100","23,500",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMISIONES NETAS (Gg de CO2e),"338,075.107","118,275.355","26,219.011",869.860,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,136.705,36.477,0.000,0.000,0.000,0.000,0.000,47.776,"483,660.292","479,344.648",,81.467
[1] Energía,"301,303.624","16,892.611","3,097.757",,,,,,,,,,,,,,,,,,,,,,,,,"321,293.992",,,76.965
[1A] Actividades de quema del combustible,"289,141.722","2,974.337","3,085.958",,,,,,,,,,,,,,,,,,,,,,,,,"295,202.017",,,74.482
[1A1] Industrias de la energía,"107,960.061",88.496,188.765,,,,,,,,,,,,,,,,,,,,,,,,,"108,237.322",,,13.631
[1A1a] Actividad principal producción de electricidad y calor,"73,045.098",63.421,150.285,,,,,,,,,,,,,,,,,,,,,,,,,"73,258.804",,,11.791
[1A1b] Refinación del petróleo,"8,940.025",8.212,14.551,,,,,,,,,,,,,,,,,,,,,,,,,"8,962.789",,,1.545
[1A1c] Manufactura de combustibles sólidos y otras industrias de la energía,"25,974.938",16.862,23.929,,,,,,,,,,,,,,,,,,,,,,,,,"26,015.729",,,0.294
[1A2] Industrias manufactura y de la construcción,"51,635.297",113.726,157.297,,,,,,,,,,,,,,,,,,,,,,,,,"51,906.320",,,2.184
[1A2a] Hierro y acero,"3,238.197",2.396,3.708,,,,,,,,,,,,,,,,,,,,,,,,,"3,244.300",,,0.080
[1A2b] Metales no ferrosos,"1,903.219",1.371,2.067,,,,,,,,,,,,,,,,,,,,,,,,,"1,906.657",,,0.029
[1A2c] Sustancias químicas,"17,207.007",10.924,14.843,,,,,,,,,,,,,,,,,,,,,,,,,"17,232.773",,,0.380
"[1A2d] Pulpa, papel e imprenta","2,364.019",2.007,3.383,,,,,,,,,,,,,,,,,,,,,,,,,"2,369.409",,,0.067
"[1A2e] Procesamiento de alimentos, bebidas y tabaco","3,886.713",3.898,7.196,,,,,,,,,,,,,,,,,,,,,,,,,"3,897.806",,,0.180
[1A2f] Minerales no metálicos,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[1A2g] Equipo de transporte,203.507,0.109,0.128,,,,,,,,,,,,,,,,,,,,,,,,,203.744,,,0.001
[1A2h] Maquinaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[1A2i] Minería (con excepción de combustibles) y cantería,"7,016.906",7.100,13.185,,,,,,,,,,,,,,,,,,,,,,,,,"7,037.192",,,0.212
[1A2j] Madera y productos de la madera,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[1A2k] Construcción,383.049,0.442,0.836,,,,,,,,,,,,,,,,,,,,,,,,,384.327,,,0.002
[1A2l] Textiles y cueros,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[1A2m] Industria no especificada,"15,432.679",85.479,111.953,,,,,,,,,,,,,,,,,,,,,,,,,"15,630.111",,,1.233
[1A3] Transporte,"100,679.894",366.638,"2,423.759",,,,,,,,,,,,,,,,,,,,,,,,,"103,470.290",,,24.147
[1A3a] Aviación civil,"4,446.908",0.857,32.458,,,,,,,,,,,,,,,,,,,,,,,,,"4,480.223",,,0.001
[1A3b] Autotransporte,"93,561.039",360.438,"2,211.659",,,,,,,,,,,,,,,,,,,,,,,,,"96,133.136",,,24.045
[1A3c] Ferrocarriles,"1,656.554",2.642,172.339,,,,,,,,,,,,,,,,,,,,,,,,,"1,831.535",,,0.039
[1A3d] Navegación marítima y fluvial,"1,015.393",2.700,7.302,,,,,,,,,,,,,,,,,,,,,,,,,"1,025.395",,,0.062
[1A3e] Otro transporte,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[1A4] Otros sectores,"28,866.471","2,405.478",316.136,,,,,,,,,,,,,,,,,,,,,,,,,"31,588.085",,,34.521
[1A4a] Comercial/institucional,"3,299.010",7.394,1.574,,,,,,,,,,,,,,,,,,,,,,,,,"3,307.978",,,1.635
[1A4b] Residencial,"20,388.921","2,378.288",303.379,,,,,,,,,,,,,,,,,,,,,,,,,"23,070.588",,,32.809
[1A4c] Agropecuario/silvicultura/pesca/piscifactorías,"5,178.541",19.795,11.183,,,,,,,,,,,,,,,,,,,,,,,,,"5,209.519",,,0.077
[1B] Emisiones fugitivas provenientes de la fabricación de combustibles,"12,161.902","13,918.274",11.799,,,,,,,,,,,,,,,,,,,,,,,,,"26,091.975",,,2.482
[1B1] Combustibles sólidos,69.725,"2,452.421",,,,,,,,,,,,,,,,,,,,,,,,,,"2,522.146",,,0.000
[1B1a] Minería carbonífera y manejo del carbón,69.725,"2,452.421",,,,,,,,,,,,,,,,,,,,,,,,,,"2,522.146",,,0.000
[1B1ai] Minas subterráneas,66.403,"2,352.349",,,,,,,,,,,,,,,,,,,,,,,,,,"2,418.752",,,
[1B1aii] Minas superficie,3.322,100.072,,,,,,,,,,,,,,,,,,,,,,,,,,103.394,,,
[1B1b] Combustión espontánea y vertederos para quema de carbón,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,0.000
[1B2] Petróleo y gas natural,"12,092.177","11,465.853",11.799,,,,,,,,,,,,,,,,,,,,,,,,,"23,569.829",,,2.482
[1B2a] Petróleo,"10,203.950","9,176.254",11.793,,,,,,,,,,,,,,,,,,,,,,,,,"19,391.998",,,
1B2ai Venteo petróleo,"6,324.627","5,828.892",,,,,,,,,,,,,,,,,,,,,,,,,,"12,153.519",,,
1B2aii Quemado petróleo,"3,837.850","3,287.899",11.793,,,,,,,,,,,,,,,,,,,,,,,,,"7,137.543",,,2.482
1B2aiii Otras fugitivas petróleo,41.473,59.463,,,,,,,,,,,,,,,,,,,,,,,,,,100.937,,,
[1B2b] Gas natural,"1,888.227","2,289.599",0.006,,,,,,,,,,,,,,,,,,,,,,,,,"4,177.831",,,
1B2bi Venteo gas natural,"1,815.873",981.601,,,,,,,,,,,,,,,,,,,,,,,,,,"2,797.474",,,
1B2bii Quemado gas natural,70.658,1.319,0.006,,,,,,,,,,,,,,,,,,,,,,,,,71.983,,,
1B2biii Otras fugitivas gas natural,1.696,"1,306.679",,,,,,,,,,,,,,,,,,,,,,,,,,"1,308.375",,,
[2] Procesos industriales y uso de productos,"31,086.031",246.020,695.182,869.860,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,136.705,36.477,0.000,0.000,0.000,0.000,0.000,47.776,"33,118.051",,,0.000
[2A] Industria de los minerales,"15,504.668",0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,"15,504.668",,,
[2A1] Producción de cemento,"12,043.624",,,,,,,,,,,,,,,,,,,,,,,,,,,"12,043.624",,,
[2A2] Producción de cal,"2,277.464",,,,,,,,,,,,,,,,,,,,,,,,,,,"2,277.464",,,
[2A3] Producción de vidrio,415.145,,,,,,,,,,,,,,,,,,,,,,,,,,,415.145,,,
[2A4] Otros usos de carbonatos,768.435,,,,,,,,,,,,,,,,,,,,,,,,,,,768.435,,,
[2A5] Otros,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2B] Industria química,"4,720.362",246.020,695.182,869.860,,,,,,,,,,,,,,,,,,,,,,,,"6,531.424",,,
[2B1] Producción de amoniaco,"2,561.901",,,,,,,,,,,,,,,,,,,,,,,,,,,"2,561.901",,,
[2B2] Producción de ácido nítrico,,,543.780,,,,,,,,,,,,,,,,,,,,,,,,,543.780,,,
[2B3] Producción de ácido adípico,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
"[2B4] Producción de caprolactama, glioxil y ácido glioxílico",,,151.402,,,,,,,,,,,,,,,,,,,,,,,,,151.402,,,
[2B5] Producción de carburo,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2B6] Producción de dióxido de titanio,109.344,,,,,,,,,,,,,,,,,,,,,,,,,,,109.344,,,
[2B7] Producción de ceniza de sosa,60.720,,,,,,,,,,,,,,,,,,,,,,,,,,,60.720,,,
[2B8] Producción petroquímica y negro de humo,"1,988.397",246.020,,,,,,,,,,,,,,,,,,,,,,,,,,"2,234.417",,,
[2B9] Producción fluoroquímica, ,,,869.860,,,,,,,,,,,,,,,,,,,,,,,,869.860,,,
[2B10] Otros,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2C] Industria de los metales,"10,601.886",0.000,0.000,,,,,,,,,,,,,,,,,136.705,36.477,,,,,,,"10,775.068",,,
[2C1] Producción de hierro y acero,"10,211",0.000,,,,,,,,,,,,,,,,,,,,,,,,,,"10,210.741",,,
[2C2] Producción de ferroaleaciones,242.680,,,,,,,,,,,,,,,,,,,,,,,,,,,242.680,,,
[2C3] Producción de aluminio,41.238,,,,,,,,,,,,,,,,,,,136.705,36.477,,,,,,,214.420,,,
[2C4] Producción de magnesio,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2C5] Producción de plomo,107.227,,,,,,,,,,,,,,,,,,,,,,,,,,,107.227,,,
[2C6] Producción de zinc,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2C7] Otros,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2D] Uso de productos no energéticos de combustibles y de solvente,259.114,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,259.114,,,
[2D1] Uso de lubricantes,211.936,,,,,,,,,,,,,,,,,,,,,,,,,,,211.936,,,
[2D2] Uso de la cera de parafina,47.178,,,,,,,,,,,,,,,,,,,,,,,,,,,47.178,,,
[2D3] Uso de solventes,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2D4] Otros,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2E] Industria electrónica,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,
[2E1] Circuitos integrados o semiconductores,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2E2] Pantalla plana tipo TFT,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2E3] Células fotovoltaicas,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2E4] Fluido de transferencia térmica,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2E5] Otros,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2F] Uso de productos sustitutos de las sustancias que agotan la capa de ozono,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,
[2F1] Refrigeración y aire acondicionado,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2F2] Agentes espumantes,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2F3] Protección contra incendios,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2F4] Aerosoles,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2F5] Solventes,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2F6] Otras aplicaciones,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2G] Manufactura y utilización de otros productos,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,47.776,47.776,,,
[2G1] Equipos eléctricos,,,,,,,,,,,,,,,,,,,,,,,,,,,47.776,47.776,,,
[2G2] SF6 y PFC de otros usos de productos,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2G3] N2O de usos de productos,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2G4] Otros,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2H] Otros,0.000,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2H1] Industria de la pulpa y el papel,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2H2] Industria de la alimentación y las bebidas,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2H3] Otros,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
"[3] Agricultura, silvicultura y otros usos de la tierra","5,237.173","86,022.958","18,592.721",,,,,,,,,,,,,,,,,,,,,,,,,"109,852.852",,,2.993
 [3A] Ganado,,"85,356.076","4,822.217",,,,,,,,,,,,,,,,,,,,,,,,,"90,178.293",,,
     [3A1] Fermentación entérica,,"69,682.078",,,,,,,,,,,,,,,,,,,,,,,,,,"69,682.078",,,
          [3A1a] Bovino,,"64,961.908",,,,,,,,,,,,,,,,,,,,,,,,,,"64,961.908",,,
          [3A1b] Búfalos,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
             [3A1c] Ovinos,,"1,005.980",,,,,,,,,,,,,,,,,,,,,,,,,,"1,005.980",,,
          [3A1d] Caprino,,"1,350.200",,,,,,,,,,,,,,,,,,,,,,,,,,"1,350.200",,,
          [3A1e] Camello,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
          [3A1f] Caballos,,"1,364.584",,,,,,,,,,,,,,,,,,,,,,,,,,"1,364.584",,,
          [3A1g] Mulas y asnos,,585.944,,,,,,,,,,,,,,,,,,,,,,,,,,585.944,,,
          [3A1h] Porcinos,,413.462,,,,,,,,,,,,,,,,,,,,,,,,,,413.462,,,
          [3A1i] Otros  (especificar),,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
     [3A2] Gestión del estiércol,,"15,673.998","4,822.217",,,,,,,,,,,,,,,,,,,,,,,,,"20,496.215",,,
          [3A2a] Bovinos,,"7,901.436","4,201.233",,,,,,,,,,,,,,,,,,,,,,,,,"12,102.669",,,
          [3A2b] Búfalos,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
             [3A2c] Ovinos,,11.780,25.100,,,,,,,,,,,,,,,,,,,,,,,,,36.880,,,
          [3A2d] Caprino,,15.500,25.060,,,,,,,,,,,,,,,,,,,,,,,,,40.560,,,
          [3A2e] Camello,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
          [3A2f] Caballos,,129.978,,,,,,,,,,,,,,,,,,,,,,,,,,129.978,,,
          [3A2g] Mulas y asnos,,56.156,,,,,,,,,,,,,,,,,,,,,,,,,,56.156,,,
          [3A2h] Porcinos,,"6,622.866",377.193,,,,,,,,,,,,,,,,,,,,,,,,,"7,000.059",,,
          [3A2i] Aves de corral,,936.282,193.630,,,,,,,,,,,,,,,,,,,,,,,,,"1,129.912",,,
          [3A2g] Otros  (especificar),,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
  [3B] Tierra,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
     [3B1] Tierra forestales,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,
          [3B1a] Tierras forestales que permanecen como tal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
          [3B1b] Tierras convertidas a tierras forestales,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
     [3B2] Tierra de cultivo,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,
          [3B2a] Tierras de cultivo que permanecen como tal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
          [3B2b] Tierras convertidas a tierras de cultivo,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
     [3B3] Praderas,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,
          [3B3a] Praderas que permanecen como tal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
          [3B3b] Tierras convertidas en praderas,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
     [3B4] Humedales,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,
          [3B4a] Humedales que permanecen como tal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
          [3B4b] Tierras convertidas en humedales,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
     [3B5] Asentamientos ,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,
          [3B5a] Asentamientos que permanecen como tal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
          [3B5b] Tierras convertidas en asentamientos,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
     [3B6] Otras tierras ,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,
          [3B6a] Otras tierras que permanecen como tal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
          [3B6b] Tierras convertidas en otras tierras,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
  [3C] Fuentes agregadas y fuentes de emisión no CO2 de la tierra,921.53,666.88,"13,770.504",,,,,,,,,,,,,,,,,,,,,,,,,"15,358.916",,,2.993
     [3C1] Emisiones de GEI por quemado de biomasa,0.000,502.667,152.075,,,,,,,,,,,,,,,,,,,,,,,,,654.742,,,2.993
          [3C1a] Emisiones de quemado de biomasa en tierras forestales,,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
          [3C1b] Emisiones de quemado de biomasa en tierras de cultivo,,502.667,152.075,,,,,,,,,,,,,,,,,,,,,,,,,654.742,,,2.993
          [3C1c] Emisiones de quemado de biomasa en tierras praderas,,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
          [3C1d] Emisiones de quemado de biomasa en otras tierras,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
     [3C2] Encalado,32.300,,,,,,,,,,,,,,,,,,,,,,,,,,,32.300,,,
     [3C3] Aplicación de urea,889.230,,,,,,,,,,,,,,,,,,,,,,,,,,,889.230,,,
     [3C4] Emisiones directas de los N2O de los suelos gestionados,,,"7,937.558",,,,,,,,,,,,,,,,,,,,,,,,,"7,937.558",,,
