     [3C5] Emisiones indirectas de los N2O de los suelos gestionados,,,"4,069.303",,,,,,,,,,,,,,,,,,,,,,,,,"4,069.303",,,
     [3C6] Emisiones indirectas de los N2O de la gestión del estiércol,,,"1,611.568",,,,,,,,,,,,,,,,,,,,,,,,,"1,611.568",,,
     [3C7] Cultivo del arroz,,164.215,,,,,,,,,,,,,,,,,,,,,,,,,,164.215,,,
  [3D] Otros,"4,315.643",,,,,,,,,,,,,,,,,,,,,,,,,,,"4,315.643",,,
     [3D1] Productos de madera recolectada,4315.643294,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,315.643",,,
     [3D2] Otros (especificar),,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[4] Residuos,448.279,"15,113.766","3,833.351",,,,,,,,,,,,,,,,,,,,,,,,,"19,395.396",,,1.509
[4A] Eliminación de residuos sólidos,,"2,007.914",0.000,,,,,,,,,,,,,,,,,,,,,,,,,"2,007.914",,,
[4A1] Sitios gestionados de eliminación de residuos (rellenos sanitarios),,660.721,,,,,,,,,,,,,,,,,,,,,,,,,,660.721,,,
[4A2] Sitios no controlados de eliminación de residuos ,,274.708,,,,,,,,,,,,,,,,,,,,,,,,,,274.708,,,
[4A3] Tiraderos a cielo abierto para eliminación de residuos,,"1,072.485",,,,,,,,,,,,,,,,,,,,,,,,,,"1,072.485",,,
[4B] Tratamiento biológico de los residuos sólidos,,1.015,0.721,,,,,,,,,,,,,,,,,,,,,,,,,1.736,,,
[4C] Incineración y quema a cielo abierto  de residuos,448.279,893.207,195.083,,,,,,,,,,,,,,,,,,,,,,,,,"1,536.569",,,1.509
[4C1] Incineración de residuos peligrosos industriales y biológico infeccioso,0.016,0.000,0.001,,,,,,,,,,,,,,,,,,,,,,,,,0.016,,,
[4C2] Quema a cielo abierto de residuos sólidos,448.263,893.207,195.082,,,,,,,,,,,,,,,,,,,,,,,,,"1,536.552",,,1.509
[4D] Tratamiento y eliminación de aguas residuales,,"12,211.630","3,637.548",,,,,,,,,,,,,,,,,,,,,,,,,"15,849.178",,,
[4D1] Tratamiento y eliminación de aguas residuales municipales,,"4,500.525","3,637.548",,,,,,,,,,,,,,,,,,,,,,,,,"8,138.073",,,
[4D2] Tratamiento y eliminación de aguas residuales industriales,,"7,711.105",,,,,,,,,,,,,,,,,,,,,,,,,,"7,711.105",,,
[4E] Otros,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
EMISIONES NETAS (Gg de CO2e),"338,075.107","118,275.355","26,219.011",869.860,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,136.705,36.477,0.000,0.000,0.000,0.000,0.000,47.776,"483,660.292",,,81.467
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bunkers,"2,047.313",0.395,14.943,,,,,,,,,,,,,,,,,,,,,,,,,"2,062.651",,,
Aviación internacional,"2,047.313",0.395,14.943,,,,,,,,,,,,,,,,,,,,,,,,,"2,062.651",,,
Marítimo internacional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emisiones de CO2 por quema de biomasa,"37,424.854",,,,,,,,,,,,,,,,,,,,,,,,,,,"37,424.854",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nota:,Las emisiones de bunkers y las emisiones de CO2 por la quema de biomasa no se encuentran contabilizadas al total de inventario,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
