     [3C6] Emisiones indirectas de los N2O de la gestión del estiércol,,,"1,481.014",,,,,,,,,,,,,,,,,,,,,,,,,"1,481.014",,,
     [3C7] Cultivo del arroz,,258.150,,,,,,,,,,,,,,,,,,,,,,,,,,258.150,,,
  [3D] Otros,693.113,,,,,,,,,,,,,,,,,,,,,,,,,,,693.113,,,
     [3D1] Productos de madera recolectada,693.113,,,,,,,,,,,,,,,,,,,,,,,,,,,693.113,,,
     [3D2] Otros (especificar),,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[4] Residuos,402.493,"10,679.499","3,665.112",,,,,,,,,,,,,,,,,,,,,,,,,"14,747.10",,,1.355
[4A] Eliminación de residuos sólidos,,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[4A1] Sitios gestionados de eliminación de residuos (rellenos sanitarios),,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[4A2] Sitios no controlados de eliminación de residuos ,,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[4A3] Tiraderos a cielo abierto para eliminación de residuos,,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[4B] Tratamiento biológico de los residuos sólidos,,0.161,0.114,,,,,,,,,,,,,,,,,,,,,,,,,0.276,,,
[4C] Incineración y quema a cielo abierto  de residuos,402.493,801.997,175.162,,,,,,,,,,,,,,,,,,,,,,,,,"1,379.652",,,1.355
[4C1] Incineración de residuos peligrosos industriales y biológico infeccioso,0.000,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[4C2] Quema a cielo abierto de residuos sólidos,402.493,801.997,175.162,,,,,,,,,,,,,,,,,,,,,,,,,"1,379.652",,,1.355
[4D] Tratamiento y eliminación de aguas residuales,,"9,877.341","3,489.836",,,,,,,,,,,,,,,,,,,,,,,,,"13,367.176",,,
[4D1] Tratamiento y eliminación de aguas residuales municipales,,"4,552.254","3,489.836",,,,,,,,,,,,,,,,,,,,,,,,,"8,042.089",,,
[4D2] Tratamiento y eliminación de aguas residuales industriales,,"5,325.087",,,,,,,,,,,,,,,,,,,,,,,,,,"5,325.087",,,
[4E] Otros,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
EMISIONES NETAS (Gg de CO2e),"319,999.845","117,840.420","28,337.973",760.636,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,345.534,92.198,0.000,0.000,0.000,0.000,0.000,36.517,"467,413.124",,,77.557
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bunkers,"2,052.937",0.396,14.985,,,,,,,,,,,,,,,,,,,,,,,,,"2,068.318",,,
Aviación internacional,"2,052.937",0.396,14.985,,,,,,,,,,,,,,,,,,,,,,,,,"2,068.318",,,
Marítimo internacional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emisiones de CO2 por quema de biomasa,"35,955.863",,,,,,,,,,,,,,,,,,,,,,,,,,,"35,955.863",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nota:,Las emisiones de bunkers y las emisiones de CO2 por la quema de biomasa no se encuentran contabilizadas al total de inventario,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
