     [3C3] Aplicación de urea,956.845,,,,,,,,,,,,,,,,,,,,,,,,,,,956.845,,,
     [3C4] Emisiones directas de los N2O de los suelos gestionados,,,"8,914.510",,,,,,,,,,,,,,,,,,,,,,,,,"8,914.510",,,
     [3C5] Emisiones indirectas de los N2O de los suelos gestionados,,,"4,573.341",,,,,,,,,,,,,,,,,,,,,,,,,"4,573.341",,,
     [3C6] Emisiones indirectas de los N2O de la gestión del estiércol,,,"1,786.642",,,,,,,,,,,,,,,,,,,,,,,,,"1,786.642",,,
     [3C7] Cultivo del arroz,,276.800,,,,,,,,,,,,,,,,,,,,,,,,,,276.800,,,
  [3D] Otros,"-8,664.597",,,,,,,,,,,,,,,,,,,,,,,,,,,"-8,664.597",,,
     [3D1] Productos de madera recolectada,-8664.596524,,,,,,,,,,,,,,,,,,,,,,,,,,,"-8,664.597",,,
     [3D2] Otros (especificar),,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[4] Residuos,539.532,"22,640.135","4,059.290",,,,,,,,,,,,,,,,,,,,,,,,,"27,238.957",,,1.816
[4A] Eliminación de residuos sólidos,,"5,681.094",0.000,,,,,,,,,,,,,,,,,,,,,,,,,"5,681.094",,,
[4A1] Sitios gestionados de eliminación de residuos (rellenos sanitarios),,"2,291.731",,,,,,,,,,,,,,,,,,,,,,,,,,"2,291.731",,,
[4A2] Sitios no controlados de eliminación de residuos ,,"1,078.599",,,,,,,,,,,,,,,,,,,,,,,,,,"1,078.599",,,
[4A3] Tiraderos a cielo abierto para eliminación de residuos,,"2,310.763",,,,,,,,,,,,,,,,,,,,,,,,,,"2,310.763",,,
[4B] Tratamiento biológico de los residuos sólidos,,98.088,69.625,,,,,,,,,,,,,,,,,,,,,,,,,167.714,,,
[4C] Incineración y quema a cielo abierto  de residuos,539.532,"1,074.925",234.773,,,,,,,,,,,,,,,,,,,,,,,,,"1,849.229",,,1.816
[4C1] Incineración de residuos peligrosos industriales y biológico infeccioso,0.071,0.000,0.002,,,,,,,,,,,,,,,,,,,,,,,,,0.074,,,
[4C2] Quema a cielo abierto de residuos sólidos,539.460,"1,074.925",234.771,,,,,,,,,,,,,,,,,,,,,,,,,"1,849.155",,,1.816
[4D] Tratamiento y eliminación de aguas residuales,,"15,786.028","3,754.892",,,,,,,,,,,,,,,,,,,,,,,,,"19,540.920",,,
[4D1] Tratamiento y eliminación de aguas residuales municipales,,"4,604.451","3,754.892",,,,,,,,,,,,,,,,,,,,,,,,,"8,359.342",,,
[4D2] Tratamiento y eliminación de aguas residuales industriales,,"11,181.578",,,,,,,,,,,,,,,,,,,,,,,,,,"11,181.578",,,
[4E] Otros,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
EMISIONES NETAS (Gg de CO2e),"393,944.487","143,331.786","30,056.781","1,312.214",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,357.276,95.344,0.005,0.000,0.002,0.000,0.045,66.592,"569,164.532",,,101.612
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bunkers,"2,899.968",0.559,21.167,,,,,,,,,,,,,,,,,,,,,,,,,"2,921.694",,,
Aviación internacional,"2,899.968",0.559,21.167,,,,,,,,,,,,,,,,,,,,,,,,,"2,921.694",,,
Marítimo internacional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emisiones de CO2 por quema de biomasa,"36,523.829",,,,,,,,,,,,,,,,,,,,,,,,,,,"36,523.829",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nota:,Las emisiones de bunkers y las emisiones de CO2 por la quema de biomasa no se encuentran contabilizadas al total de inventario,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
