,INVENTARIO NACIONAL DE EMISIONES DE GASES Y COMPUESTOS DE EFECTO INVERNADERO (INEGYCEI),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CATEGORÍA / FUENTE / SUBFUENTE 
DE EMISIÓN",Emisiones de gases de efecto invernadero  (Gg de CO2e ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Carbono negro
(Gg)"
,1998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CO2,CH4,N2O,HFCs,,,,,,,,,,,,,,,,PFCs,,,,,,NF3,SF6,"EMISIONES NETAS
Gg en CO2e"," 
EMISIONES
(sin 3B y 3D)
Gg en CO2e",,
,,,,HFC-23,HFC-410A,HFC-43-10mee,HFC-125,HFC-134,HFC-134a,HFC-404A,HFC-407C,HFC-507a,HFC-152a,HFC-227ea,HFC-236fa,HFC-365mfc/227ea,HFC-365mfc,HFC-245fa,HFC-32,CF4,C2F6,C3F8,C4F6,c-C4F8,C5F8,,,,,,
  Potencial de calentamiento,1,28,265,"12,400","1,924","1,650","3,170","1,120","1,300","3,943","1,624","3,985",138,"2,640","8,060",982,804,858,677,"6,630","11,100","8,900",1,"9,540",2,"16,100","23,500",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMISIONES NETAS (Gg de CO2e),"393,944.487","143,331.786","30,056.781","1,312.214",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,357.276,95.344,0.005,0.000,0.002,0.000,0.045,66.592,"569,164.532","577,829.128",,101.612
[1] Energía,"360,117.934","30,985.053","3,372.793",,,,,,,,,,,,,,,,,,,,,,,,,"394,475.780",,,88.263
[1A] Actividades de quema del combustible,"335,765.794","3,081.043","3,327.286",,,,,,,,,,,,,,,,,,,,,,,,,"342,174.124",,,77.808
[1A1] Industrias de la energía,"140,632.910",131.921,281.448,,,,,,,,,,,,,,,,,,,,,,,,,"141,046.279",,,18.181
[1A1a] Actividad principal producción de electricidad y calor,"105,871.444",106.562,242.074,,,,,,,,,,,,,,,,,,,,,,,,,"106,220.079",,,16.325
[1A1b] Refinación del petróleo,"10,384.295",8.933,15.270,,,,,,,,,,,,,,,,,,,,,,,,,"10,408.498",,,1.568
[1A1c] Manufactura de combustibles sólidos y otras industrias de la energía,"24,377.172",16.426,24.105,,,,,,,,,,,,,,,,,,,,,,,,,"24,417.702",,,0.287
[1A2] Industrias manufactura y de la construcción,"53,914.157",103.336,144.053,,,,,,,,,,,,,,,,,,,,,,,,,"54,161.546",,,1.939
[1A2a] Hierro y acero,"4,709.020",3.432,5.253,,,,,,,,,,,,,,,,,,,,,,,,,"4,717.705",,,0.112
[1A2b] Metales no ferrosos,"2,835.519",1.917,2.749,,,,,,,,,,,,,,,,,,,,,,,,,"2,840.185",,,0.036
[1A2c] Sustancias químicas,"17,398.891",11.040,15.007,,,,,,,,,,,,,,,,,,,,,,,,,"17,424.939",,,0.257
"[1A2d] Pulpa, papel e imprenta","2,581.939",2.095,3.435,,,,,,,,,,,,,,,,,,,,,,,,,"2,587.469",,,0.066
"[1A2e] Procesamiento de alimentos, bebidas y tabaco","4,770.931",4.682,8.558,,,,,,,,,,,,,,,,,,,,,,,,,"4,784.172",,,0.214
[1A2f] Minerales no metálicos,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[1A2g] Equipo de transporte,294.009,0.152,0.166,,,,,,,,,,,,,,,,,,,,,,,,,294.327,,,0.001
[1A2h] Maquinaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[1A2i] Minería (con excepción de combustibles) y cantería,"8,069.286",7.908,14.648,,,,,,,,,,,,,,,,,,,,,,,,,"8,091.842",,,0.213
[1A2j] Madera y productos de la madera,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[1A2k] Construcción,373.943,0.431,0.816,,,,,,,,,,,,,,,,,,,,,,,,,375.190,,,0.002
[1A2l] Textiles y cueros,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[1A2m] Industria no especificada,"12,880.619",71.678,93.419,,,,,,,,,,,,,,,,,,,,,,,,,"13,045.716",,,1.039
[1A3] Transporte,"108,862.873",394.036,"2,578.597",,,,,,,,,,,,,,,,,,,,,,,,,"111,835.506",,,21.033
[1A3a] Aviación civil,"5,026.363",0.969,36.687,,,,,,,,,,,,,,,,,,,,,,,,,"5,064.020",,,0.071
[1A3b] Autotransporte,"99,693.747",383.823,"2,348.057",,,,,,,,,,,,,,,,,,,,,,,,,"102,425.627",,,20.807
[1A3c] Ferrocarriles,"1,693.270",2.701,176.159,,,,,,,,,,,,,,,,,,,,,,,,,"1,872.130",,,0.040
[1A3d] Navegación marítima y fluvial,"2,449.493",6.543,17.694,,,,,,,,,,,,,,,,,,,,,,,,,"2,473.729",,,0.115
[1A3e] Otro transporte,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[1A4] Otros sectores,"32,355.853","2,451.751",323.188,,,,,,,,,,,,,,,,,,,,,,,,,"35,130.792",,,36.655
[1A4a] Comercial/institucional,"4,419.091",10.040,2.265,,,,,,,,,,,,,,,,,,,,,,,,,"4,431.396",,,2.175
[1A4b] Residencial,"22,214.163","2,419.855",308.579,,,,,,,,,,,,,,,,,,,,,,,,,"24,942.596",,,34.393
[1A4c] Agropecuario/silvicultura/pesca/piscifactorías,"5,722.599",21.856,12.345,,,,,,,,,,,,,,,,,,,,,,,,,"5,756.799",,,0.087
[1B] Emisiones fugitivas provenientes de la fabricación de combustibles,"24,352.140","27,904.009",45.507,,,,,,,,,,,,,,,,,,,,,,,,,"52,301.657",,,10.455
[1B1] Combustibles sólidos,84.522,"2,972.901",,,,,,,,,,,,,,,,,,,,,,,,,,"3,057.423",,,0.000
[1B1a] Minería carbonífera y manejo del carbón,84.522,"2,972.901",,,,,,,,,,,,,,,,,,,,,,,,,,"3,057.423",,,0.000
[1B1ai] Minas subterráneas,80.495,"2,851.590",,,,,,,,,,,,,,,,,,,,,,,,,,"2,932.085",,,
[1B1aii] Minas superficie,4.027,121.310,,,,,,,,,,,,,,,,,,,,,,,,,,125.337,,,
[1B1b] Combustión espontánea y vertederos para quema de carbón,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,0.000
[1B2] Petróleo y gas natural,"24,267.618","24,931.109",45.507,,,,,,,,,,,,,,,,,,,,,,,,,"49,244.234",,,10.455
[1B2a] Petróleo,"21,898.393","21,640.944",45.453,,,,,,,,,,,,,,,,,,,,,,,,,"43,584.789",,,
1B2ai Venteo petróleo,"6,264.317","7,146.652",,,,,,,,,,,,,,,,,,,,,,,,,,"13,410.969",,,
1B2aii Quemado petróleo,"15,581.991","14,432.219",45.453,,,,,,,,,,,,,,,,,,,,,,,,,"30,059.663",,,10.455
1B2aiii Otras fugitivas petróleo,52.084,62.073,,,,,,,,,,,,,,,,,,,,,,,,,,114.157,,,
[1B2b] Gas natural,"2,369.226","3,290.165",0.055,,,,,,,,,,,,,,,,,,,,,,,,,"5,659.445",,,
1B2bi Venteo gas natural,"2,069.146","1,219.450",,,,,,,,,,,,,,,,,,,,,,,,,,"3,288.596",,,
1B2bii Quemado gas natural,297.619,5.555,0.055,,,,,,,,,,,,,,,,,,,,,,,,,303.228,,,
1B2biii Otras fugitivas gas natural,2.460,"2,065.160",,,,,,,,,,,,,,,,,,,,,,,,,,"2,067.621",,,
[2] Procesos industriales y uso de productos,"40,961.072",240.550,"1,188.319","1,312.214",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,357.276,95.344,0.005,0.000,0.002,0.000,0.045,66.592,"44,221.419",,,0.000
[2A] Industria de los minerales,"20,478.386",0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,"20,478.386",,,
[2A1] Producción de cemento,"13,206.472",,,,,,,,,,,,,,,,,,,,,,,,,,,"13,206.472",,,
[2A2] Producción de cal,"2,410.173",,,,,,,,,,,,,,,,,,,,,,,,,,,"2,410.173",,,
[2A3] Producción de vidrio,485.624,,,,,,,,,,,,,,,,,,,,,,,,,,,485.624,,,
[2A4] Otros usos de carbonatos,"4,376.118",,,,,,,,,,,,,,,,,,,,,,,,,,,"4,376.118",,,
[2A5] Otros,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2B] Industria química,"4,435.992",240.550,"1,188.314","1,312.203",,,,,,,,,,,,,,,,,,,,,,,,"7,177.059",,,
[2B1] Producción de amoniaco,"2,180.358",,,,,,,,,,,,,,,,,,,,,,,,,,,"2,180.358",,,
[2B2] Producción de ácido nítrico,,,992.160,,,,,,,,,,,,,,,,,,,,,,,,,992.160,,,
[2B3] Producción de ácido adípico,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
"[2B4] Producción de caprolactama, glioxil y ácido glioxílico",,,196.154,,,,,,,,,,,,,,,,,,,,,,,,,196.154,,,
[2B5] Producción de carburo,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2B6] Producción de dióxido de titanio,149.210,,,,,,,,,,,,,,,,,,,,,,,,,,,149.210,,,
[2B7] Producción de ceniza de sosa,40.020,,,,,,,,,,,,,,,,,,,,,,,,,,,40.020,,,
[2B8] Producción petroquímica y negro de humo,"2,066.404",240.550,,,,,,,,,,,,,,,,,,,,,,,,,,"2,306.954",,,
[2B9] Producción fluoroquímica, ,,,"1,312.203",,,,,,,,,,,,,,,,,,,,,,,,"1,312.203",,,
[2B10] Otros,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2C] Industria de los metales,"15,740.001",0.000,0.000,,,,,,,,,,,,,,,,,357.232,95.319,,,,,,,"16,192.551",,,
[2C1] Producción de hierro y acero,"15,171",0.000,,,,,,,,,,,,,,,,,,,,,,,,,,"15,171.029",,,
[2C2] Producción de ferroaleaciones,359.959,,,,,,,,,,,,,,,,,,,,,,,,,,,359.959,,,
[2C3] Producción de aluminio,107.762,,,,,,,,,,,,,,,,,,,357.232,95.319,,,,,,,560.313,,,
[2C4] Producción de magnesio,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2C5] Producción de plomo,101.250,,,,,,,,,,,,,,,,,,,,,,,,,,,101.250,,,
[2C6] Producción de zinc,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2C7] Otros,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2D] Uso de productos no energéticos de combustibles y de solvente,229.051,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,229.051,,,
[2D1] Uso de lubricantes,173.436,,,,,,,,,,,,,,,,,,,,,,,,,,,173.436,,,
[2D2] Uso de la cera de parafina,55.615,,,,,,,,,,,,,,,,,,,,,,,,,,,55.615,,,
[2D3] Uso de solventes,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2D4] Otros,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2E] Industria electrónica,0.000,0.000,0.005,0.012,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.044,0.025,0.005,0.000,0.002,0.000,0.045,0.022,0.160,,,
[2E1] Circuitos integrados o semiconductores,,,0.005,0.012,,,,,,,,,,,,,,,0.000,0.044,0.025,0.005,0.000,0.002,0.000,0.045,0.022,0.160,,,
[2E2] Pantalla plana tipo TFT,,,0.000,,,,,,,,,,,,,,,,,0.000,,,,0.000,,0.000,0.000,0.000,,,
[2E3] Células fotovoltaicas,,,,,,,,,,,,,,,,,,,,0.000,0.000,,,,,,,0.000,,,
[2E4] Fluido de transferencia térmica,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2E5] Otros,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2F] Uso de productos sustitutos de las sustancias que agotan la capa de ozono,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,
[2F1] Refrigeración y aire acondicionado,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2F2] Agentes espumantes,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2F3] Protección contra incendios,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2F4] Aerosoles,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2F5] Solventes,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2F6] Otras aplicaciones,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2G] Manufactura y utilización de otros productos,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,66.570,66.570,,,
[2G1] Equipos eléctricos,,,,,,,,,,,,,,,,,,,,,,,,,,,66.570,66.570,,,
[2G2] SF6 y PFC de otros usos de productos,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2G3] N2O de usos de productos,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2G4] Otros,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2H] Otros,77.643,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,77.643,,,
[2H1] Industria de la pulpa y el papel,77.643,,,,,,,,,,,,,,,,,,,,,,,,,,,77.643,,,
[2H2] Industria de la alimentación y las bebidas,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2H3] Otros,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
"[3] Agricultura, silvicultura y otros usos de la tierra","-7,674.052","89,466.049","21,436.379",,,,,,,,,,,,,,,,,,,,,,,,,"103,228.376",,,11.534
 [3A] Ganado,,"86,849.691","5,226.208",,,,,,,,,,,,,,,,,,,,,,,,,"92,075.899",,,
     [3A1] Fermentación entérica,,"71,636.087",,,,,,,,,,,,,,,,,,,,,,,,,,"71,636.087",,,
          [3A1a] Bovino,,"67,641.683",,,,,,,,,,,,,,,,,,,,,,,,,,"67,641.683",,,
          [3A1b] Búfalos,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
             [3A1c] Ovinos,,908.050,,,,,,,,,,,,,,,,,,,,,,,,,,908.050,,,
          [3A1d] Caprino,,"1,176.130",,,,,,,,,,,,,,,,,,,,,,,,,,"1,176.130",,,
          [3A1e] Camello,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
          [3A1f] Caballos,,"1,116.350",,,,,,,,,,,,,,,,,,,,,,,,,,"1,116.350",,,
          [3A1g] Mulas y asnos,,457.597,,,,,,,,,,,,,,,,,,,,,,,,,,457.597,,,
          [3A1h] Porcinos,,336.276,,,,,,,,,,,,,,,,,,,,,,,,,,336.276,,,
          [3A1i] Otros  (especificar),,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
     [3A2] Gestión del estiércol,,"15,213.604","5,226.208",,,,,,,,,,,,,,,,,,,,,,,,,"20,439.813",,,
          [3A2a] Bovinos,,"8,827.035","4,586.260",,,,,,,,,,,,,,,,,,,,,,,,,"13,413.295",,,
          [3A2b] Búfalos,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
             [3A2c] Ovinos,,10.700,23.400,,,,,,,,,,,,,,,,,,,,,,,,,34.100,,,
          [3A2d] Caprino,,13.490,21.820,,,,,,,,,,,,,,,,,,,,,,,,,35.310,,,
          [3A2e] Camello,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
          [3A2f] Caballos,,107.419,,,,,,,,,,,,,,,,,,,,,,,,,,107.419,,,
          [3A2g] Mulas y asnos,,44.194,,,,,,,,,,,,,,,,,,,,,,,,,,44.194,,,
          [3A2h] Porcinos,,"5,108.352",378.779,,,,,,,,,,,,,,,,,,,,,,,,,"5,487.131",,,
          [3A2i] Aves de corral,,"1,102.415",215.950,,,,,,,,,,,,,,,,,,,,,,,,,"1,318.364",,,
          [3A2g] Otros  (especificar),,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
  [3B] Tierra,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
     [3B1] Tierra forestales,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,
          [3B1a] Tierras forestales que permanecen como tal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
          [3B1b] Tierras convertidas a tierras forestales,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
     [3B2] Tierra de cultivo,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,
          [3B2a] Tierras de cultivo que permanecen como tal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
          [3B2b] Tierras convertidas a tierras de cultivo,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
     [3B3] Praderas,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,
          [3B3a] Praderas que permanecen como tal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
          [3B3b] Tierras convertidas en praderas,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
     [3B4] Humedales,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,
          [3B4a] Humedales que permanecen como tal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
          [3B4b] Tierras convertidas en humedales,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
     [3B5] Asentamientos ,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,
          [3B5a] Asentamientos que permanecen como tal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
          [3B5b] Tierras convertidas en asentamientos,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
     [3B6] Otras tierras ,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,
          [3B6a] Otras tierras que permanecen como tal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
          [3B6b] Tierras convertidas en otras tierras,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
  [3C] Fuentes agregadas y fuentes de emisión no CO2 de la tierra,990.55,"2,616.36","16,210.170",,,,,,,,,,,,,,,,,,,,,,,,,"19,817.073",,,11.534
     [3C1] Emisiones de GEI por quemado de biomasa,0.000,"2,339.558",935.677,,,,,,,,,,,,,,,,,,,,,,,,,"3,275.235",,,11.534
          [3C1a] Emisiones de quemado de biomasa en tierras forestales,,"1,579.930",596.270,,,,,,,,,,,,,,,,,,,,,,,,,"2,176.200",,,7.000
          [3C1b] Emisiones de quemado de biomasa en tierras de cultivo,,564.628,170.907,,,,,,,,,,,,,,,,,,,,,,,,,735.535,,,3.303
          [3C1c] Emisiones de quemado de biomasa en tierras praderas,,195.000,168.500,,,,,,,,,,,,,,,,,,,,,,,,,363.500,,,1.232
          [3C1d] Emisiones de quemado de biomasa en otras tierras,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
     [3C2] Encalado,33.700,,,,,,,,,,,,,,,,,,,,,,,,,,,33.700,,,
