     [3C4] Emisiones directas de los N2O de los suelos gestionados,,,"8,238.136",,,,,,,,,,,,,,,,,,,,,,,,,"8,238.136",,,
     [3C5] Emisiones indirectas de los N2O de los suelos gestionados,,,"4,333.134",,,,,,,,,,,,,,,,,,,,,,,,,"4,333.134",,,
     [3C6] Emisiones indirectas de los N2O de la gestión del estiércol,,,"1,729.422",,,,,,,,,,,,,,,,,,,,,,,,,"1,729.422",,,
     [3C7] Cultivo del arroz,,223.690,,,,,,,,,,,,,,,,,,,,,,,,,,223.690,,,
  [3D] Otros,"3,207.643",,,,,,,,,,,,,,,,,,,,,,,,,,,"3,207.643",,,
     [3D1] Productos de madera recolectada,3207.643155,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,207.643",,,
     [3D2] Otros (especificar),,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[4] Residuos,481.870,"18,279.238","3,916.839",,,,,,,,,,,,,,,,,,,,,,,,,"22,677.946",,,1.622
[4A] Eliminación de residuos sólidos,,"3,341.303",0.000,,,,,,,,,,,,,,,,,,,,,,,,,"3,341.303",,,
[4A1] Sitios gestionados de eliminación de residuos (rellenos sanitarios),,"1,133.172",,,,,,,,,,,,,,,,,,,,,,,,,,"1,133.172",,,
[4A2] Sitios no controlados de eliminación de residuos ,,587.579,,,,,,,,,,,,,,,,,,,,,,,,,,587.579,,,
[4A3] Tiraderos a cielo abierto para eliminación de residuos,,"1,620.552",,,,,,,,,,,,,,,,,,,,,,,,,,"1,620.552",,,
[4B] Tratamiento biológico de los residuos sólidos,,96.585,68.558,,,,,,,,,,,,,,,,,,,,,,,,,165.144,,,
[4C] Incineración y quema a cielo abierto  de residuos,481.870,960.028,209.679,,,,,,,,,,,,,,,,,,,,,,,,,"1,651.576",,,1.622
[4C1] Incineración de residuos peligrosos industriales y biológico infeccioso,0.071,0.000,0.002,,,,,,,,,,,,,,,,,,,,,,,,,0.074,,,
[4C2] Quema a cielo abierto de residuos sólidos,481.798,960.028,209.676,,,,,,,,,,,,,,,,,,,,,,,,,"1,651.502",,,1.622
[4D] Tratamiento y eliminación de aguas residuales,,"13,881.321","3,638.602",,,,,,,,,,,,,,,,,,,,,,,,,"17,519.924",,,
[4D1] Tratamiento y eliminación de aguas residuales municipales,,"4,753.536","3,638.602",,,,,,,,,,,,,,,,,,,,,,,,,"8,392.138",,,
[4D2] Tratamiento y eliminación de aguas residuales industriales,,"9,127.786",,,,,,,,,,,,,,,,,,,,,,,,,,"9,127.786",,,
[4E] Otros,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
EMISIONES NETAS (Gg de CO2e),"347,496.645","127,038.457","28,258.993",647.781,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,55.231,14.737,0.000,0.000,0.000,0.000,0.000,53.408,"503,565.252",,,85.660
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bunkers,"2,026.621",0.391,14.793,,,,,,,,,,,,,,,,,,,,,,,,,"2,041.805",,,
Aviación internacional,"2,026.621",0.391,14.793,,,,,,,,,,,,,,,,,,,,,,,,,"2,041.805",,,
Marítimo internacional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emisiones de CO2 por quema de biomasa,"37,379.281",,,,,,,,,,,,,,,,,,,,,,,,,,,"37,379.281",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nota:,Las emisiones de bunkers y las emisiones de CO2 por la quema de biomasa no se encuentran contabilizadas al total de inventario,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
