ANIO,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC,ANUAL
1985,21.949569892166668,23.44646869533333,25.200645161333334,25.854677419193546,27.118655913999998,27.864219806166666,27.597640233333337,27.15426638903226,26.807616859166668,26.011885189193546,24.93994791625,23.605975522999998,25.62929741651411
1986,22.12608394016129,23.681631834580646,24.13430107483333,25.532976190535713,26.867741935517245,27.201939655172417,27.04083611448276,27.062408230689655,26.75444444516667,25.76644120725807,25.461075269032257,24.1047311835,25.477884256744176
1987,22.32658509396552,23.73829365055556,25.493574233870966,24.693597223,27.061970766093747,27.846430574999996,27.290048426935485,27.185823672968745,27.392444444499997,25.40877134843749,24.588371048125,23.934773416969698,25.580056991701852
1988,23.04238565548387,23.389735817258064,24.864010999999998,26.73951427532258,27.44946236515152,27.518371647424246,27.43300323924243,27.3230322575,27.23618521533333,25.899214571833333,25.02482758655173,22.999793421724142,25.7432947544021
1989,23.661106551333333,23.144317643709677,24.283094384843753,26.239460247258066,27.274413701093756,28.1752860334375,27.80455122484375,27.495415173124996,27.05774193596774,25.787941247580644,25.55542410734375,22.54662651672883,25.752114897272154
1990,23.840898617586205,24.31153426609375,24.4492877509375,25.83359913828125,27.720703654838708,27.320980719677422,27.143896982419353,27.284244486833334,26.80485136724138,25.713154762500004,24.235173112999995,23.017237903593745,25.63963023025022
1991,23.808709677833335,23.23703924116667,25.34953173790322,26.979301075322585,27.766701352580647,27.996075269032257,27.59001040629032,27.60336693483334,26.909456995172413,26.204949944137937,23.817419355322578,23.671505376333332,25.911172280494053
1992,22.794588969677413,22.854956896562506,25.258962715312503,26.320520832968754,26.112963033225803,27.762795699193546,26.94848619967742,26.978865406206893,26.565402299482756,25.66258469108333,25.079642857321424,23.457204300666668,25.483081158448247
1993,23.392242134166665,23.113333333333333,23.884593992586204,25.542688172419357,26.55121055633333,26.746979797999998,27.16262513862069,27.006394009642854,26.632944444499998,26.440268816833335,24.900187500166666,23.18513824839286,25.379883845416277
1994,23.18744239625,24.57602040803571,24.773581757413794,26.298908046551723,27.76278801946428,27.822797619464282,27.82354883035714,27.819506354166666,27.095229885517234,26.966337148870963,25.252166666666664,23.77456989266667,26.096074752118756
1995,23.026586888870966,23.325230415,24.758844952580645,27.269746543870966,28.637400277258074,27.97209677483871,27.670985663000003,28.014731181833337,27.510229885000005,26.115697998275863,24.72103448293104,23.644883204137933,26.05562235563313
1996,22.383602150666665,22.9722413795,23.921874999833335,26.222944444616665,27.00711902086207,27.350944444333336,27.257419355166668,26.927526881666665,27.510833333333345,26.237419355,24.153611110166672,22.973081201379312,25.40988480637706
