     [3C4] Emisiones directas de los N2O de los suelos gestionados,,,"7,667.206",,,,,,,,,,,,,,,,,,,,,,,,,"7,667.206",,,
     [3C5] Emisiones indirectas de los N2O de los suelos gestionados,,,"4,148.049",,,,,,,,,,,,,,,,,,,,,,,,,"4,148.049",,,
     [3C6] Emisiones indirectas de los N2O de la gestión del estiércol,,,"1,671.894",,,,,,,,,,,,,,,,,,,,,,,,,"1,671.894",,,
     [3C7] Cultivo del arroz,,241.040,,,,,,,,,,,,,,,,,,,,,,,,,,241.040,,,
  [3D] Otros,"-1,145.045",,,,,,,,,,,,,,,,,,,,,,,,,,,"-1,145.045",,,
     [3D1] Productos de madera recolectada,-1145.044521,,,,,,,,,,,,,,,,,,,,,,,,,,,"-1,145.045",,,
     [3D2] Otros (especificar),,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[4] Residuos,500.341,"19,607.243","3,909.674",,,,,,,,,,,,,,,,,,,,,,,,,"24,017.259",,,1.684
[4A] Eliminación de residuos sólidos,,"4,098.973",0.000,,,,,,,,,,,,,,,,,,,,,,,,,"4,098.973",,,
[4A1] Sitios gestionados de eliminación de residuos (rellenos sanitarios),,"1,466.202",,,,,,,,,,,,,,,,,,,,,,,,,,"1,466.202",,,
[4A2] Sitios no controlados de eliminación de residuos ,,759.748,,,,,,,,,,,,,,,,,,,,,,,,,,759.748,,,
[4A3] Tiraderos a cielo abierto para eliminación de residuos,,"1,873.022",,,,,,,,,,,,,,,,,,,,,,,,,,"1,873.022",,,
[4B] Tratamiento biológico de los residuos sólidos,,97.120,68.938,,,,,,,,,,,,,,,,,,,,,,,,,166.058,,,
[4C] Incineración y quema a cielo abierto  de residuos,500.341,996.835,217.718,,,,,,,,,,,,,,,,,,,,,,,,,"1,714.894",,,1.684
[4C1] Incineración de residuos peligrosos industriales y biológico infeccioso,0.071,0.000,0.002,,,,,,,,,,,,,,,,,,,,,,,,,0.074,,,
[4C2] Quema a cielo abierto de residuos sólidos,500.270,996.835,217.715,,,,,,,,,,,,,,,,,,,,,,,,,"1,714.821",,,1.684
[4D] Tratamiento y eliminación de aguas residuales,,"14,414.315","3,623.019",,,,,,,,,,,,,,,,,,,,,,,,,"18,037.334",,,
[4D1] Tratamiento y eliminación de aguas residuales municipales,,"4,505.684","3,623.019",,,,,,,,,,,,,,,,,,,,,,,,,"8,128.702",,,
[4D2] Tratamiento y eliminación de aguas residuales industriales,,"9,908.631",,,,,,,,,,,,,,,,,,,,,,,,,,"9,908.631",,,
[4E] Otros,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
EMISIONES NETAS (Gg de CO2e),"359,553.271","131,254.597","27,629.111","1,632.009",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,325.761,86.922,0.000,0.000,0.000,0.000,0.000,62.733,"520,544.404",,,86.056
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bunkers,"2,225.887",0.429,16.247,,,,,,,,,,,,,,,,,,,,,,,,,"2,242.563",,,
Aviación internacional,"2,225.887",0.429,16.247,,,,,,,,,,,,,,,,,,,,,,,,,"2,242.563",,,
Marítimo internacional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emisiones de CO2 por quema de biomasa,"35,675.183",,,,,,,,,,,,,,,,,,,,,,,,,,,"35,675.183",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nota:,Las emisiones de bunkers y las emisiones de CO2 por la quema de biomasa no se encuentran contabilizadas al total de inventario,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
