,INVENTARIO NACIONAL DE EMISIONES DE GASES Y COMPUESTOS DE EFECTO INVERNADERO (INEGYCEI),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CATEGORÍA / FUENTE / SUBFUENTE 
DE EMISIÓN",Emisiones de gases de efecto invernadero  (Gg de CO2e ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Carbono negro
(Gg)"
,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CO2,CH4,N2O,HFCs,,,,,,,,,,,,,,,,PFCs,,,,,,NF3,SF6,"EMISIONES NETAS
Gg en CO2e"," 
EMISIONES
(sin 3B y 3D)
Gg en CO2e",,
,,,,HFC-23,HFC-410A,HFC-43-10mee,HFC-125,HFC-134,HFC-134a,HFC-404A,HFC-407C,HFC-507a,HFC-152a,HFC-227ea,HFC-236fa,HFC-365mfc/227ea,HFC-365mfc,HFC-245fa,HFC-32,CF4,C2F6,C3F8,C4F6,c-C4F8,C5F8,,,,,,
  Potencial de calentamiento,1,28,265,"12,400","1,924","1,650","3,170","1,120","1,300","3,943","1,624","3,985",138,"2,640","8,060",982,804,858,677,"6,630","11,100","8,900",1,"9,540",2,"16,100","23,500",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMISIONES NETAS (Gg de CO2e),"238,241.812","144,473.811","34,071.647","2,285.861",1.061,0.000,0.000,0.000,"1,443.598",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.934,0.521,0.104,0.000,0.037,0.000,0.945,107.472,"420,627.806","626,816.974",,77.495
[1] Energía,"388,696.271","25,107.578","3,600.267",,,,,,,,,,,,,,,,,,,,,,,,,"417,404.116",,,71.706
[1A] Actividades de quema del combustible,"375,149.600","3,005.327","3,586.636",,,,,,,,,,,,,,,,,,,,,,,,,"381,741.563",,,68.785
[1A1] Industrias de la energía,"159,643.407",147.126,313.313,,,,,,,,,,,,,,,,,,,,,,,,,"160,103.846",,,14.353
[1A1a] Actividad principal producción de electricidad y calor,"125,715.576",124.637,280.881,,,,,,,,,,,,,,,,,,,,,,,,,"126,121.094",,,12.691
[1A1b] Refinación del petróleo,"11,309.271",8.926,14.467,,,,,,,,,,,,,,,,,,,,,,,,,"11,332.665",,,1.408
[1A1c] Manufactura de combustibles sólidos y otras industrias de la energía,"22,618.559",13.563,17.965,,,,,,,,,,,,,,,,,,,,,,,,,"22,650.087",,,0.255
[1A2] Industrias manufactura y de la construcción,"51,698.108",89.898,128.305,,,,,,,,,,,,,,,,,,,,,,,,,"51,916.311",,,1.261
[1A2a] Hierro y acero,"2,269.017",1.707,2.671,,,,,,,,,,,,,,,,,,,,,,,,,"2,273.395",,,0.057
[1A2b] Metales no ferrosos,"1,213.989",0.947,1.514,,,,,,,,,,,,,,,,,,,,,,,,,"1,216.449",,,0.018
[1A2c] Sustancias químicas,"8,828.531",5.393,7.051,,,,,,,,,,,,,,,,,,,,,,,,,"8,840.976",,,0.145
"[1A2d] Pulpa, papel e imprenta","2,239.165",1.745,2.800,,,,,,,,,,,,,,,,,,,,,,,,,"2,243.710",,,0.062
"[1A2e] Procesamiento de alimentos, bebidas y tabaco","3,147.262",35.759,46.887,,,,,,,,,,,,,,,,,,,,,,,,,"3,229.909",,,0.563
[1A2f] Minerales no metálicos,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[1A2g] Equipo de transporte,128.725,0.079,0.102,,,,,,,,,,,,,,,,,,,,,,,,,128.906,,,0.000
[1A2h] Maquinaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[1A2i] Minería (con excepción de combustibles) y cantería,"10,721.469",11.131,19.517,,,,,,,,,,,,,,,,,,,,,,,,,"10,752.118",,,0.115
[1A2j] Madera y productos de la madera,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[1A2k] Construcción,470.299,0.542,1.026,,,,,,,,,,,,,,,,,,,,,,,,,471.868,,,0.002
[1A2l] Textiles y cueros,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[1A2m] Industria no especificada,"22,679.651",32.594,46.735,,,,,,,,,,,,,,,,,,,,,,,,,"22,758.980",,,0.299
[1A3] Transporte,"132,310.699",450.269,"2,839.121",,,,,,,,,,,,,,,,,,,,,,,,,"135,600.088",,,18.437
[1A3a] Aviación civil,"5,358.343",1.033,39.110,,,,,,,,,,,,,,,,,,,,,,,,,"5,398.486",,,0.076
[1A3b] Autotransporte,"122,851.665",440.200,"2,598.967",,,,,,,,,,,,,,,,,,,,,,,,,"125,890.832",,,18.195
[1A3c] Ferrocarriles,"1,771.027",2.825,184.248,,,,,,,,,,,,,,,,,,,,,,,,,"1,958.100",,,0.042
[1A3d] Navegación marítima y fluvial,"2,329.664",6.211,16.796,,,,,,,,,,,,,,,,,,,,,,,,,"2,352.671",,,0.124
[1A3e] Otro transporte,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[1A4] Otros sectores,"31,497.386","2,318.034",305.898,,,,,,,,,,,,,,,,,,,,,,,,,"34,121.317",,,34.733
[1A4a] Comercial/institucional,"4,590.101",10.271,2.196,,,,,,,,,,,,,,,,,,,,,,,,,"4,602.568",,,2.330
[1A4b] Residencial,"20,870.953","2,285.415",291.422,,,,,,,,,,,,,,,,,,,,,,,,,"23,447.790",,,32.073
[1A4c] Agropecuario/silvicultura/pesca/piscifactorías,"6,036.331",22.348,12.280,,,,,,,,,,,,,,,,,,,,,,,,,"6,070.959",,,0.329
[1B] Emisiones fugitivas provenientes de la fabricación de combustibles,"13,546.672","22,102.251",13.630,,,,,,,,,,,,,,,,,,,,,,,,,"35,662.554",,,2.922
[1B1] Combustibles sólidos,82.106,"2,887.906",,,,,,,,,,,,,,,,,,,,,,,,,,"2,970.012",,,0.000
[1B1a] Minería carbonífera y manejo del carbón,82.106,"2,887.906",,,,,,,,,,,,,,,,,,,,,,,,,,"2,970.012",,,0.000
[1B1ai] Minas subterráneas,78.194,"2,770.064",,,,,,,,,,,,,,,,,,,,,,,,,,"2,848.257",,,
[1B1aii] Minas superficie,3.912,117.842,,,,,,,,,,,,,,,,,,,,,,,,,,121.754,,,
[1B1b] Combustión espontánea y vertederos para quema de carbón,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,0.000
[1B2] Petróleo y gas natural,"13,464.566","19,214.346",13.630,,,,,,,,,,,,,,,,,,,,,,,,,"32,692.542",,,2.922
[1B2a] Petróleo,"11,189.991","13,820.513",13.563,,,,,,,,,,,,,,,,,,,,,,,,,"25,024.066",,,
1B2ai Venteo petróleo,"6,616.788","9,865.470",,,,,,,,,,,,,,,,,,,,,,,,,,"16,482.258",,,
1B2aii Quemado petróleo,"4,495.869","3,891.525",13.563,,,,,,,,,,,,,,,,,,,,,,,,,"8,400.957",,,2.922
1B2aiii Otras fugitivas petróleo,77.334,63.518,,,,,,,,,,,,,,,,,,,,,,,,,,140.852,,,
[1B2b] Gas natural,"2,274.575","5,393.833",0.068,,,,,,,,,,,,,,,,,,,,,,,,,"7,668.476",,,
1B2bi Venteo gas natural,"2,187.161","2,036.044",,,,,,,,,,,,,,,,,,,,,,,,,,"4,223.205",,,
1B2bii Quemado gas natural,83.169,1.552,0.068,,,,,,,,,,,,,,,,,,,,,,,,,84.789,,,
1B2biii Otras fugitivas gas natural,4.244,"3,356.237",,,,,,,,,,,,,,,,,,,,,,,,,,"3,360.481",,,
[2] Procesos industriales y uso de productos,"53,734.537",198.128,330.380,"2,285.861",1.061,0.000,0.000,0.000,"1,443.598",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.934,0.521,0.104,0.000,0.037,0.000,0.945,107.472,"58,103.581",,,0.000
[2A] Industria de los minerales,"32,956.260",0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,"32,956.260",,,
[2A1] Producción de cemento,"15,134.717",,,,,,,,,,,,,,,,,,,,,,,,,,,"15,134.717",,,
[2A2] Producción de cal,"2,542.709",,,,,,,,,,,,,,,,,,,,,,,,,,,"2,542.709",,,
[2A3] Producción de vidrio,255.641,,,,,,,,,,,,,,,,,,,,,,,,,,,255.641,,,
[2A4] Otros usos de carbonatos,"15,023.194",,,,,,,,,,,,,,,,,,,,,,,,,,,"15,023.194",,,
[2A5] Otros,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2B] Industria química,"2,693.471",195.420,330.275,"2,285.619",,,,,,,,,,,,,,,,,,,,,,,,"5,504.785",,,
[2B1] Producción de amoniaco,816.578,,,,,,,,,,,,,,,,,,,,,,,,,,,816.578,,,
[2B2] Producción de ácido nítrico,,,142.430,,,,,,,,,,,,,,,,,,,,,,,,,142.430,,,
[2B3] Producción de ácido adípico,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
"[2B4] Producción de caprolactama, glioxil y ácido glioxílico",,,187.845,,,,,,,,,,,,,,,,,,,,,,,,,187.845,,,
[2B5] Producción de carburo,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2B6] Producción de dióxido de titanio,178.220,,,,,,,,,,,,,,,,,,,,,,,,,,,178.220,,,
[2B7] Producción de ceniza de sosa,40.020,,,,,,,,,,,,,,,,,,,,,,,,,,,40.020,,,
[2B8] Producción petroquímica y negro de humo,"1,658.653",195.420,,,,,,,,,,,,,,,,,,,,,,,,,,"1,854.074",,,
[2B9] Producción fluoroquímica, ,,,"2,285.619",,,,,,,,,,,,,,,,,,,,,,,,"2,285.619",,,
[2B10] Otros,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2C] Industria de los metales,"17,830.400",2.708,0.000,,,,,,,,,,,,,,,,,0.000,0.000,,,,,,,"17,833.108",,,
[2C1] Producción de hierro y acero,"17,526",2.708,,,,,,,,,,,,,,,,,,,,,,,,,,"17,528.958",,,
[2C2] Producción de ferroaleaciones,238.701,,,,,,,,,,,,,,,,,,,,,,,,,,,238.701,,,
[2C3] Producción de aluminio,0.000,,,,,,,,,,,,,,,,,,,0.000,0.000,,,,,,,0.000,,,
[2C4] Producción de magnesio,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2C5] Producción de plomo,65.449,,,,,,,,,,,,,,,,,,,,,,,,,,,65.449,,,
[2C6] Producción de zinc,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2C7] Otros,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2D] Uso de productos no energéticos de combustibles y de solvente,206.372,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,206.372,,,
[2D1] Uso de lubricantes,174.341,,,,,,,,,,,,,,,,,,,,,,,,,,,174.341,,,
[2D2] Uso de la cera de parafina,32.031,,,,,,,,,,,,,,,,,,,,,,,,,,,32.031,,,
[2D3] Uso de solventes,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2D4] Otros,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2E] Industria electrónica,0.000,0.000,0.105,0.243,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.934,0.521,0.104,0.000,0.037,0.000,0.945,0.460,3.350,,,
[2E1] Circuitos integrados o semiconductores,,,0.105,0.243,,,,,,,,,,,,,,,0.001,0.934,0.521,0.104,0.000,0.037,0.000,0.945,0.460,3.350,,,
[2E2] Pantalla plana tipo TFT,,,0.000,,,,,,,,,,,,,,,,,0.000,,,,0.000,,0.000,0.000,0.000,,,
[2E3] Células fotovoltaicas,,,,,,,,,,,,,,,,,,,,0.000,0.000,,,,,,,0.000,,,
[2E4] Fluido de transferencia térmica,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2E5] Otros,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2F] Uso de productos sustitutos de las sustancias que agotan la capa de ozono,0.000,0.000,0.000,0.000,1.061,0.000,0.000,0.000,"1,443.598",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,"1,444.659",,,
[2F1] Refrigeración y aire acondicionado,,,,,1.061,,,,"1,443.598",,,,,,,,,,,,,,,,,,,"1,444.659",,,
[2F2] Agentes espumantes,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2F3] Protección contra incendios,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2F4] Aerosoles,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2F5] Solventes,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2F6] Otras aplicaciones,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2G] Manufactura y utilización de otros productos,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,107.013,107.013,,,
[2G1] Equipos eléctricos,,,,,,,,,,,,,,,,,,,,,,,,,,,107.013,107.013,,,
[2G2] SF6 y PFC de otros usos de productos,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2G3] N2O de usos de productos,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2G4] Otros,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2H] Otros,48.034,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,48.034,,,
[2H1] Industria de la pulpa y el papel,48.034,,,,,,,,,,,,,,,,,,,,,,,,,,,48.034,,,
[2H2] Industria de la alimentación y las bebidas,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2H3] Otros,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
"[3] Agricultura, silvicultura y otros usos de la tierra","-204,855.638","90,481.356","26,195.471",,,,,,,,,,,,,,,,,,,,,,,,,"-88,178.812",,,4.043
 [3A] Ganado,,"89,529.736","5,471.727",,,,,,,,,,,,,,,,,,,,,,,,,"95,001.463",,,
     [3A1] Fermentación entérica,,"72,893.807",,,,,,,,,,,,,,,,,,,,,,,,,,"72,893.807",,,
          [3A1a] Bovino,,"69,099.488",,,,,,,,,,,,,,,,,,,,,,,,,,"69,099.488",,,
          [3A1b] Búfalos,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
             [3A1c] Ovinos,,"1,182.160",,,,,,,,,,,,,,,,,,,,,,,,,,"1,182.160",,,
          [3A1d] Caprino,,"1,153.900",,,,,,,,,,,,,,,,,,,,,,,,,,"1,153.900",,,
          [3A1e] Camello,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
          [3A1f] Caballos,,818.474,,,,,,,,,,,,,,,,,,,,,,,,,,818.474,,,
          [3A1g] Mulas y asnos,,303.582,,,,,,,,,,,,,,,,,,,,,,,,,,303.582,,,
          [3A1h] Porcinos,,336.203,,,,,,,,,,,,,,,,,,,,,,,,,,336.203,,,
          [3A1i] Otros  (especificar),,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
     [3A2] Gestión del estiércol,,"16,635.929","5,471.727",,,,,,,,,,,,,,,,,,,,,,,,,"22,107.656",,,
          [3A2a] Bovinos,,"10,075.414","4,743.560",,,,,,,,,,,,,,,,,,,,,,,,,"14,818.974",,,
          [3A2b] Búfalos,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
             [3A2c] Ovinos,,13.720,30.220,,,,,,,,,,,,,,,,,,,,,,,,,43.940,,,
          [3A2d] Caprino,,13.130,21.320,,,,,,,,,,,,,,,,,,,,,,,,,34.450,,,
          [3A2e] Camello,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
          [3A2f] Caballos,,77.158,,,,,,,,,,,,,,,,,,,,,,,,,,77.158,,,
          [3A2g] Mulas y asnos,,28.328,,,,,,,,,,,,,,,,,,,,,,,,,,28.328,,,
          [3A2h] Porcinos,,"5,014.071",410.126,,,,,,,,,,,,,,,,,,,,,,,,,"5,424.197",,,
          [3A2i] Aves de corral,,"1,414.107",266.501,,,,,,,,,,,,,,,,,,,,,,,,,"1,680.609",,,
          [3A2g] Otros  (especificar),,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
  [3B] Tierra,"-197,864.73",0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,"-197,864.725",,,
     [3B1] Tierra forestales,"-195,190.60",0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,"-195,190.60",,,
          [3B1a] Tierras forestales que permanecen como tal,"-194,382.69",,,,,,,,,,,,,,,,,,,,,,,,,,,"-194,382.688",,,
          [3B1b] Tierras convertidas a tierras forestales,-807.91,,,,,,,,,,,,,,,,,,,,,,,,,,,-807.914,,,
     [3B2] Tierra de cultivo,"-12,986.77",0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,"-12,986.77",,,
          [3B2a] Tierras de cultivo que permanecen como tal,"-15,107.50",,,,,,,,,,,,,,,,,,,,,,,,,,,"-15,107.497",,,
          [3B2b] Tierras convertidas a tierras de cultivo,"2,120.73",,,,,,,,,,,,,,,,,,,,,,,,,,,"2,120.727",,,
     [3B3] Praderas,"9,668.21",0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,"9,668.21",,,
          [3B3a] Praderas que permanecen como tal,-584.05,,,,,,,,,,,,,,,,,,,,,,,,,,,-584.050,,,
          [3B3b] Tierras convertidas en praderas,"10,252.26",,,,,,,,,,,,,,,,,,,,,,,,,,,"10,252.264",,,
     [3B4] Humedales,357.11,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,357.11,,,
          [3B4a] Humedales que permanecen como tal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
          [3B4b] Tierras convertidas en humedales,357.11,,,,,,,,,,,,,,,,,,,,,,,,,,,357.114,,,
     [3B5] Asentamientos ,139.02,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,139.02,,,
          [3B5a] Asentamientos que permanecen como tal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
          [3B5b] Tierras convertidas en asentamientos,139.02,,,,,,,,,,,,,,,,,,,,,,,,,,,139.024,,,
     [3B6] Otras tierras ,148.29,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,148.29,,,
          [3B6a] Otras tierras que permanecen como tal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
          [3B6b] Tierras convertidas en otras tierras,148.29,,,,,,,,,,,,,,,,,,,,,,,,,,,148.294,,,
  [3C] Fuentes agregadas y fuentes de emisión no CO2 de la tierra,"1,333.53",951.62,"20,723.744",,,,,,,,,,,,,,,,,,,,,,,,,"23,008.893",,,4.043
     [3C1] Emisiones de GEI por quemado de biomasa,0.000,780.640,256.271,,,,,,,,,,,,,,,,,,,,,,,,,"1,036.911",,,4.043
          [3C1a] Emisiones de quemado de biomasa en tierras forestales,,147.970,53.220,,,,,,,,,,,,,,,,,,,,,,,,,201.190,,,0.510
          [3C1b] Emisiones de quemado de biomasa en tierras de cultivo,,612.020,185.201,,,,,,,,,,,,,,,,,,,,,,,,,797.221,,,3.426
          [3C1c] Emisiones de quemado de biomasa en tierras praderas,,20.650,17.850,,,,,,,,,,,,,,,,,,,,,,,,,38.500,,,0.107
